Ruth Powell	4-(482)899-1307
Diana Chavez	3-(301)615-5019
Joyce Harvey	5-(481)971-4773
Elizabeth Carr	9-(847)553-1898
Ashley Adams	3-(685)219-9098
Christina Bowman	2-(727)331-1612
Donna Castillo	1-(448)948-8751
Judith Warren	6-(790)785-6457
Julia Mendoza	3-(452)643-7850
Gloria Coleman	7-(154)916-7345
Norma Rice	3-(065)322-7449
Sandra Gray	1-(405)869-8504
Judith Davis	6-(416)932-6255
Ruth Garza	2-(288)607-3704
Andrea Fuller	1-(604)164-7111
Carol Thompson	9-(267)940-7313
Mary Spencer	4-(807)777-6015
Cynthia Sims	5-(227)518-6282
Carol Harvey	4-(194)553-7410
Frances Morrison	7-(870)793-7951
Betty Mccoy	9-(248)352-2205
Teresa Tucker	6-(672)368-4746
Julie Johnston	5-(403)019-5025
Sara Powell	9-(395)150-7146
Dorothy Jordan	7-(719)685-4354
Pamela Williams	3-(321)850-0589
Lillian Jenkins	1-(129)627-0316
Sarah Cole	8-(342)648-5850
Ruby Gibson	9-(732)945-4039
Denise Lopez	3-(297)742-4009
Ruth Oliver	6-(245)618-0465
Julie Franklin	3-(614)326-5453
Anne Hill	1-(029)364-3358
Jessica Smith	9-(112)304-9061
Mary Bradley	2-(383)423-6674
Anna Woods	1-(345)329-0911
Dorothy Rodriguez	9-(869)362-4018
Theresa Webb	1-(624)953-5001
Margaret Cole	0-(170)375-9732
Christine Hernandez	4-(802)758-3075
Judith Kelly	0-(844)733-9774
Melissa Spencer	3-(264)848-4220
Wanda Jordan	8-(986)680-0953
Catherine Knight	0-(116)041-2361
Deborah Diaz	4-(185)279-6596
Phyllis Olson	3-(104)503-1792
Christina Romero	8-(321)234-2564
Pamela Henry	2-(060)363-4460
Rebecca Willis	5-(387)265-2593
Cynthia Hicks	6-(277)322-8458
Denise Peterson	7-(810)910-3162
Theresa Coleman	3-(639)397-0544
Carolyn Nguyen	5-(252)770-1837
Lisa Bell	0-(472)577-5511
Christine Wallace	8-(335)808-9159
Sara Reynolds	6-(871)188-2399
Christina Marshall	3-(435)112-9676
Diana Riley	5-(363)964-0514
Sandra Fernandez	6-(009)306-8453
Lori Ross	2-(963)031-0693
Debra Romero	5-(467)610-1605
Marie Green	6-(932)041-1593
Judy Mccoy	0-(666)820-9783
Sandra Murray	8-(049)825-8958
Annie Ward	2-(156)432-5072
Rose Scott	1-(896)895-6041
Virginia Grant	0-(025)759-0966
Virginia Hicks	3-(411)251-8645
Rose Grant	0-(169)738-6246
Catherine Gilbert	9-(619)509-3150
Carolyn Perez	1-(296)788-8574
Jacqueline Kennedy	5-(058)051-7266
Beverly Jones	9-(861)668-4441
Lillian Perkins	6-(510)011-1727
Jacqueline Ferguson	2-(159)833-3296
Christina Morrison	7-(033)469-0252
Katherine Torres	4-(399)572-2048
Michelle Kelley	6-(457)309-8866
Joyce Bell	6-(642)012-2310
Betty Stanley	2-(587)247-5355
Kathleen Price	8-(199)632-9467
Catherine Gibson	5-(955)258-4838
Virginia Greene	6-(863)663-0113
Angela Jordan	0-(671)749-5422
Lori Cunningham	6-(205)905-7693
Diana Baker	8-(648)884-3299
Carol Crawford	3-(667)817-2919
Laura Carroll	2-(537)046-4479
Rachel Foster	5-(835)736-0480
Alice Rose	6-(919)237-6698
Karen Owens	0-(857)877-0180
Sharon Bowman	5-(150)545-8052
Rose Bishop	0-(311)696-7465
Diane Williams	6-(062)108-2284
Martha Lawrence	5-(328)363-5750
Sandra Evans	5-(610)430-8246
Susan Boyd	2-(497)868-1434
Andrea Hughes	7-(675)454-0793
Andrea Johnson	6-(760)135-6707
Jane Brown	4-(224)309-9241
Barbara Hanson	8-(300)508-7613
Louise Fowler	6-(767)905-4872
Angela Montgomery	0-(723)776-3228
Mildred Hayes	0-(619)680-5625
Ruth Dean	8-(580)685-9832
Annie Gardner	7-(996)521-9700
Julia Foster	0-(468)381-9329
Beverly Duncan	0-(448)966-8150
Ruby Gilbert	5-(907)579-7275
Nancy Alexander	7-(762)966-2208
Stephanie Ramirez	8-(767)780-1946
Catherine Chapman	3-(113)257-3079
Linda Thompson	0-(654)594-6176
Cheryl Nelson	8-(681)509-2456
Jean Snyder	7-(685)193-8444
Lisa Tucker	8-(864)052-5024
Sandra Alvarez	6-(559)541-7408
Martha Brooks	4-(411)614-5707
Virginia Walker	2-(331)654-1753
Amy Sanchez	1-(682)068-1446
Deborah Hudson	6-(150)111-2856
Frances Robinson	7-(661)730-1708
Sarah Grant	7-(406)204-6769
Carolyn Ray	1-(819)554-5130
Margaret Price	8-(052)584-7793
Dorothy Washington	7-(649)216-4859
Janet Welch	2-(376)549-6213
Norma Matthews	6-(944)675-2181
Lillian Harper	5-(430)522-3548
Kelly Sullivan	9-(928)846-7312
Julia Ramos	0-(590)295-8395
Bonnie Perry	9-(672)344-1152
Michelle Nelson	8-(379)281-3229
Gloria Hunter	6-(004)620-4677
Evelyn Baker	7-(304)055-3099
Maria Diaz	4-(429)744-5154
Lori Ward	7-(508)446-0479
Jane Gardner	4-(879)432-5657
Patricia Powell	8-(016)855-6112
Andrea Reynolds	7-(658)712-1196
Ashley Morales	1-(682)222-2116
Carolyn Morgan	9-(414)365-0610
Tammy Ellis	3-(435)636-6598
Diana Richards	4-(825)764-4204
Debra Garcia	5-(991)118-7383
Theresa Payne	4-(591)279-1452
Cynthia Harvey	8-(912)612-5687
Brenda Gray	5-(164)138-1980
Sara Woods	5-(952)088-8816
Heather Black	5-(660)971-2403
Betty Sims	4-(047)735-4018
Patricia Gardner	4-(632)664-6915
Amy Holmes	3-(446)895-0346
Amanda Graham	7-(553)959-8285
Catherine Wilson	5-(497)919-4395
Mildred Evans	0-(954)435-0033
Margaret Robertson	3-(334)238-5579
Judith Jones	9-(740)015-3741
Pamela Armstrong	9-(219)925-1339
Julie Wallace	9-(197)910-0969
Kathleen Sullivan	5-(795)298-3121
Sandra Greene	1-(295)934-2002
Kathy Hughes	4-(588)073-4358
Rebecca Rivera	5-(820)244-0741
Robin Rodriguez	2-(292)399-5370
Stephanie Cruz	9-(136)717-6814
Margaret Johnston	7-(070)243-5080
Ashley Arnold	5-(076)112-1150
Helen Reid	7-(830)225-5636
Brenda Castillo	3-(282)613-4473
Carol Howard	6-(504)060-8823
Ruby Castillo	4-(772)470-8948
Patricia Henry	5-(640)055-8467
Wanda Fernandez	2-(859)890-0831
Catherine Edwards	7-(758)808-4160
Karen Carr	1-(211)853-9965
Mary Watkins	9-(434)722-5046
Jacqueline Stone	9-(084)133-3706
Rebecca Nelson	3-(314)930-2550
Kimberly Lewis	5-(647)442-1523
Patricia Freeman	7-(397)295-3491
Lillian Harris	3-(733)135-6249
Sharon Coleman	4-(383)855-2732
Nicole Medina	5-(904)881-0120
Mary Mason	4-(642)599-7304
Michelle Myers	7-(370)050-2936
Susan Henry	9-(876)949-7497
Amy Harrison	7-(133)214-3894
Maria Reyes	3-(859)281-5057
Helen Martinez	6-(639)993-9901
Doris Graham	2-(973)554-1539
Robin Jones	7-(366)049-5833
Janet Rodriguez	2-(076)250-4387
Diane Rodriguez	6-(520)180-1460
Anna Willis	6-(991)230-2159
Margaret Fernandez	1-(721)169-2581
Barbara Greene	5-(894)029-3401
Bonnie Ortiz	0-(127)385-7652
Michelle Lawson	9-(613)622-8105
Judith Mitchell	2-(318)922-0385
Michelle Cox	5-(148)814-4988
Judy Stephens	3-(839)406-9559
Paula Franklin	6-(154)538-5968
Sharon Thompson	4-(316)594-1797
Brenda Graham	6-(768)417-4772
Melissa Cooper	0-(925)349-7832
Denise Rice	0-(775)468-6920
Sara Clark	9-(809)359-0351
Paula Kennedy	6-(923)791-3126
Sara Dean	9-(986)733-6900
Melissa Ward	4-(952)108-8568
Janice Gray	7-(316)583-3272
Karen Lee	0-(236)851-2272
Evelyn Garcia	1-(430)158-0389
Lillian Brooks	6-(659)470-2003
Deborah Lewis	1-(349)550-6739
Patricia Mills	8-(711)959-7470
Joan Carter	6-(754)834-6917
Gloria Gordon	0-(146)371-0409
Maria Ramirez	0-(471)056-2924
Janet Gilbert	3-(658)490-0576
Kathryn Stephens	3-(183)036-9687
Kathryn Mills	1-(451)991-0620
Janice Bishop	2-(018)522-8517
Rose Hart	4-(871)005-4908
Carolyn Perez	4-(062)765-0965
Maria Miller	7-(984)206-7739
Joan Kennedy	4-(390)500-3618
Shirley Price	7-(893)316-5700
Norma Hayes	2-(266)690-0910
Sharon Watson	5-(880)588-9077
Dorothy Kim	3-(949)969-8609
Katherine Wells	7-(040)986-1852
Kimberly Baker	5-(669)280-2574
Lois Thompson	9-(177)271-7921
Heather Edwards	8-(268)946-8964
Anne Hansen	6-(949)083-2525
Wanda Cook	7-(371)222-2875
Kathleen Gibson	9-(701)093-6009
Pamela Hall	2-(785)458-7940
Donna Andrews	9-(918)154-7332
Mildred Hudson	2-(243)486-4021
Carol Gilbert	9-(047)838-0716
Tammy Price	1-(093)288-3760
Joan Harvey	5-(015)213-4244
Kathryn Stephens	0-(257)641-9730
Sharon Torres	5-(714)883-0112
Linda Powell	6-(226)608-8581
Laura Watson	8-(688)995-4110
Phyllis Walker	8-(009)203-8718
Dorothy Morrison	4-(236)309-4569
Janet Ramos	5-(761)413-1305
Ashley Rogers	0-(823)675-5541
Frances Campbell	0-(822)108-9579
Nicole Dixon	9-(625)520-4225
Judith Hill	1-(106)607-9642
Alice Watkins	4-(617)181-8739
Jennifer Johnston	3-(216)286-5454
Tammy Price	8-(189)119-8077
Lisa Griffin	1-(378)811-8045
Phyllis Williams	2-(801)699-3495
Emily Owens	4-(443)263-1059
Robin Rose	7-(814)773-5214
Karen George	8-(749)993-7588
Jennifer Carr	3-(953)216-7723
Michelle Meyer	3-(796)263-8714
Cynthia Graham	6-(635)348-7216
Margaret Price	4-(072)613-8750
Heather Larson	1-(110)707-7771
Tammy Perry	4-(035)559-7053
Michelle Jones	3-(416)176-6744
Diane Porter	6-(106)775-1678
Kimberly Fields	4-(660)074-7172
Lois Alexander	2-(068)266-0830
Irene Daniels	4-(325)969-2578
Judy Harvey	1-(295)540-2081
Christine Chapman	6-(386)122-1199
Denise Harrison	2-(370)560-1524
Joyce Roberts	3-(940)980-0973
Ashley Stewart	9-(764)462-8665
Debra Mcdonald	4-(266)501-0922
Joan Ross	5-(127)656-1563
Betty Martinez	7-(393)409-2255
Barbara Bradley	4-(465)169-1010
Kimberly Richardson	2-(870)260-6544
Christina White	5-(616)365-5622
Denise Richardson	7-(663)446-0176
Stephanie Wallace	3-(800)243-5461
Kathryn Kelley	1-(796)311-6489
Judy Austin	3-(807)807-4203
Janet Pierce	4-(279)612-7873
Katherine Howard	8-(890)204-8938
Tina Mccoy	9-(336)899-7667
Cynthia Day	7-(230)324-8528
Karen Willis	0-(241)607-3090
Sarah Grant	4-(073)953-1222
Ruby Larson	0-(849)224-7572
Melissa Diaz	8-(581)303-4018
Virginia Garcia	5-(485)117-3111
Jean Woods	6-(064)858-5749
Sara Parker	7-(049)151-2602
Lillian Simmons	4-(294)201-6503
Rose Fowler	9-(503)196-4751
Julia Burton	2-(590)864-1851
Patricia Hamilton	7-(841)702-4233
Irene Russell	3-(329)069-4164
Lois Porter	1-(825)504-3676
Teresa Duncan	0-(347)051-5525
Judy Hill	7-(288)177-2291
Joyce Robinson	8-(354)495-9163
Katherine Cunningham	1-(410)195-5292
Andrea Marshall	7-(114)412-4824
Beverly Wheeler	5-(932)700-0612
Tammy Bailey	2-(965)231-4933
Mildred Collins	3-(373)025-6723
Lois Phillips	2-(621)270-3888
Amy Martinez	4-(462)928-1809
Rebecca Hanson	3-(525)228-7336
Beverly Little	3-(938)692-8806
Louise Campbell	9-(743)715-0464
Lisa Washington	2-(975)311-4788
Anne Day	7-(538)449-7269
Jennifer Stevens	6-(857)769-1291
Patricia Miller	8-(366)242-5390
Jean Kim	6-(089)869-7995
Heather Montgomery	7-(549)322-5848
Ruby Evans	4-(514)611-9367
Donna Warren	9-(957)120-2070
Lois Cruz	9-(969)550-5114
Janice Walker	5-(798)639-8498
Theresa Castillo	8-(660)022-5892
Kelly Ramirez	5-(226)335-1663
Angela Gray	6-(324)457-5832
Laura Hamilton	0-(099)587-7761
Judith Reid	4-(235)768-3853
Nicole Griffin	6-(173)553-0278
Brenda Crawford	6-(154)612-6937
Michelle Austin	0-(137)382-5620
Rachel Miller	9-(806)711-5542
Joan Taylor	1-(109)741-3448
Robin Perry	3-(086)294-1065
Wanda Baker	3-(566)964-7701
Stephanie Oliver	3-(467)727-1412
Margaret Rice	6-(666)287-5839
Teresa Gilbert	2-(692)321-6868
Sandra Lawson	6-(462)435-1043
Kelly Morris	4-(887)217-2937
Lillian Bradley	4-(154)000-7189
Diana Gonzalez	4-(174)695-6061
Elizabeth Fields	4-(682)331-7321
Janet Bradley	7-(520)060-9722
Virginia Parker	3-(230)573-4417
Cheryl Hill	3-(638)766-7412
Jacqueline Cook	5-(846)516-0993
Kathy Turner	8-(080)452-4898
Bonnie Burns	1-(311)546-7097
Frances Duncan	9-(832)014-6727
Amy Cunningham	2-(852)933-8425
Laura Wright	1-(857)306-5101
Doris Carter	4-(802)216-7849
Judy Harper	4-(123)679-7942
Janice Rodriguez	6-(549)350-0416
Christine Freeman	0-(695)737-2571
Martha Green	2-(145)998-6696
Barbara Henderson	0-(834)367-4922
Gloria Scott	9-(437)168-4944
Laura Stewart	0-(218)367-9206
Diana Cunningham	1-(350)376-7597
Jacqueline Payne	0-(891)147-7387
Patricia Washington	1-(083)898-4898
Shirley Miller	1-(094)829-6568
Catherine Bryant	0-(408)715-7347
Elizabeth Franklin	4-(757)639-3080
Elizabeth Fuller	2-(252)433-8271
Frances Lee	8-(539)030-5321
Sarah Wright	3-(127)241-3627
Marie Boyd	8-(133)981-4049
Janet Evans	9-(695)427-1947
Susan Elliott	9-(415)944-2156
Brenda Campbell	3-(558)369-7123
Beverly Morales	5-(236)905-5626
Paula Carpenter	7-(282)414-4185
Joyce Bowman	2-(472)133-5512
Diana Torres	6-(683)429-0439
Shirley Willis	9-(170)716-9865
Tammy Davis	6-(572)164-4310
Jane Elliott	4-(681)813-2909
Frances Hughes	4-(039)603-1266
Sara Bishop	9-(462)622-4889
Catherine Gomez	8-(289)989-0754
Nicole Gonzales	5-(656)818-8780
Kelly Taylor	6-(125)854-3273
Judy Scott	4-(347)936-3963
Amanda Patterson	6-(200)701-7966
Patricia Hall	2-(341)170-0680
Rachel Bell	8-(745)591-0103
Paula Butler	1-(315)663-6214
Doris Day	7-(431)153-1073
Karen George	7-(875)628-7952
Tammy Hill	9-(106)339-2122
Paula Anderson	6-(269)225-0755
Emily Elliott	3-(442)824-8305
Robin Brown	1-(776)587-8559
Joan Phillips	5-(091)808-6654
Teresa Collins	7-(546)485-7283
Mildred Coleman	7-(650)508-0869
Theresa Howell	9-(228)618-0645
Gloria Harris	2-(279)542-8360
Laura Austin	1-(187)080-0371
Elizabeth Richards	2-(505)245-0312
Lori Barnes	2-(876)282-5082
Margaret Washington	1-(830)814-4216
Lillian Cole	5-(324)456-2678
Teresa Fields	0-(121)858-1833
Sara Watson	4-(587)063-9953
Kathleen Lopez	1-(643)138-5679
Martha Burns	1-(157)869-0206
Andrea Ray	9-(008)247-9378
Amy Freeman	0-(363)928-6543
Stephanie Lewis	4-(461)021-4511
Jessica Meyer	8-(473)079-6669
Judith Greene	2-(760)876-5591
Katherine Little	1-(132)085-9079
Barbara Hudson	9-(416)559-3396
Alice Scott	1-(711)226-8847
Sarah Hernandez	8-(359)241-2761
Brenda Reynolds	9-(927)746-4335
Teresa Riley	9-(352)679-0316
Christine Hicks	0-(475)417-4469
Margaret Bennett	5-(554)216-1007
Katherine Romero	8-(975)968-6180
Lillian Fisher	9-(981)247-6399
Anne Meyer	8-(119)565-0648
Sara Pierce	9-(733)948-9687
Jennifer Richards	1-(205)934-7041
Marilyn Gonzales	3-(590)331-0620
Heather Williams	2-(437)961-0847
Virginia White	7-(437)772-1477
Shirley Hernandez	7-(712)179-6898
Laura Ray	7-(186)044-8622
Kathryn Porter	2-(798)118-3199
Barbara Cooper	9-(734)989-5954
Doris Chapman	7-(479)551-8840
Catherine Bradley	8-(541)047-0077
Sharon Turner	6-(903)466-4764
Kimberly Nichols	2-(613)447-0328
Andrea Bishop	9-(514)840-9537
Sara Mendoza	0-(460)502-7931
Lisa Elliott	6-(686)565-0005
Theresa Patterson	5-(933)049-7184
Deborah Hernandez	2-(795)123-6796
Lori Stevens	4-(662)395-3957
Brenda Ramirez	6-(288)437-3960
Katherine Flores	9-(397)398-9850
Teresa Fields	0-(114)956-3374
Anne Patterson	5-(490)422-0649
Kathy Wood	0-(824)976-5131
Pamela Cook	3-(083)118-7894
Pamela Hart	3-(550)557-6410
Marilyn Ford	1-(491)511-2153
Dorothy White	9-(817)737-4790
Phyllis Hansen	3-(908)981-5762
Sara Owens	9-(586)525-1177
Lori Rice	8-(005)112-6950
Kimberly Kelley	0-(433)392-2173
Tammy Welch	4-(076)427-8439
Evelyn Day	6-(555)159-0604
Janice Reyes	3-(972)781-6324
Alice Wood	8-(999)675-0044
Virginia Burton	4-(454)810-4371
Deborah Holmes	3-(697)378-5252
Margaret Cox	7-(553)858-0879
Catherine Fox	5-(923)741-5110
Marie Gilbert	8-(896)400-5276
Evelyn Scott	0-(840)957-9517
Deborah Nguyen	4-(726)980-5495
Robin Harvey	9-(647)365-1779
Kathryn Greene	5-(677)076-7688
Amanda Fernandez	4-(173)091-0990
Anne Russell	7-(500)057-5288
Heather Baker	1-(789)550-7177
Beverly Henry	8-(249)302-8416
Sandra Sanchez	7-(697)962-9279
Denise Payne	3-(373)165-6638
Ruby Collins	9-(529)751-5013
Kathryn Carter	6-(916)939-0933
Louise Henry	9-(713)465-2463
Sarah Howell	1-(605)557-8299
Betty Long	9-(493)983-1842
Susan Shaw	3-(135)821-3150
Carolyn Hudson	7-(733)369-8135
Catherine Mills	7-(987)180-3963
Lillian Alexander	0-(851)906-0978
Joyce Rogers	7-(372)228-7459
Susan Burns	2-(350)546-6583
Julia Morgan	1-(849)127-9895
Betty Arnold	6-(729)749-9820
Diana Mendoza	0-(644)740-7689
Maria Frazier	3-(130)206-5186
Andrea Dean	2-(397)257-6349
Nancy Gordon	1-(650)002-2866
Evelyn Morales	0-(200)176-0842
Sara Hawkins	0-(393)251-2676
Lisa Frazier	4-(648)047-7898
Beverly Evans	7-(989)131-4798
Sharon Patterson	7-(682)107-8437
Heather Hughes	2-(247)651-8408
Diane Patterson	2-(214)863-9683
Cynthia Shaw	4-(057)052-0687
Nicole Diaz	6-(427)223-0153
Carolyn Patterson	2-(982)954-7629
Emily George	0-(804)753-8328
Cheryl Burns	2-(007)587-2001
Barbara Boyd	1-(740)827-7922
Julia Stone	0-(336)158-5764
Julia Crawford	8-(799)589-7801
Lois Fuller	0-(324)890-3950
Katherine Martinez	7-(119)314-4270
Kimberly Little	7-(039)134-0288
Theresa Riley	8-(681)061-5779
Stephanie Peters	1-(361)131-2828
Donna Arnold	0-(949)585-5836
Rose Turner	2-(734)624-1090
Mary Ramos	4-(507)506-6475
Pamela Freeman	7-(948)970-6106
Dorothy Cruz	2-(093)054-5705
Sandra Murphy	9-(886)368-0482
Maria Ward	9-(248)855-7766
Andrea Martinez	4-(470)762-2821
Carol Bailey	2-(041)483-7563
Jean Morrison	2-(518)674-3468
Judith Dean	1-(248)678-4268
Wanda Coleman	4-(092)878-9652
Emily Dean	9-(993)666-1815
Angela Hamilton	9-(114)097-9122
Frances George	5-(457)094-3373
Kelly James	4-(825)035-3041
Dorothy Bishop	0-(159)982-9240
Jane Anderson	9-(999)264-3812
Judy Martin	0-(156)754-5601
Joan Martin	8-(656)972-6031
Michelle Carr	7-(031)241-7625
Catherine Cox	7-(584)915-4174
Doris Romero	6-(797)094-4539
Rose Harris	3-(974)611-0917
Carolyn Garrett	6-(406)768-0161
Laura Ramirez	3-(600)670-0620
Rebecca Hill	0-(963)064-6576
Stephanie Wells	2-(515)695-2141
Carol Foster	8-(545)787-0486
Irene Weaver	4-(428)659-2090
Wanda Reid	3-(239)769-6002
Teresa Johnston	6-(077)322-0034
Julie Miller	0-(877)744-5541
Amanda Carroll	8-(226)896-9289
Sharon Myers	4-(526)270-5264
Evelyn Perkins	7-(527)647-9076
Maria Montgomery	5-(495)507-0036
Lori Burton	1-(003)459-7031
Elizabeth Garcia	4-(411)194-9402
Pamela Adams	6-(300)976-3180
Lori King	4-(274)928-9183
Lillian Perez	7-(906)777-3284
Ashley Medina	2-(653)143-8206
Judy Rogers	2-(411)432-7616
Cheryl Cunningham	8-(706)201-0333
Alice Larson	0-(982)117-0035
Christina Johnson	1-(462)556-4939
Robin Daniels	3-(964)416-7997
Ruby Black	8-(623)975-2495
Denise Turner	2-(130)484-0714
Robin Grant	3-(883)158-8936
Lillian Romero	5-(661)596-8804
Julia Hall	7-(563)440-6399
Laura Murray	4-(766)950-6905
Amy Harris	6-(993)546-5642
Pamela West	4-(700)252-4863
Shirley Perez	8-(319)148-5843
Frances Peterson	2-(037)359-1373
Rose Wood	9-(394)994-3056
Laura Elliott	4-(539)130-2429
Julia Wallace	8-(801)564-2764
Katherine Elliott	0-(356)794-1049
Kathryn Bryant	1-(508)315-6751
Pamela Dixon	6-(974)747-4662
Cheryl Stone	7-(579)838-6940
Patricia Burke	2-(680)009-2183
Cynthia Rivera	6-(497)042-0774
Beverly Hunter	6-(557)712-7711
Annie Berry	9-(361)810-9606
Kelly Ruiz	3-(028)375-8431
Dorothy Mccoy	4-(784)127-0158
Laura Lynch	9-(865)546-7150
Amanda Burton	0-(421)405-1395
Tina Vasquez	1-(332)525-2658
Sharon Stone	1-(690)881-0640
Emily Cook	1-(728)081-9694
Helen Jordan	0-(817)893-6339
Linda Marshall	4-(333)247-3023
Heather Peters	6-(373)521-1670
Betty Bell	7-(063)992-3111
Janice Murray	8-(378)887-3554
Joan Boyd	3-(061)472-7866
Theresa Fisher	0-(249)539-1878
Karen Hansen	5-(677)150-5841
Judith Reid	2-(489)649-4532
Amy Simmons	7-(713)622-4537
Jane Johnson	3-(067)529-3332
Katherine Fuller	4-(644)832-9393
Sandra Lee	1-(272)187-5432
Gloria White	0-(938)855-7144
Carolyn Peters	5-(592)166-4134
Rebecca Ortiz	6-(629)440-9371
Katherine Ross	2-(095)115-0358
Emily Jones	5-(741)850-4234
Jane Stanley	4-(045)817-4304
Lori Stewart	5-(160)727-2636
Sandra Edwards	9-(944)879-0464
Carol Cox	6-(624)345-9907
Kathy Gilbert	0-(107)110-1668
Carolyn Myers	3-(801)276-0790
Kathleen Watson	2-(878)232-0247
Judy Evans	8-(435)196-7743
Sara Ross	4-(526)231-5149
Anne Miller	1-(990)616-3379
Shirley Lee	0-(760)982-7707
Doris Smith	7-(193)242-5756
Marilyn Allen	4-(466)216-0634
Betty Bailey	3-(364)145-3346
Rachel Russell	5-(282)726-3276
Rebecca Arnold	4-(414)744-3986
Evelyn Reid	2-(171)884-7687
Diane Larson	5-(557)521-0106
Joyce Wood	2-(707)962-4377
Emily Holmes	1-(147)753-6967
Judy Cunningham	1-(168)128-3145
Karen Rogers	3-(994)051-5063
Doris Wells	3-(563)878-8421
Alice Woods	5-(535)301-1334
Sarah Jacobs	6-(542)352-4416
Mary Davis	2-(863)509-0622
Nicole Robinson	8-(459)930-7685
Cheryl Nelson	6-(025)091-0803
Evelyn Hall	7-(477)342-5241
Evelyn Brooks	0-(965)965-9787
Helen Bradley	1-(392)102-4910
Theresa Hayes	3-(128)657-6329
Doris Medina	1-(351)072-0436
Deborah Lopez	7-(939)825-8364
Shirley Hansen	8-(853)386-1813
Jennifer Cox	5-(022)468-0054
Julia Martinez	3-(984)267-5296
Phyllis Grant	8-(505)240-4086
Laura Robertson	5-(054)284-5227
Ruby Weaver	9-(009)335-9333
Nancy Foster	5-(327)814-3625
Debra Murphy	6-(859)848-9546
Ruth Carpenter	7-(793)044-8096
Kathleen Payne	6-(830)690-5612
Ruth Dixon	1-(818)298-0380
Martha Tucker	8-(642)856-1347
Carolyn Johnston	3-(605)207-8289
Betty Owens	1-(707)366-3513
Marie Stanley	6-(795)605-4422
Janice Walker	6-(451)361-5390
Sandra Jackson	1-(322)224-5145
Alice Miller	6-(743)408-9833
Nancy Gutierrez	3-(086)188-7149
Carol Fisher	3-(698)810-3577
Karen Anderson	3-(974)236-5410
Jane Warren	8-(067)512-5627
Sarah Jenkins	7-(707)463-2637
Brenda Martinez	8-(236)849-8236
Christine Tucker	9-(825)730-6873
Pamela Ray	1-(207)685-9322
Kimberly Shaw	0-(493)345-6842
Tammy Torres	2-(136)649-7091
Catherine Murray	5-(327)953-2733
Heather Knight	1-(545)188-3937
Emily Perez	9-(732)368-6176
Jennifer Sanchez	1-(203)320-7718
Ruth Warren	3-(094)970-8431
Tina Nelson	7-(885)583-2874
Bonnie Torres	2-(551)287-9618
Anne Bennett	6-(091)467-4039
Gloria Mason	6-(652)896-9069
Karen Hudson	3-(017)942-8568
Kimberly Snyder	9-(638)078-5945
Joan Tucker	6-(349)813-8599
Shirley Greene	4-(396)772-3668
Carolyn Howell	1-(904)010-6736
Andrea Holmes	8-(439)110-0043
Wanda Graham	8-(461)515-9673
Denise Gomez	6-(258)934-0494
Joan Rogers	3-(144)862-1167
Christina Harvey	0-(885)925-4604
Jean Medina	6-(227)514-8928
Susan Riley	3-(632)710-8134
Kathryn Shaw	9-(783)686-2838
Joan Willis	4-(808)678-9698
Karen Kelley	2-(433)938-2214
Judy Ford	1-(939)992-3141
Joyce Myers	8-(288)396-5226
Sara Rivera	4-(745)763-0350
Stephanie Knight	9-(558)243-9514
Kathleen Campbell	8-(198)898-5349
Stephanie Crawford	4-(122)485-9613
Christine Dixon	4-(603)235-7031
Robin Brown	6-(653)800-5522
Bonnie Webb	4-(000)207-1726
Norma Hanson	9-(169)203-1258
Carolyn Cruz	2-(260)747-8855
Kathy Bennett	6-(140)895-4438
Lillian Reid	3-(938)295-6545
Rebecca Lee	4-(281)840-1691
Louise Alexander	7-(780)294-2631
Amanda Myers	7-(841)172-2030
Ruby Baker	0-(084)367-1982
Beverly Olson	5-(921)726-4644
Jean Brooks	6-(153)466-8447
Kathy Davis	3-(842)170-1958
Melissa Shaw	8-(386)653-8860
Marie Hart	2-(855)137-4961
Melissa Wood	1-(484)878-0668
Teresa Rivera	4-(626)940-3240
Ruby Payne	1-(677)952-5731
Norma Sanders	6-(166)065-9689
Andrea Ramirez	0-(011)289-9520
Louise Peters	0-(870)252-5268
Ruth Bryant	0-(732)696-8971
Diane Reyes	6-(630)390-5661
Alice Anderson	1-(121)800-4074
Anne Scott	5-(101)855-3406
Lillian Torres	8-(700)036-9185
Beverly Jenkins	7-(230)112-5940
Nicole Hart	7-(733)728-3992
Linda Russell	7-(849)142-5349
Barbara Harrison	7-(673)056-0325
Jennifer Morris	5-(989)443-7443
Diana Vasquez	6-(368)689-2615
Jane Kim	0-(462)738-8737
Robin Powell	5-(869)285-6989
Katherine Gonzalez	2-(497)263-4240
Tammy Adams	0-(395)026-3816
Helen Burns	4-(399)091-2502
Virginia Sullivan	1-(933)471-4765
Sarah Wright	4-(379)047-6160
Donna Patterson	4-(644)853-3966
Stephanie Hayes	8-(771)833-0960
Kathleen Dixon	3-(571)639-0727
Lisa Palmer	5-(694)244-6218
Amanda Cole	7-(776)753-8615
Catherine Sanchez	9-(162)774-4998
Martha Parker	8-(172)695-5953
Diane Henderson	8-(638)002-4346
Joyce Fisher	9-(846)672-1447
Katherine Murphy	0-(635)857-9643
Michelle Hart	0-(186)378-5030
Amy Medina	1-(847)388-2075
Christine Montgomery	7-(873)123-5493
Kathryn Rogers	8-(085)593-3797
Ruby Matthews	8-(278)563-4857
Sharon Ryan	3-(986)933-9972
