Alice Walker	5-(786)140-3346
Frances Payne	2-(927)637-8254
Sharon Peters	8-(024)627-0424
Jennifer Knight	8-(496)688-0000
Tammy Miller	9-(015)767-4501
Cheryl Nichols	6-(034)859-1475
Jessica Bryant	5-(277)826-4836
Mildred Hart	1-(376)713-1590
Mary Rivera	8-(163)164-6176
Rachel Flores	6-(096)906-2861
Evelyn Garcia	4-(760)859-0235
Linda Owens	6-(223)685-2727
Alice Cruz	0-(463)821-2962
Mary Rose	1-(348)574-5000
Marilyn Fields	5-(058)832-5921
Nicole Graham	7-(802)145-5376
Anna Hayes	6-(208)727-0959
Susan Lawson	0-(402)654-9770
Marie Berry	3-(427)968-3387
Lisa Hayes	9-(180)797-2922
Nancy Richardson	5-(658)178-6097
Rachel Perry	9-(606)415-0722
Amanda Meyer	0-(992)531-9514
Helen James	2-(612)413-8265
Carol Clark	9-(166)467-6013
Jane Alvarez	9-(724)580-7607
Dorothy Murphy	3-(425)383-6531
Melissa Peterson	4-(806)840-3064
Barbara Gonzales	3-(270)366-7891
Kathy Pierce	8-(624)529-4418
Kimberly Stewart	1-(816)058-8151
Ruby Alexander	5-(355)130-8379
Brenda Alexander	0-(508)585-7101
Mildred Bailey	4-(916)471-5911
Paula Ford	7-(790)047-0714
Jean Hill	5-(122)295-8477
Theresa Watkins	9-(030)620-4297
Doris Myers	0-(093)800-5531
Kelly Palmer	3-(837)963-3227
Helen Reid	9-(581)271-4516
Maria Gardner	2-(423)231-5687
Nancy Vasquez	7-(169)292-2231
Kimberly Turner	2-(718)227-9645
Diana Wilson	6-(959)038-9217
Jessica Walker	5-(010)427-0511
Kathryn Fuller	6-(330)882-3951
Kathleen Reyes	1-(178)924-7352
Rachel West	4-(958)547-7422
Frances Freeman	6-(999)968-2472
Ann Garza	9-(618)404-1778
Jane Bryant	0-(224)741-3787
Brenda Kelley	7-(784)397-2736
Deborah Alvarez	5-(474)170-1277
Julia Powell	8-(526)827-8264
Catherine Morales	6-(792)866-8949
Joan Cole	0-(241)229-8434
Emily Ellis	9-(827)927-1037
Annie Bradley	4-(296)853-2497
Virginia Daniels	5-(582)693-3238
Heather Sanchez	1-(716)335-0277
Jennifer Andrews	6-(142)945-5162
Martha Welch	3-(822)703-7385
Kelly Sanders	0-(785)218-9669
Cheryl Kennedy	4-(745)188-2943
Cynthia King	7-(532)072-4080
Emily Myers	3-(190)788-0681
Patricia Peterson	0-(634)647-3977
Pamela Morales	9-(348)715-1919
Jane Bradley	5-(730)140-9890
Anna Dean	4-(707)547-9872
Lois Holmes	3-(886)160-0461
Irene Hunt	1-(716)688-8150
Lori Boyd	3-(058)871-0898
Tina Fuller	2-(056)772-2860
Jane Elliott	9-(281)783-7311
Tina Hansen	1-(879)402-4442
Carolyn Harvey	5-(972)244-9190
Betty Porter	2-(981)167-8580
Kimberly Torres	0-(544)391-2216
Maria Gomez	9-(728)457-3955
Jessica Stevens	2-(235)056-1616
Rachel Sanchez	0-(178)900-9601
Joan Watkins	9-(188)285-2593
Lori Mendoza	0-(568)149-5707
Deborah Armstrong	2-(490)454-5515
Rose Gonzalez	3-(549)972-0168
Janet Williamson	5-(180)584-0251
Andrea Green	3-(088)162-6306
Virginia Armstrong	3-(864)490-3574
Ann Fields	8-(247)819-2930
Julia Bryant	9-(619)283-2875
Ashley Allen	3-(232)914-6511
Julia Riley	1-(027)464-3177
Angela Lane	0-(514)388-4893
Patricia Ruiz	4-(100)449-6907
Donna Clark	8-(705)187-5326
Marie Dixon	8-(463)774-4527
Julia Robertson	0-(642)392-7147
Carolyn Cox	2-(193)413-3721
Anna Bowman	5-(544)170-4432
Stephanie Washington	9-(756)168-0689
Kathryn Willis	2-(973)441-0544
Barbara Elliott	7-(895)200-9383
Sarah Payne	3-(045)893-8397
Evelyn Moore	6-(114)591-3231
Kathryn Campbell	3-(796)290-7003
Beverly Wilson	1-(427)013-7871
Nicole Duncan	4-(184)196-9351
Martha Bryant	1-(097)800-4118
Martha Bishop	9-(130)347-2963
Heather Wallace	8-(802)212-5089
Jane Garrett	6-(025)101-9111
Kathleen Turner	9-(174)046-2865
Wanda Murray	9-(311)166-0893
Kathy Stanley	0-(637)727-2935
Dorothy Snyder	7-(782)822-7404
Stephanie Bennett	8-(002)689-4602
Sharon King	4-(069)801-9609
Carol Wells	8-(511)030-8629
Helen Montgomery	7-(357)396-3943
Barbara Harper	3-(319)484-8249
Sara Ferguson	1-(453)178-4074
Andrea Nguyen	1-(074)686-5405
Marie Lynch	2-(294)551-8219
Marie Robertson	6-(127)101-0233
Andrea Myers	5-(552)005-8500
Amy James	4-(697)988-0034
Anna Henderson	1-(065)727-7169
Judy Gomez	1-(902)280-6488
Ann Hunter	7-(454)907-3525
Melissa Carr	0-(873)922-4273
Louise Hughes	1-(892)599-5104
Theresa Harper	8-(354)847-2806
Margaret Jenkins	3-(005)252-5662
Mary Ortiz	4-(697)500-1643
Debra Burton	5-(556)283-1607
Rebecca Collins	6-(658)686-0157
Louise Russell	5-(624)680-0766
Tammy Allen	3-(214)702-2158
Sarah Howard	9-(975)677-0378
Denise Garcia	5-(398)056-3059
Teresa Evans	5-(537)206-2100
Annie Lane	4-(992)294-2345
Jane Welch	5-(714)037-4714
Evelyn Moore	7-(401)289-7479
Martha Andrews	5-(608)664-4096
Jean Barnes	3-(982)640-6517
Janice Bowman	0-(027)016-3931
Melissa Clark	0-(004)220-4978
Betty Miller	0-(373)775-2758
Michelle Perkins	9-(202)469-4453
Lillian Mitchell	3-(639)493-6344
Mary Brown	3-(176)782-5325
Catherine Williamson	9-(715)075-4509
Evelyn Burke	7-(336)514-2778
Karen Sanchez	4-(996)131-0922
Diana Rodriguez	9-(085)256-1029
Catherine Romero	0-(604)486-6776
Irene Woods	3-(745)273-1683
Melissa Reyes	6-(420)098-4363
Melissa Barnes	8-(410)807-3573
Alice Ramirez	8-(976)619-3429
Frances Gomez	8-(070)572-5774
Beverly Flores	5-(532)851-5882
Judith Carr	8-(107)232-7305
Helen Kelly	8-(837)008-0013
Julie George	3-(694)907-8760
Jennifer Little	6-(517)281-3302
Tina Warren	7-(001)537-0827
Cheryl Graham	0-(718)323-5530
Amy Larson	1-(750)486-9181
Doris Martin	8-(225)524-7555
Helen Murphy	8-(911)418-5561
Angela Morgan	8-(363)417-5763
Joyce Lynch	0-(568)731-9386
Jacqueline Bryant	9-(712)091-4974
Joan Garcia	8-(525)163-2791
Carol Knight	8-(333)387-2049
Evelyn Gray	2-(107)734-4784
Judy Tucker	2-(639)013-4162
Donna Lawson	3-(406)350-8694
Debra Morrison	9-(236)857-1123
Margaret Jacobs	8-(457)710-7337
Jacqueline Black	2-(827)422-8382
Mildred Gomez	2-(008)624-6143
Louise Olson	7-(298)665-6289
Bonnie Morris	2-(862)306-2995
Linda Morales	0-(268)509-7592
Judy Holmes	9-(370)371-1905
Carolyn Pierce	1-(995)192-9507
Diane Lawrence	9-(853)455-8591
Jennifer Campbell	5-(785)600-3666
Lori Perez	1-(967)776-7692
Rose Perkins	5-(358)516-2640
Heather Johnson	5-(972)127-9347
Janice Young	9-(347)210-4236
Ruby Austin	8-(336)930-1907
Janet Wright	5-(408)710-9585
Wanda Oliver	7-(942)860-6060
Ashley James	8-(442)985-4095
Joyce Gordon	6-(770)742-6056
Diane Stewart	0-(031)933-8753
Christina Nichols	0-(458)894-1550
Brenda Ray	5-(478)191-4179
Elizabeth Price	0-(539)282-8586
Katherine Henderson	7-(614)189-9223
Kathryn Mason	2-(183)409-7665
Kathleen Schmidt	7-(281)574-4231
Diana Sanders	1-(069)068-5404
Laura Kelly	4-(563)280-7236
Lisa Knight	2-(848)437-3216
Cynthia Cunningham	1-(458)013-8891
Brenda Schmidt	6-(652)982-4524
Betty Wheeler	9-(214)288-0394
Helen Greene	3-(514)008-5892
Janice Harrison	0-(181)877-1423
Norma George	5-(787)639-8204
Janice Brown	0-(769)550-5533
Jacqueline Sanders	3-(104)777-4462
Carol Harvey	0-(824)301-2250
Jane Sanders	2-(941)965-7736
Laura Stanley	6-(583)617-1550
Jessica Burke	8-(977)919-3287
Jessica Rogers	2-(233)030-8605
Anne Coleman	5-(322)812-4324
Stephanie Burns	6-(806)543-8202
Jessica Johnston	5-(567)451-7381
Sara Walker	7-(489)337-1290
Julie Wright	7-(855)039-4037
Stephanie Rogers	9-(146)213-0088
Denise Roberts	0-(248)658-6352
Tina Spencer	7-(931)868-3713
Mary Knight	0-(817)099-7321
Nancy Castillo	0-(756)635-3917
Nancy Henderson	1-(308)500-8786
Annie Wagner	6-(789)990-0187
Anne Shaw	4-(713)556-7760
Paula Hamilton	6-(899)576-3195
Cynthia Montgomery	8-(251)063-8891
Catherine Gutierrez	6-(027)960-8535
Anne Wilson	6-(561)057-0933
Carol Burns	2-(853)524-6621
Beverly Berry	3-(490)992-2038
Anne Wright	5-(881)810-9417
Robin Price	9-(682)677-3184
Kelly Russell	0-(573)652-1777
Virginia Spencer	1-(204)321-1462
Kimberly Gibson	1-(343)459-8199
Christina Simpson	8-(928)750-4516
Nicole Hunter	8-(713)015-2628
Christine Jacobs	2-(204)935-5266
Virginia Ortiz	6-(288)232-7662
Karen Gray	8-(133)269-5403
Jessica Knight	9-(702)939-0594
Pamela Williamson	8-(289)073-0020
Teresa Allen	0-(140)467-2411
Nicole Morris	0-(874)714-1046
Kathy Frazier	2-(749)898-6277
Amy Williamson	2-(170)145-5068
Maria Perry	8-(194)240-1608
Lisa Baker	0-(281)645-1675
Lisa Schmidt	7-(064)737-6697
Rebecca Peters	7-(235)530-7330
Joyce Howell	7-(006)410-5929
Cheryl Shaw	9-(778)504-6419
Frances Matthews	9-(799)943-0368
Christina Olson	8-(845)916-8179
Joyce Palmer	6-(716)735-6391
Nicole Lawrence	9-(754)069-1189
Ruby Bell	4-(745)010-8374
Paula Wood	4-(670)960-4934
Phyllis Sanchez	3-(839)070-2009
Cynthia Carr	7-(959)175-1127
Maria West	1-(972)107-3155
Kathryn Gutierrez	8-(782)880-8290
Norma Garza	4-(732)576-3534
Maria Parker	6-(592)161-6477
Laura Griffin	8-(551)136-0654
Andrea Richardson	5-(695)762-8751
Sandra Evans	7-(620)259-5741
Sandra Perkins	0-(704)162-6590
Kathryn Franklin	2-(865)948-6720
Sharon Carter	4-(881)397-7072
Amanda Rice	7-(136)601-7524
Melissa Hill	3-(768)385-2012
Tammy Mitchell	6-(189)302-1789
Jennifer Hanson	3-(267)300-2889
Jean James	1-(263)639-3253
Kathleen Wright	1-(181)870-4724
Judith Washington	2-(945)600-5162
Evelyn Duncan	8-(950)328-8398
Karen Allen	9-(972)883-4304
Rose Garza	6-(023)054-1509
Christine Simpson	6-(267)900-2086
Angela Crawford	1-(685)558-1868
Linda Palmer	7-(977)240-2184
Amy Fuller	2-(466)190-3802
Frances Austin	6-(134)776-2274
Carolyn Stanley	4-(053)661-5221
Annie Parker	9-(240)187-5596
Angela Armstrong	1-(702)616-5291
Annie Morales	3-(959)645-0185
Anna Sims	5-(166)951-4769
Lisa Reed	8-(725)614-7028
Andrea Hernandez	3-(794)807-3733
Sara Anderson	7-(549)959-0568
Betty Hayes	6-(903)886-1778
Carol Wilson	1-(040)883-6870
Susan Hall	8-(990)280-5736
Joan Henry	0-(295)012-8755
Martha Diaz	0-(589)813-2671
Paula Walker	4-(565)477-0435
Phyllis Riley	6-(443)762-4792
Betty Banks	6-(037)127-1021
Denise Anderson	4-(565)951-7723
Amanda Lee	6-(864)732-9671
Kathryn Jenkins	7-(522)290-8622
Wanda Simmons	3-(112)216-8925
Brenda Hall	4-(650)317-0836
Julia Reed	4-(324)130-6558
Dorothy Williamson	1-(305)730-6449
Rose Carter	8-(230)758-8568
Donna Cooper	4-(072)394-6658
Denise Harper	8-(802)066-1043
Rose Kelly	9-(683)954-3987
Virginia Reynolds	4-(562)511-0319
Maria Spencer	2-(866)283-4612
Irene Martinez	9-(665)685-4485
Mildred Kennedy	2-(635)886-4313
Sarah Owens	0-(409)449-6121
Jessica Ramirez	7-(651)826-4696
Kathryn Mendoza	2-(825)756-7547
Michelle Rose	8-(956)273-2937
Donna Flores	8-(243)482-8115
Ruby Taylor	5-(547)629-3690
Cheryl Wright	8-(685)814-2100
Denise Flores	6-(262)032-6050
Catherine Daniels	8-(088)263-6013
Evelyn Nichols	9-(895)135-9876
Cynthia Cunningham	0-(881)811-4744
Jean Lynch	1-(506)358-2739
Marie Sanders	3-(658)623-5103
Julia Snyder	5-(732)645-0170
Emily Reid	2-(048)376-8902
Rachel Carr	0-(504)978-3468
Kathy Jacobs	5-(675)262-5230
Bonnie Thomas	1-(860)950-6058
Ashley Howard	6-(718)374-0258
Cheryl Shaw	3-(502)515-9487
Lori Rice	0-(290)167-8749
Kathleen Medina	2-(266)483-3464
Norma Chapman	4-(685)110-2686
Karen Welch	5-(853)805-6725
Evelyn Daniels	5-(959)005-5687
Shirley Burton	0-(081)128-2656
Alice Johnson	0-(335)097-0643
Cynthia Mason	6-(959)272-9354
Ruby Myers	6-(092)149-5874
Kathryn Campbell	3-(926)977-9537
Cynthia Olson	9-(538)603-2641
Gloria Gutierrez	7-(832)314-7072
Brenda Martinez	5-(367)029-0448
Jacqueline Reid	0-(962)647-8056
Jessica Russell	1-(793)951-1330
Helen Schmidt	6-(631)341-5201
Sandra Reed	5-(276)267-7513
Jessica Hall	9-(485)178-1657
Jennifer Lee	5-(060)436-9209
Lori Cunningham	8-(837)552-3072
Kathy Hawkins	2-(756)054-6491
Heather Thompson	1-(941)988-7649
Susan James	8-(771)793-0202
Laura Franklin	5-(484)549-4123
Rebecca Cunningham	9-(603)082-1387
Anne Smith	1-(944)436-6817
Mildred Long	2-(637)030-3469
Julia Baker	4-(195)033-5114
Maria Phillips	5-(850)015-8432
Lillian Nichols	8-(593)135-2398
Kathy George	4-(772)067-4237
Donna Ford	7-(978)073-1590
Jane Andrews	1-(487)300-8049
Nancy Edwards	4-(122)129-9158
Theresa King	9-(524)631-5793
Nancy Schmidt	2-(589)251-8142
Elizabeth Greene	5-(561)326-5943
Alice Walker	2-(608)376-1079
Robin Shaw	0-(513)636-7032
Julia George	4-(053)757-3033
Julie Carpenter	0-(852)868-6188
Jacqueline Stephens	4-(894)631-7159
Anna Powell	8-(842)105-3408
Ruth Bell	8-(974)762-2993
Mildred Chavez	2-(090)844-7514
Julia Russell	8-(754)409-1719
Ruth Ray	6-(486)868-7463
Sandra Patterson	2-(682)795-6318
Denise Harrison	7-(324)315-4521
Alice Black	0-(076)855-0662
Deborah Henry	6-(501)931-6109
Sara Mccoy	8-(005)478-0307
Stephanie Warren	3-(359)411-6329
Judith Martinez	2-(773)940-8976
Norma Crawford	6-(493)004-3292
Jean Rice	3-(100)492-9231
Deborah Richards	2-(258)705-2236
Gloria Fernandez	1-(724)658-0366
Deborah Little	4-(052)014-2326
Janet Garza	2-(585)012-4938
Cheryl Armstrong	5-(474)935-1328
Virginia Black	5-(616)749-2447
Brenda Simmons	4-(225)184-3949
Amanda Grant	6-(687)582-6965
Beverly Bailey	5-(274)038-3816
Nicole Wood	8-(893)943-7484
Beverly Perkins	8-(862)091-3741
Sara Cunningham	8-(692)515-7922
Doris Bradley	5-(540)149-1590
Joyce Cole	8-(180)181-9403
Alice Coleman	0-(326)852-8096
Ruby Ford	1-(632)536-2716
Alice Johnston	6-(606)892-4180
Julia Willis	7-(073)804-9567
Janet Oliver	3-(423)377-5828
Annie Day	9-(024)047-5127
Doris Marshall	8-(422)813-0485
Elizabeth Welch	7-(623)549-3849
Martha Gilbert	0-(965)225-8784
Ashley Wilson	1-(969)256-0185
Mildred Hill	4-(858)894-3775
Stephanie Torres	5-(447)577-7580
Susan Holmes	1-(061)906-3323
Amanda Phillips	8-(641)605-5732
Martha Ryan	1-(812)718-6714
Stephanie Robinson	8-(780)683-1204
Deborah Gomez	0-(350)883-5665
Betty Hansen	1-(854)780-4641
Stephanie Thomas	5-(526)249-5443
Ashley Smith	7-(234)538-5993
Rose Bradley	5-(539)163-8463
Jessica Garrett	6-(351)946-2721
Bonnie Larson	9-(174)797-5419
Lillian Bailey	3-(386)793-4050
Amy Peterson	0-(698)306-3461
Judy Brooks	1-(617)910-7578
Kathryn Powell	0-(824)128-1692
Jane Kim	1-(504)581-5931
Beverly Banks	8-(749)341-4095
Donna Garrett	3-(399)722-9416
Emily Fernandez	9-(325)700-7197
Ruby Mitchell	8-(520)772-9689
Paula Brooks	4-(741)247-3368
Kelly Day	3-(962)564-3027
Catherine Perkins	1-(866)747-2955
Sarah Peters	5-(183)426-0161
Tina Hill	6-(384)973-1231
Alice Hughes	6-(353)966-7991
Emily Morrison	3-(140)993-8676
Denise Wood	2-(241)814-6525
Tina Welch	8-(683)056-4977
Doris Daniels	4-(224)627-8054
Betty Kim	1-(429)094-7509
Sara Roberts	7-(428)904-1781
Rebecca Ortiz	1-(978)242-9066
Ashley Jenkins	6-(072)521-2191
Carol Jenkins	5-(055)761-8364
Phyllis Henry	8-(700)037-0038
Marie Harrison	9-(309)513-8547
Virginia Hill	8-(518)994-9762
Barbara Ferguson	4-(687)634-1150
Linda Mccoy	5-(905)778-7341
Lori Ford	3-(755)234-4730
Patricia Woods	4-(792)924-6775
Michelle Fox	7-(158)620-9585
Martha Mcdonald	1-(785)900-4993
Jean Kennedy	5-(267)523-9257
Marilyn Edwards	6-(283)362-1248
Laura Kim	9-(572)530-0368
Diane Franklin	1-(663)904-4787
Sarah Williamson	9-(969)521-1634
Betty Larson	2-(540)152-8217
Elizabeth Lawrence	2-(850)189-4571
Martha Mcdonald	8-(318)923-8617
Amanda Simpson	7-(284)126-4998
Theresa Walker	2-(243)025-9008
Kelly Bennett	8-(483)996-1014
Tina Marshall	1-(510)974-0426
Anne Ferguson	6-(306)789-4257
Ruth Reynolds	5-(951)813-7744
Carol Porter	4-(974)652-3210
Jean Burke	1-(871)759-3968
Mildred Day	1-(229)202-5546
Rose Dixon	6-(516)475-4589
Tina Gordon	8-(729)509-1840
Virginia Hunt	7-(656)912-7014
Andrea Sims	8-(529)401-3027
Cynthia Brown	8-(948)866-9114
Wanda Brooks	1-(427)993-8701
Debra Garcia	1-(580)082-4935
Kelly Hernandez	7-(146)916-6586
Sarah Harper	0-(687)666-5192
Janice Reyes	8-(686)349-7071
Helen Rice	2-(037)963-4984
Deborah Gilbert	7-(142)328-8851
Sandra Sullivan	8-(563)691-2465
Paula Flores	8-(678)699-2089
Nancy Graham	8-(539)971-6000
Anne Boyd	8-(540)373-0500
Donna Owens	8-(452)861-8297
Diana Kelley	8-(973)810-2179
Mildred Myers	0-(269)198-4012
Teresa Turner	9-(223)211-7304
Alice Gilbert	2-(399)370-6969
Melissa Dean	8-(419)152-2756
Jane Harrison	6-(016)173-9515
Lillian King	9-(329)427-2037
Mildred Stone	5-(584)629-6704
Virginia Gutierrez	2-(744)507-1527
Brenda Washington	1-(831)285-5268
Phyllis Ryan	0-(254)712-9911
Jean Coleman	3-(069)386-2911
Judith Cox	3-(626)663-6355
Cheryl Price	2-(139)897-7597
Ruth Cruz	3-(269)026-3964
Christina Mccoy	5-(710)284-1337
Ruth Turner	7-(998)093-1964
Annie Robinson	5-(607)191-9983
Ann Austin	5-(585)671-9549
Amy Cruz	8-(041)679-0300
Anne Wheeler	1-(979)270-4840
Cynthia Burns	8-(419)894-0447
Teresa West	3-(002)592-3848
Diana Edwards	2-(891)642-2921
Shirley Owens	8-(362)661-2227
Mary Oliver	0-(901)477-7639
Dorothy Schmidt	1-(055)544-1250
Julia Little	5-(281)071-5204
Andrea Grant	2-(945)442-1636
Cheryl Boyd	0-(253)390-4549
Heather Flores	8-(027)736-0500
Louise Ferguson	3-(341)265-3874
Sandra Lawson	9-(515)177-4838
Michelle Spencer	5-(050)270-5092
Rebecca Burns	1-(386)976-6913
Joyce Henderson	0-(947)854-4189
Carol Fox	7-(738)682-8858
Helen Diaz	4-(042)405-9198
Maria Washington	4-(813)581-9750
Cynthia Kennedy	4-(863)552-6867
Julie Richards	0-(519)807-4123
Diana Perez	2-(972)614-8037
Shirley Mccoy	0-(929)952-8532
Anne Porter	8-(664)861-7945
Janice Green	0-(428)280-9884
Margaret Rose	5-(002)550-8593
Amy Little	8-(402)773-9587
Cynthia Carr	3-(758)980-9639
Emily Davis	5-(156)951-4860
Ruby Hawkins	9-(196)241-1188
Linda Bailey	9-(518)968-4250
Jennifer Washington	9-(483)075-7908
Martha Johnston	3-(393)674-9701
Ashley Marshall	4-(002)991-3899
Jane Allen	4-(205)378-0483
Nicole Mcdonald	9-(016)735-4132
Phyllis Fernandez	7-(540)666-1170
Debra Myers	0-(054)816-1835
Sharon Campbell	0-(279)472-5348
Karen Palmer	2-(670)661-6004
Julia Willis	4-(467)033-9596
Teresa Lopez	2-(518)861-6031
Nicole Freeman	1-(676)478-7319
Kimberly Stevens	4-(211)173-5404
Maria Lawrence	5-(577)880-3876
Tina Elliott	2-(282)797-9304
Sandra Turner	4-(682)522-1188
Jane Clark	5-(159)478-3076
Kathleen Snyder	1-(521)904-4304
Irene Baker	1-(924)378-1514
Christina Cox	0-(458)940-6670
Marilyn Porter	1-(122)216-0000
Paula Ferguson	8-(961)394-9762
Nicole Kim	6-(434)786-2210
Angela Snyder	8-(806)083-4622
Annie Woods	0-(537)332-0131
Mary Banks	2-(638)657-9205
Elizabeth Berry	2-(605)455-5361
Nancy Gardner	5-(970)287-2699
Martha Bryant	9-(837)780-8883
Diana Phillips	1-(446)294-1532
Mildred Fields	1-(488)691-0223
Debra Marshall	8-(345)531-2553
Sandra Murray	5-(831)907-3546
Deborah Ford	0-(719)533-7038
Katherine Rice	9-(407)663-1717
Diane Riley	5-(931)073-8850
Judy Collins	6-(400)523-9722
Amanda Watson	1-(764)931-7454
Norma Hall	7-(738)339-4327
Catherine Fernandez	2-(576)821-8691
Beverly Bell	0-(514)150-8105
Andrea Medina	8-(803)762-2353
Melissa Medina	0-(779)326-7187
Judy Perry	8-(290)306-4587
Joan Frazier	0-(893)967-1789
Judith Watson	3-(837)009-0062
Amy Perkins	5-(503)794-5582
Nicole Franklin	0-(180)337-3590
Judy Flores	1-(573)838-1393
Rose Alexander	3-(409)419-6493
Virginia Barnes	5-(830)274-2683
Michelle Thompson	2-(605)713-0740
Helen Day	1-(680)451-4835
Jacqueline Parker	2-(532)550-7777
Kathleen Cruz	6-(953)968-9568
Jessica Mason	1-(284)130-0742
Angela Morales	1-(578)678-4096
Robin Gibson	1-(459)325-0637
Melissa Hicks	4-(777)267-1877
Louise Anderson	6-(616)517-0305
Jessica Adams	0-(638)116-1295
Robin Howell	5-(948)212-7201
Marilyn Woods	2-(953)893-1548
Martha Arnold	4-(762)609-2238
Frances Bryant	2-(006)220-1331
Jane Bell	2-(651)620-6007
Judith Ferguson	8-(618)183-6153
Doris Mccoy	7-(883)764-6086
Julie Taylor	3-(875)075-6926
Jennifer Torres	6-(710)856-6927
Theresa Marshall	3-(843)584-6305
Christina Chapman	6-(388)204-7868
Judy Fernandez	6-(065)044-2887
Debra Lawrence	1-(661)734-2421
Melissa Gardner	3-(170)569-5574
Theresa Spencer	1-(437)849-5565
Mildred Shaw	4-(332)468-4793
Maria Gonzalez	9-(337)534-2384
Anne Brown	1-(833)346-9921
Annie Patterson	4-(881)405-9040
Kelly Boyd	2-(747)555-5037
Elizabeth Riley	2-(805)350-6137
Sarah Turner	5-(358)301-4998
Joan King	5-(215)456-7180
Evelyn Payne	1-(245)320-4621
Andrea Harrison	2-(589)323-2993
Elizabeth Castillo	0-(983)883-4304
Alice Stanley	1-(302)608-4333
Susan Howard	8-(234)257-5654
Virginia Reyes	9-(111)828-4096
Mary Hamilton	3-(496)243-4613
Lillian Castillo	7-(056)450-9074
Anna Ward	0-(987)438-0532
Virginia Ryan	6-(902)784-5923
Wanda Griffin	6-(027)846-9917
Lois Harris	7-(176)074-3342
Doris Riley	7-(136)662-0298
Michelle Alvarez	7-(490)698-1729
Patricia Woods	7-(915)246-2708
Denise Cruz	5-(766)913-6061
Janice Myers	3-(367)319-7505
Linda Russell	0-(787)506-9848
Diana Elliott	0-(689)268-7174
Angela Lee	2-(508)662-9108
Melissa Sanchez	9-(339)960-8243
Heather Payne	1-(108)429-5183
Paula Armstrong	9-(579)695-7814
Debra Wright	4-(173)533-7659
Sara Edwards	0-(189)465-2836
Maria Cole	3-(614)810-9428
Stephanie Dixon	0-(619)539-0038
Susan Patterson	2-(837)822-9753
Kathryn Johnson	5-(695)881-1298
Tammy Ortiz	3-(291)837-9736
Janet Roberts	0-(858)536-2751
Heather Hudson	1-(602)269-4153
Debra Burns	5-(141)446-3297
Alice Butler	6-(817)101-2244
Nicole Bell	8-(654)558-9981
Jean Daniels	8-(620)413-9393
Stephanie Austin	6-(153)924-8083
Melissa Pierce	1-(345)347-0324
Virginia Sanders	0-(419)383-2590
Kelly Smith	0-(190)973-6921
Evelyn Andrews	0-(358)506-1094
Cynthia Tucker	2-(539)205-2504
Patricia Boyd	0-(525)299-8562
Paula Jordan	5-(280)516-0734
Sandra Stephens	9-(612)389-6108
Carol Dunn	8-(350)678-0507
Janice White	1-(148)404-0432
Rebecca Barnes	2-(050)586-8954
Lillian Brooks	9-(877)142-9760
Judy Russell	7-(907)564-8962
Dorothy Robertson	8-(930)851-2905
Betty Franklin	8-(644)794-6529
Jacqueline Cooper	4-(275)087-1957
Jessica Davis	1-(984)613-6098
Irene Sullivan	0-(874)597-8820
Melissa Grant	2-(075)711-6881
Heather Moreno	3-(508)649-0316
Tammy Medina	1-(242)306-1753
Norma Duncan	5-(059)647-7662
Emily Wheeler	8-(992)542-0964
Louise Fernandez	7-(428)507-4729
Julie Flores	8-(362)226-3163
Joan Jenkins	7-(099)382-0721
Andrea Powell	8-(155)986-8146
Maria Fuller	5-(606)347-1100
Julia Little	1-(230)261-2578
Sara Tucker	6-(529)950-9088
Rachel West	3-(588)313-0570
Michelle Carr	1-(056)407-9148
Martha Wright	2-(045)480-2326
Lois Baker	4-(492)840-1005
Lois Jackson	3-(420)375-5360
Judith Stanley	8-(002)568-2580
Maria Olson	9-(556)242-3829
Diana Reid	6-(544)625-7583
Melissa Martinez	1-(128)730-7004
Sara Morales	0-(905)507-6489
Annie Stewart	0-(873)656-7458
Diana Simpson	8-(914)718-7298
Susan Holmes	4-(665)880-7507
Beverly Griffin	8-(478)485-1520
Irene Ramirez	7-(332)944-5724
Christina Ramos	5-(203)919-6711
Doris Holmes	8-(304)620-0228
Frances Williams	3-(555)400-1275
Katherine Ruiz	7-(974)128-1026
Deborah Garcia	2-(780)961-0685
Susan Gilbert	3-(090)563-3213
Gloria Greene	9-(371)953-5530
Dorothy Rivera	0-(565)856-5434
Rebecca Henderson	2-(328)733-3921
Patricia Henry	6-(340)352-8360
Sara Holmes	7-(403)043-9723
Margaret Sullivan	8-(357)004-1847
Jane Anderson	3-(885)677-1536
Nancy Castillo	6-(188)970-2057
Julie Ellis	9-(740)711-2108
Louise Turner	3-(686)676-4189
Michelle Collins	1-(440)584-3662
Linda Snyder	7-(133)730-0241
Tammy Russell	1-(816)475-8551
Gloria Garrett	5-(450)545-9863
Annie Young	4-(889)399-9301
Kathryn Burton	3-(052)211-4648
Denise Freeman	3-(064)303-6276
Ruby Stevens	9-(045)288-6318
Ann Boyd	5-(747)273-8620
Dorothy Davis	9-(143)588-9331
Martha Day	9-(445)012-0174
Doris Taylor	3-(315)975-9515
Donna Davis	6-(113)864-9656
Cynthia Fowler	7-(634)844-9142
Kathleen Collins	8-(822)687-9620
Sharon Arnold	0-(973)710-2575
Angela Richardson	8-(540)271-5701
Angela Thomas	0-(294)118-7052
Nancy Carroll	6-(489)617-4609
Bonnie Burns	4-(735)788-0219
Nancy Diaz	2-(934)079-1636
Sharon Davis	5-(193)667-8257
