Harry Mason	3-(663)864-3578
Bonnie Edwards	1-(608)805-1681
Catherine Wallace	6-(688)047-6323
Maria Hawkins	5-(400)059-2616
Shirley Taylor	2-(854)729-1123
Kathryn Mendoza	7-(451)702-5483
Evelyn James	5-(872)023-4415
Maria Harris	8-(624)356-8331
Ann Mills	9-(221)784-9470
Elizabeth Lawson	8-(550)759-1620
Linda Wilson	4-(947)340-2985
Gloria Howell	5-(368)869-5213
Cynthia Frazier	4-(812)323-4081
Evelyn Bradley	0-(081)059-3516
Teresa Carter	0-(775)611-9058
Marie Bailey	4-(678)947-8892
Paula Payne	9-(203)906-2863
Louise Gonzalez	1-(395)036-8442
Helen Dean	4-(464)721-0136
Cheryl Lynch	0-(363)535-9822
Lori Mills	8-(687)408-2521
Judy Brown	1-(175)394-4815
Margaret Gilbert	1-(212)417-8511
Anna Hart	4-(817)192-6974
Anna Lawson	3-(684)546-2581
Jennifer Dean	8-(896)224-4847
Gloria Thompson	4-(126)400-1503
Gloria Harper	0-(198)338-3443
Heather Marshall	6-(052)395-9149
Tammy Thompson	0-(550)657-6576
Bonnie Mason	5-(858)726-7839
Rachel Lawson	7-(009)826-4734
Jennifer Campbell	8-(669)614-4396
Amy Young	9-(314)566-8859
Betty Moreno	3-(897)307-4964
Rose Williamson	3-(698)745-6723
Jean Griffin	8-(100)405-2954
Jacqueline Wagner	5-(046)272-4626
Helen Peterson	7-(954)253-1155
Evelyn Collins	7-(849)724-6387
Tammy Marshall	2-(654)243-8025
Kimberly Pierce	5-(624)620-4768
Martha Hart	4-(881)417-7443
Theresa Cruz	0-(054)871-4796
Gloria Hanson	0-(588)935-9697
Julie Evans	8-(975)385-8636
Sharon Hunter	7-(425)988-3608
Brenda Garza	7-(429)642-4927
Anne Nguyen	3-(169)215-1788
Wanda Jackson	6-(361)291-3195
Carol Nichols	9-(778)824-0193
Cynthia Riley	8-(977)315-0808
Mildred Franklin	1-(500)539-5625
Louise Johnston	3-(638)626-6264
Nancy Stewart	1-(078)546-2673
Ann Kelley	0-(152)274-8055
Robin Robertson	0-(810)817-9558
Angela Brooks	8-(521)283-2230
Kathleen Ruiz	4-(375)403-8572
Amanda Ward	1-(181)595-4112
Kathleen Oliver	6-(072)361-2600
Joyce Cruz	3-(903)897-3508
Judy Harper	6-(857)725-3706
Robin Foster	1-(234)901-8186
Cheryl Howell	3-(101)774-9251
Gloria Perkins	1-(491)630-5564
Ruth Young	4-(273)270-4125
Joyce Weaver	0-(237)084-6784
Bonnie George	2-(434)148-5773
Cheryl Little	5-(832)173-6506
Ashley Richardson	1-(118)065-7189
Susan Howard	5-(904)881-5976
Doris Morris	1-(662)274-4153
Katherine Collins	8-(466)418-1385
Gloria Carter	0-(136)376-6894
Anne Duncan	3-(967)946-7380
Pamela Perkins	2-(212)508-6026
Laura Larson	3-(845)709-4398
Laura Pierce	8-(357)933-8601
Barbara Perry	5-(325)538-3480
Gloria Henry	5-(055)217-4887
Anne Pierce	1-(234)519-7022
Angela Young	3-(835)664-5612
Sara Fisher	3-(343)845-7655
Rose Davis	1-(045)488-5179
Mary Moreno	1-(730)710-7065
Wanda Gonzales	4-(016)228-6127
Evelyn Adams	6-(915)195-1499
Andrea Hawkins	5-(636)370-4040
Wanda Morrison	0-(809)831-9178
Irene Martinez	9-(071)314-3512
Melissa Schmidt	9-(830)905-4968
Christine Moreno	1-(494)904-7124
Evelyn Cox	8-(896)254-2254
Maria Reid	6-(978)821-8802
Anne Webb	4-(521)555-6546
Dorothy Campbell	2-(874)561-8971
Marie Johnston	6-(424)541-0876
Susan Hughes	8-(023)409-1968
Donna Bradley	4-(102)446-8125
Janice Henry	7-(332)651-3041
Cheryl Oliver	9-(768)531-7424
Helen Harper	5-(947)331-8370
Stephanie Cooper	9-(581)064-4822
Jean Romero	2-(887)382-2656
Jennifer Garcia	6-(180)660-3837
Jane Cox	8-(518)670-2054
Julia Hernandez	1-(753)398-2123
Rose Kelly	5-(567)048-3207
Rachel Smith	0-(036)177-7913
Annie Romero	4-(020)464-0327
Jean Evans	5-(108)319-0050
Robin Morgan	3-(604)166-1600
Anna Fuller	0-(388)725-3951
Pamela Harper	9-(655)561-6229
Judith Nichols	7-(176)091-6785
Marilyn Bishop	3-(212)781-0761
Patricia Kelly	6-(897)621-5665
Ruby West	1-(196)426-7329
Kathleen Larson	9-(739)648-9514
Anne Gardner	9-(754)252-0819
Jane Hudson	1-(712)113-9961
Jean Butler	5-(478)225-4390
Frances Brown	8-(398)120-4690
Debra Alvarez	6-(028)578-7551
Andrea Garrett	7-(302)406-6086
Heather Bailey	8-(042)272-7945
Carol Hanson	3-(455)310-0928
Phyllis Dean	2-(086)218-4934
Ruby Brown	5-(711)465-4737
Jennifer Bishop	4-(898)590-2271
Nicole Long	5-(975)042-7226
Christine Miller	6-(251)588-6071
Debra Schmidt	7-(064)200-9461
Maria Coleman	6-(194)524-2858
Bonnie Phillips	4-(103)043-2086
Rebecca Powell	9-(272)997-2704
Kathy Williamson	4-(113)520-1920
Irene Harris	8-(498)501-8007
Joan Dixon	6-(468)066-6344
Virginia Hart	8-(498)023-7311
Betty Rivera	6-(047)034-6771
Angela Jones	3-(614)148-1868
Kathryn Nichols	0-(705)737-0199
Sharon Ford	4-(623)232-9383
Linda Stewart	3-(331)828-5947
Mary Knight	2-(742)135-7712
Dorothy Johnston	0-(170)395-1154
Michelle Carter	6-(084)084-4258
Betty Reid	6-(504)043-7584
Doris Harper	3-(213)616-5997
Phyllis Nichols	3-(614)278-0302
Patricia Perry	0-(686)226-3996
Maria Ruiz	7-(035)946-6703
Margaret Brooks	2-(058)627-7454
Nancy Washington	2-(717)969-5240
Christine Nichols	6-(721)479-1625
Norma Brooks	4-(838)136-0048
Sara Coleman	0-(806)634-4879
Bonnie Hamilton	5-(595)342-6932
Sharon Parker	3-(311)019-9862
Alice Gray	2-(007)048-3908
Irene Morris	1-(023)651-8219
Frances Henderson	4-(466)415-1706
Frances Martinez	8-(249)272-0956
Lori Ortiz	2-(711)009-0964
Nancy Gray	4-(100)850-5786
Joan Moreno	1-(844)179-6384
Jacqueline Hall	2-(605)267-0792
Lois Garza	7-(526)446-2279
Jane Thomas	9-(959)067-2406
Rebecca Reid	5-(964)356-2694
Nicole Payne	8-(676)313-3520
Susan Morgan	5-(229)809-3845
Elizabeth Harper	3-(713)158-1956
Beverly Andrews	9-(035)643-3687
Deborah Mendoza	1-(558)461-3079
Sarah Warren	9-(472)139-7917
Kathleen Gardner	9-(736)087-9577
Anne Robinson	6-(500)930-8867
Mary Gordon	6-(990)131-3524
Diana White	1-(465)405-4933
Deborah Ford	9-(508)653-6747
Brenda Schmidt	0-(738)397-8426
Marie Butler	5-(252)603-3126
Ruth Simpson	9-(043)018-7969
Mildred Mendoza	2-(333)526-1778
Ashley Cooper	5-(905)267-8517
Janice Wallace	3-(352)780-8101
Deborah Morales	8-(478)071-3995
Marilyn Montgomery	1-(165)434-2898
Lillian Lawson	1-(708)736-8819
Tammy Barnes	6-(270)704-6040
Lois Fowler	0-(983)335-6424
Louise Alexander	7-(031)183-8758
Carol Carter	2-(542)915-1808
Diana Mason	2-(640)411-9379
Deborah Bennett	9-(499)495-4343
Angela Robinson	7-(637)050-7235
Jane Ramos	4-(758)996-0618
Jean Scott	4-(595)436-1156
Michelle Moreno	8-(054)725-2412
Katherine Hart	5-(550)538-9442
Barbara Franklin	4-(789)934-6420
Sandra Ramirez	7-(519)258-5140
Julie Davis	6-(175)008-6820
Robin Webb	8-(625)090-3707
Maria Morales	9-(595)130-2289
Alice Phillips	4-(877)875-0180
Kelly Wood	1-(745)239-4931
Joan Matthews	5-(097)652-3906
Janet Johnston	8-(406)922-0774
Jane Jordan	6-(400)621-5500
Jessica Reed	3-(912)726-4394
Deborah Black	5-(314)344-7203
Kathy Griffin	4-(210)228-1187
Christine Gordon	6-(480)914-5228
Donna Romero	1-(684)841-2178
Beverly Rodriguez	9-(260)950-3884
Evelyn Woods	6-(032)896-4444
Brenda Medina	2-(907)994-1218
Cynthia Price	4-(099)467-7074
Doris Henry	5-(780)748-9115
Elizabeth Webb	7-(095)998-8567
Nancy Marshall	2-(394)206-6591
Patricia Burns	6-(717)251-0290
Susan Hart	6-(847)297-5702
Heather Walker	9-(983)179-3805
Kimberly Hayes	8-(759)738-2783
Mary Castillo	4-(690)334-5921
Diane Alvarez	7-(032)811-9988
Patricia Wheeler	0-(293)998-2381
Denise Hart	8-(896)056-7878
Marilyn Hall	4-(095)766-7551
Pamela Nelson	4-(903)638-0513
Anna Mills	8-(061)998-6514
Mary Andrews	2-(926)639-2071
Maria Johnson	6-(695)234-4035
Jacqueline Williamson	5-(911)305-2901
Phyllis Jackson	4-(228)837-9829
Emily Dixon	7-(056)711-5823
