Doris Washington	7-(502)158-6725
Virginia West	8-(328)951-4074
Shirley Patterson	3-(075)505-5684
Louise Willis	8-(432)840-3966
Nicole Lawson	1-(294)728-7347
Jennifer Mccoy	4-(568)133-3243
Tammy Martinez	1-(988)767-8764
Sharon Scott	2-(445)800-2739
Mary Gonzalez	8-(022)941-9868
Judith Jordan	4-(517)925-3285
Carolyn Coleman	5-(348)792-4894
Janet Wood	6-(337)044-1711
Anna Wagner	5-(875)522-4060
Norma Rogers	5-(941)908-4945
Julia Jordan	1-(190)259-1093
Cynthia Palmer	3-(392)133-6735
Rebecca Jackson	1-(408)052-2987
Debra Hall	9-(467)425-8048
Donna Scott	5-(791)885-9514
Wanda Ortiz	1-(335)211-1552
Ruby Freeman	0-(398)607-6072
Kathy Hart	3-(466)468-4163
Lori Porter	2-(553)673-7446
Janice Roberts	4-(915)851-9739
Kathleen Martin	4-(412)096-6772
Deborah Stewart	3-(716)667-5079
Mildred Lawrence	1-(501)150-4462
Michelle Wheeler	8-(692)092-9242
Kimberly Patterson	6-(770)795-7995
Norma Larson	8-(113)450-8697
Evelyn Martin	2-(782)525-3718
Jessica Perry	7-(653)095-1369
Carolyn Fields	9-(736)372-8203
Pamela Hunt	2-(520)014-3728
Kathleen Garza	8-(266)250-0378
Evelyn Burke	6-(570)717-3295
Frances Mills	4-(818)673-0657
Mary Wagner	1-(924)857-3944
Andrea Wright	9-(446)783-7883
Lisa Rodriguez	7-(974)567-2703
Sarah Gutierrez	2-(894)232-8023
Virginia Murphy	7-(600)650-5207
Carol Rogers	0-(613)673-6081
Louise Hughes	1-(171)645-7762
Katherine Hall	9-(471)766-5919
Andrea Rivera	1-(929)331-7871
Diana Wagner	1-(974)076-4334
Julia Walker	3-(449)329-7917
Kathleen Dixon	4-(916)830-8499
Christine Bradley	2-(183)957-7776
Anne Warren	6-(571)288-6023
Linda Brown	2-(730)320-2983
Diane Price	4-(667)756-5858
Rachel Barnes	2-(563)397-1917
Phyllis Warren	4-(781)309-9838
Gloria Harper	1-(400)744-4325
Marie Snyder	8-(034)570-6933
Julie Reed	5-(037)786-7517
Kimberly Miller	0-(516)830-8916
Julia Reynolds	1-(026)195-8158
Lisa Sullivan	8-(311)767-2476
Kelly Schmidt	8-(974)444-8022
Annie Jenkins	5-(772)609-7780
Betty Johnson	5-(180)653-9621
Mildred Coleman	6-(814)636-0113
Joyce Ramos	6-(063)426-9503
Mary Patterson	4-(038)361-6414
Irene Scott	5-(717)703-8800
Sarah Bishop	1-(013)932-7021
Deborah Washington	1-(066)277-1895
Maria Reed	7-(369)534-1681
Betty Berry	6-(812)472-0655
Lois Nichols	9-(912)985-0815
Judy Stone	2-(298)485-4525
Susan Flores	9-(958)196-4842
Kathryn Jackson	3-(278)713-0872
Tina Martinez	3-(169)595-0101
Kelly Robertson	5-(258)748-1857
Maria Myers	7-(717)559-2907
Maria Nelson	3-(986)883-1254
Elizabeth Cole	4-(862)746-6028
Gloria Henry	2-(169)488-5430
Shirley Williamson	3-(072)576-6192
Andrea Nichols	2-(443)666-3674
Dorothy West	9-(151)895-1409
Sandra Shaw	5-(696)439-8419
Andrea Hughes	1-(356)630-1281
Rebecca Lawson	2-(005)553-6178
Heather Russell	9-(717)340-3600
Ruth Romero	5-(822)658-4798
Kelly Mcdonald	6-(053)523-4610
Kathy Banks	7-(090)569-5532
Barbara Medina	2-(183)986-5888
Judy Kennedy	1-(564)154-0492
Rebecca Moreno	8-(086)395-4432
Elizabeth Bailey	1-(669)228-9044
Paula Jackson	2-(125)520-1677
Linda Adams	6-(358)513-8196
Julie Ortiz	5-(702)809-8910
Debra Moreno	9-(140)070-8128
Anna Brown	5-(259)127-2861
Jacqueline Rice	8-(861)886-8435
Barbara Turner	3-(682)684-0412
Emily Hanson	8-(529)383-8947
Jacqueline West	5-(306)255-9279
Christina Fox	2-(470)954-8497
Phyllis Greene	4-(848)476-5143
Lisa Powell	4-(216)848-4463
Irene Ramos	3-(267)902-2416
Emily Marshall	3-(249)152-3036
Heather Riley	2-(442)302-4673
Shirley Mason	5-(217)029-9313
Maria Little	4-(155)705-8373
Virginia Riley	1-(630)853-8660
Evelyn Garcia	4-(030)315-2424
Barbara Dean	0-(967)789-9263
Nicole Hanson	5-(141)663-0816
Stephanie Jordan	1-(826)525-4759
Sandra Howard	6-(429)065-8169
Diana Graham	0-(647)080-8330
Martha Gray	3-(619)163-2910
Alice Gibson	4-(966)290-0449
Julia Gutierrez	0-(573)808-4535
Ann Harrison	0-(550)007-5747
Kathy Wells	0-(438)944-0653
Marilyn Garza	7-(244)924-0722
Sharon Howell	0-(921)857-1093
Ruth Burton	5-(952)469-7318
Donna Brown	0-(701)575-7293
Jessica Flores	7-(435)286-1157
Emily Hicks	0-(186)765-5970
Deborah Reed	9-(410)428-1025
Wanda Jenkins	0-(905)457-2758
Martha Wright	0-(738)631-4586
Paula Armstrong	5-(413)176-6298
Joan Harrison	3-(143)395-7763
Julia Peterson	4-(614)085-4139
Debra Collins	7-(868)272-8368
Ruth Stewart	2-(558)398-5845
Diana Harris	7-(048)190-2499
Sarah Coleman	2-(659)513-9826
Marilyn Larson	5-(607)556-9272
Kathryn Scott	9-(395)460-2431
Annie Harrison	8-(581)825-5968
Lois Lopez	3-(024)813-3259
Jacqueline Pierce	3-(599)407-9392
Judy Evans	1-(233)895-3971
Maria Fields	3-(875)797-2846
Kelly Thomas	7-(280)169-9195
Maria Harrison	3-(326)293-1114
Irene Simmons	8-(687)017-8786
Denise Fields	4-(060)279-6358
Karen Ortiz	8-(710)444-7191
Rachel Lane	2-(178)800-3322
Amanda Williams	5-(466)011-3772
Linda Snyder	9-(363)118-6019
Amy Thompson	8-(189)598-1715
Jane Medina	1-(176)866-7863
Jean Bennett	0-(787)015-4803
Lillian Kelly	2-(068)328-3305
Linda Chavez	0-(857)349-5214
Betty Roberts	5-(273)335-6139
Ann Stewart	2-(709)358-7332
Cheryl Burns	1-(993)547-2191
Lois Russell	2-(506)397-8397
Andrea Rice	1-(606)583-6910
Kathy Greene	1-(614)144-5951
Sarah Hart	7-(845)358-2098
Jennifer Williams	3-(498)819-7304
Nicole Allen	6-(155)717-1289
Amanda Kelley	4-(911)249-4160
Helen Bailey	3-(159)549-9048
Karen Sullivan	2-(778)843-6796
Jessica Fernandez	2-(934)790-1563
Lisa Bell	9-(476)374-5883
Maria Gardner	2-(216)731-5435
Denise Scott	3-(373)073-6513
Evelyn Edwards	9-(683)055-7105
Lois Turner	9-(095)745-2769
Barbara Meyer	8-(504)508-0041
Carol Nichols	6-(164)278-1904
Dorothy Kim	2-(541)040-9025
Frances Ortiz	3-(258)551-3418
Ann Clark	6-(652)687-3580
Denise Hayes	4-(622)507-4391
Sarah Harvey	1-(337)917-7644
Evelyn Rogers	8-(979)572-1061
Julie Gonzales	9-(438)750-8265
Nicole Hudson	4-(288)122-7609
Rachel Fernandez	2-(900)479-5426
Ruby Rogers	9-(176)494-8768
Paula Harvey	2-(635)579-4391
Amy Hawkins	2-(023)947-2506
Wanda Kelly	2-(658)570-7263
Robin Stanley	8-(564)725-7805
Ann Barnes	0-(141)113-0235
Betty Mcdonald	1-(403)125-2429
Judith Crawford	3-(977)714-9806
Anne Gordon	9-(624)875-3699
Anna Hayes	0-(232)948-1875
Laura Dunn	0-(742)101-8262
Diana Austin	6-(267)339-9219
Diane Burke	8-(274)894-9449
Ashley Rivera	9-(423)600-2163
Maria Frazier	5-(117)574-1815
Diane Carr	3-(015)879-8596
Shirley Gomez	0-(628)955-6959
Maria Carter	4-(495)670-0821
Donna Franklin	1-(456)238-4883
Karen Wright	9-(489)527-3385
Carolyn Ryan	3-(216)278-1781
Jacqueline Fisher	7-(875)289-8941
Ruth Brown	8-(587)964-5992
Jane Griffin	6-(564)810-3380
Kathleen Marshall	7-(298)655-2098
Diana Hawkins	0-(910)939-0365
Laura Gonzalez	1-(609)633-0449
Kathy Sullivan	1-(940)008-4560
Amanda Lynch	1-(692)240-8068
Anne Chapman	2-(174)257-7121
Helen Ellis	4-(881)397-5663
Kathy Perry	4-(254)765-3886
Judith Hawkins	8-(436)040-8936
Marilyn Sanders	5-(803)106-8540
Diane Ford	4-(025)580-2649
Helen Richardson	1-(745)589-2629
Bonnie Hill	9-(791)108-3755
Andrea Moreno	5-(774)116-6724
Katherine Watkins	0-(370)434-7969
Joyce Brooks	4-(278)936-2926
Rose Hicks	4-(330)700-3546
Amanda Barnes	1-(233)659-0827
Anne Lynch	2-(400)337-2729
Sara Lawrence	3-(686)808-8560
Ruth White	0-(326)437-9396
Melissa Clark	6-(760)670-7166
Anna Marshall	7-(731)710-5216
Marilyn Stevens	3-(919)390-7863
Lillian Garcia	0-(143)610-7772
Sharon Stanley	8-(809)272-3741
Rebecca Wagner	1-(432)184-1380
Diana Cooper	8-(772)704-0669
Janice Franklin	5-(094)287-8464
Sara Green	8-(629)242-3513
Lois Boyd	2-(720)964-3270
Phyllis Duncan	3-(708)283-5672
Judith Washington	5-(296)047-5484
Carol Williams	2-(049)118-5437
Annie Fernandez	4-(895)276-1862
Anne Washington	5-(470)286-2163
Paula Hill	0-(557)679-1875
Christine Wilson	5-(289)341-8136
Tammy Howell	8-(669)383-8414
Marilyn Bowman	0-(844)290-4552
Joan Weaver	3-(700)002-3722
Debra Gordon	8-(379)126-9735
Bonnie Richards	0-(784)846-9760
Margaret Bradley	2-(887)223-2854
Sara Price	7-(937)120-5539
Diana Wilson	0-(361)640-2576
Beverly Robertson	2-(935)082-3051
Ashley Daniels	5-(417)361-4080
Donna Graham	9-(005)793-1609
Martha Wagner	9-(526)083-5586
Rebecca Tucker	0-(024)504-8549
Sara Porter	6-(969)233-4292
Denise Walker	1-(396)747-6309
Tammy Hudson	8-(355)452-3256
Deborah Freeman	4-(210)618-2904
Judy Arnold	5-(971)475-3142
Michelle Dixon	8-(412)848-1431
Michelle Wright	5-(974)814-5607
Amy Knight	4-(548)926-8025
Mildred Henry	5-(248)680-0555
Mildred Jacobs	6-(714)295-2026
Betty Howard	1-(095)263-8591
Debra Fields	0-(094)289-0901
Debra Porter	6-(929)977-6881
Frances Welch	9-(615)650-7668
Michelle Wright	6-(341)775-1245
Andrea James	2-(042)188-3838
Judy James	8-(424)911-5988
Tammy Evans	1-(876)507-6048
Judy Richards	3-(557)248-4282
Julia West	9-(778)981-2087
Teresa Hansen	5-(601)826-6803
Debra Hernandez	7-(560)185-7421
Teresa Warren	0-(916)297-2968
Bonnie Lopez	6-(253)060-5746
Theresa Sanders	4-(005)342-7692
Denise Lane	8-(250)437-0241
Tammy Woods	9-(864)007-2703
Diana Ramirez	9-(493)089-5398
Diane Day	7-(290)443-0303
Louise Green	0-(230)597-6608
Janet Miller	9-(409)701-3063
Denise James	9-(843)984-5679
Deborah Welch	7-(973)296-0824
Gloria Elliott	6-(329)097-3016
Karen Ross	3-(119)870-7533
Amanda Wheeler	8-(162)023-1066
Nancy Olson	6-(806)395-8623
Doris Brooks	9-(248)340-9809
Joan Jordan	0-(175)256-6116
Linda Hansen	9-(807)805-8949
Ruby Hunt	9-(113)657-8003
Diane Hamilton	1-(838)533-8958
Melissa Morgan	8-(104)946-9702
Melissa Elliott	4-(852)465-3384
Frances Diaz	7-(347)689-0512
Michelle Warren	7-(885)900-4615
Denise Barnes	2-(623)715-7899
Anne Bell	7-(247)449-8724
Linda Ramirez	4-(985)099-4515
Mildred Garcia	5-(837)916-7034
Janet Ruiz	0-(198)569-1888
Kathryn Lawson	3-(844)037-8367
Kelly Ross	8-(143)997-5010
Lillian Rogers	2-(019)201-5840
Alice Nguyen	0-(554)015-9614
Irene Welch	8-(804)446-6854
Ruby Fields	6-(734)543-3986
Carol Gilbert	8-(275)974-1805
Dorothy Lane	8-(742)691-4993
Janet Evans	1-(167)181-9442
Bonnie Flores	2-(142)410-1895
Irene Romero	2-(045)946-7685
Beverly Wheeler	9-(927)878-1917
Janice Berry	9-(038)066-0216
Anna Hughes	3-(989)522-8196
Maria Romero	9-(613)891-7593
Elizabeth Griffin	4-(552)189-3512
Norma Wells	1-(359)290-6511
Annie Ray	5-(199)820-7114
Judith Rivera	2-(089)883-8168
Mary Matthews	6-(647)394-6685
Julie Jacobs	5-(168)144-8795
Patricia Franklin	8-(019)463-5064
Mildred Gardner	2-(307)246-6254
Jennifer Chavez	4-(922)109-5695
Anne Dean	6-(243)165-3528
Diana Lane	7-(518)074-8287
Carolyn Burton	1-(367)214-4271
Dorothy Long	0-(211)902-5299
Sarah Stanley	5-(878)997-2578
Wanda King	9-(542)342-4433
Deborah Hall	7-(331)798-7131
Joyce Lee	8-(624)969-3355
Ruby Spencer	4-(040)255-1989
Robin Willis	8-(299)818-2647
Diana Duncan	7-(243)721-3732
Ashley Kelly	1-(366)779-8041
Kathy Turner	8-(328)751-8320
Sara Lane	5-(450)203-7608
Carolyn Shaw	8-(524)152-9202
Louise Spencer	8-(519)602-4896
Janice Alexander	8-(647)166-9327
Catherine Moreno	8-(910)924-5718
Kimberly Cook	3-(436)252-0664
Ruth Nguyen	9-(746)963-8619
Karen Elliott	0-(617)380-5369
Lois Hicks	1-(079)446-2630
Dorothy Fields	2-(271)932-2501
Christina Hamilton	9-(453)039-0573
Beverly Gibson	3-(966)620-6013
Lisa Jacobs	2-(865)794-9845
Amanda Gibson	5-(272)498-4268
Rebecca Ellis	8-(587)621-6473
Cheryl Hicks	5-(459)047-2509
Ann Patterson	2-(371)899-0607
Janice Evans	4-(615)217-4111
Jacqueline Hunt	6-(042)773-5115
Wanda Wells	2-(081)486-6470
Betty Carr	0-(941)382-9423
Annie Carr	4-(833)942-5003
Gloria Sims	6-(552)265-5089
Donna Hart	1-(337)508-8008
Carol Campbell	9-(651)068-6253
Louise Washington	3-(562)501-1074
Dorothy Hernandez	8-(358)955-6658
Marilyn Fernandez	5-(399)220-6620
Judith Reid	0-(555)387-1177
Virginia Weaver	1-(683)396-9942
Nancy Scott	0-(138)191-4475
Maria Campbell	8-(692)244-4963
Emily Green	6-(727)055-2193
Kathleen Ford	6-(173)706-5354
Margaret Cunningham	8-(622)254-3442
Judith Lopez	0-(570)513-8624
Phyllis Reyes	6-(838)157-2255
Helen Wagner	3-(145)017-6371
Jane George	5-(203)341-3105
Sharon Hart	2-(968)051-4272
Louise Brown	5-(167)675-5904
Amanda Reid	9-(449)959-6857
Rose White	6-(048)265-4589
Rachel Larson	0-(966)614-1769
Teresa Rivera	9-(047)648-2245
Christine Howell	7-(957)027-7705
Jean Mccoy	5-(698)463-3937
Rose Andrews	8-(431)158-3049
Julia Jacobs	5-(690)522-6818
Rebecca Thompson	1-(658)675-4358
Angela Cook	0-(038)316-4793
Theresa Hayes	8-(339)153-8542
Melissa Tucker	7-(958)971-7825
Virginia Pierce	1-(440)081-4940
Tammy Simmons	7-(123)147-9182
Katherine Payne	3-(323)981-6664
Carol Hughes	8-(444)776-6267
Gloria Owens	4-(268)536-0563
Karen Gray	1-(646)225-7168
Christine Cox	3-(584)554-9899
Phyllis Lane	8-(504)203-7599
Pamela Bowman	6-(350)373-8228
Sandra Cook	9-(872)246-8494
Christina Greene	4-(651)219-3832
Marie Little	7-(610)826-1810
Susan Ramirez	8-(879)251-1007
Evelyn Ellis	8-(541)197-6089
Ruby Alexander	8-(317)779-6757
Jacqueline Kennedy	4-(940)524-8610
Sandra Anderson	2-(633)647-7057
Karen Wallace	4-(329)040-6984
Kathleen Williamson	7-(772)301-5849
Jean Jackson	4-(347)920-4899
Michelle Frazier	1-(913)545-8591
Tina Kelley	2-(262)504-5907
Irene Riley	1-(576)949-8760
Kimberly Banks	1-(435)233-6369
Angela Chavez	1-(048)428-1388
Karen Watson	3-(278)985-0979
Cynthia Dunn	9-(784)969-5436
Doris Franklin	5-(033)857-1612
Sarah Washington	8-(184)348-9806
Linda Chavez	2-(344)715-2224
Rachel Rice	8-(912)507-9105
Lori Mason	7-(805)983-9307
Debra Kennedy	7-(718)719-3216
Marie Gonzales	7-(509)736-9286
Paula Frazier	2-(821)964-7600
Norma Olson	3-(029)601-9483
Ashley Vasquez	1-(781)070-6060
Lillian Johnson	4-(028)399-0653
Rachel Hall	2-(697)565-9758
Susan Alexander	8-(595)117-4879
Theresa Morrison	4-(308)669-1174
Jacqueline Hart	0-(970)360-3796
Cheryl Gilbert	2-(644)070-0142
Louise Ramirez	1-(809)845-8226
Tina Pierce	0-(756)177-5370
Stephanie Perry	5-(180)207-8687
Elizabeth Turner	3-(929)214-9405
Annie Butler	8-(319)322-1616
Theresa Nichols	7-(224)501-3855
Teresa Reed	3-(409)799-1639
Sarah Reynolds	1-(057)794-6525
Bonnie Harris	7-(699)015-5105
Kathryn Morris	2-(674)945-1858
Virginia Day	7-(002)699-8895
Jessica Young	4-(436)574-9824
Tina Crawford	9-(675)134-3715
Karen Harvey	1-(085)544-4364
Janet Palmer	1-(642)848-0920
Ashley Carpenter	7-(345)942-0291
Julie Ruiz	7-(541)413-8819
Emily Nguyen	1-(646)083-3697
Diana Coleman	2-(530)753-2000
Phyllis Rodriguez	5-(673)243-0839
Ann Green	1-(553)942-6312
Lillian Jones	9-(332)048-4063
Kathryn Hughes	0-(958)935-6048
Heather Wright	0-(111)126-3257
Jessica Peterson	7-(746)474-5306
Ruby Cole	3-(064)695-3111
Robin Hughes	3-(925)061-1201
Bonnie Smith	2-(333)841-8726
Lisa Wagner	3-(985)806-2902
Beverly Fox	7-(278)215-9192
Paula Oliver	2-(763)315-6814
Rose Hawkins	5-(058)163-9203
Annie Cruz	9-(302)766-3015
Kathy Fox	0-(583)797-7753
Gloria Hall	4-(624)327-2384
Susan Wilson	8-(466)753-3054
Susan Morris	7-(691)158-0163
Virginia Mccoy	1-(449)470-1037
Donna Jacobs	3-(958)838-9795
Judy Crawford	3-(301)041-1466
Jacqueline Bradley	0-(390)394-7912
Patricia Holmes	4-(810)408-9799
Betty Burns	6-(437)696-8056
Diana Foster	7-(324)238-9424
Paula Phillips	9-(722)920-4112
Angela Perkins	9-(954)202-9298
Anne Alvarez	0-(627)716-9367
Lillian Fields	3-(617)848-2426
Denise Kelley	2-(962)763-3730
Deborah Graham	1-(625)884-3459
Anne Jenkins	7-(584)055-7280
Rebecca Carter	3-(197)246-3601
Mary Stevens	9-(983)121-1759
Barbara Simmons	4-(023)318-6556
Julia Stone	2-(090)079-1894
Gloria Murray	0-(163)662-7461
Maria Dean	3-(664)235-0184
Elizabeth Gutierrez	8-(003)376-4010
Mildred Jenkins	5-(612)025-5406
Mildred Frazier	7-(236)201-4433
Michelle Spencer	5-(193)926-7783
Betty Nichols	1-(181)988-6943
Frances White	9-(202)088-2848
Evelyn Andrews	6-(625)595-3895
Kathy Williamson	4-(325)630-0008
Patricia Wood	4-(378)651-2747
Lisa Torres	1-(364)963-7735
Linda Dean	0-(083)635-4888
Robin Adams	3-(333)509-8345
Margaret Hernandez	7-(534)725-8354
Andrea Miller	0-(167)298-2970
Debra Wagner	8-(949)837-1578
Nicole Weaver	1-(480)454-7811
Pamela Simmons	9-(686)253-5388
Phyllis Black	8-(914)252-6267
Bonnie Graham	6-(868)670-4915
Christine Myers	1-(395)783-3940
Beverly Lane	9-(114)333-3545
Kelly Nelson	8-(707)172-2894
Kimberly Robinson	1-(383)181-4144
Ruth Cook	7-(173)702-9832
Christine Ryan	9-(838)788-3310
Marilyn Turner	1-(072)598-6309
Jane Washington	7-(547)423-7764
Phyllis Collins	9-(520)704-9952
Martha Garza	1-(393)879-1592
Shirley Hudson	1-(041)142-7998
Martha Black	9-(373)625-5132
Robin Wheeler	2-(904)499-0400
Joyce Moore	4-(690)669-6015
Deborah Morales	8-(275)424-6711
Shirley Sanders	3-(818)366-7259
Paula Mills	3-(649)332-0517
Theresa Reynolds	9-(672)777-9258
Deborah Brooks	4-(281)869-1935
Sara Williams	1-(902)520-7140
Jacqueline Nichols	4-(990)319-7897
Shirley Tucker	8-(513)303-0617
Ashley Fields	8-(745)275-6928
Teresa Martin	9-(052)695-5224
Mildred Gordon	6-(626)548-0521
Tammy Austin	9-(890)181-9491
Andrea Daniels	5-(380)147-5274
Katherine Boyd	9-(406)970-4123
Denise Barnes	6-(208)829-4086
Frances Foster	7-(869)028-9732
Debra Andrews	5-(686)038-1482
Nancy Hunt	0-(640)560-2929
Martha Ramirez	0-(045)412-3492
Stephanie Carter	1-(478)515-7189
Karen Spencer	2-(036)068-7032
Kathleen Lynch	0-(319)078-4160
Mary Martinez	9-(367)047-6976
Cynthia Collins	3-(983)908-3629
Norma Payne	7-(098)255-5098
Ruth Tucker	5-(505)375-0151
Frances Thompson	6-(353)177-3912
Diana Elliott	0-(702)530-5136
Angela Reyes	0-(244)084-1536
Judy Wright	2-(611)860-5570
Amy King	6-(268)933-3516
Pamela Nelson	7-(276)822-9776
Bonnie Jones	4-(418)514-0149
Christina Wallace	9-(432)355-1054
Nicole Romero	8-(391)063-6509
Melissa Arnold	5-(867)886-0555
Marie Torres	9-(666)508-3319
Joyce Mcdonald	0-(907)255-7073
Ruby Wood	9-(987)992-9967
Julia Adams	6-(737)821-8425
Karen Burke	6-(871)321-0918
Jacqueline Montgomery	8-(374)231-4755
Deborah Diaz	8-(406)294-4806
Ann Chavez	7-(704)221-2063
Robin Berry	9-(177)437-0206
Patricia Hunter	3-(973)764-5024
Paula Mason	6-(184)858-7515
Ruby Rogers	6-(833)250-2591
Barbara Daniels	6-(341)108-6593
Angela Powell	7-(867)714-5350
Patricia Lynch	5-(489)005-0498
Robin Gonzales	7-(055)595-1582
Frances Marshall	8-(630)928-5404
Judy Vasquez	6-(400)462-9112
Wanda Stewart	3-(956)754-7440
Jennifer Wallace	3-(110)678-2508
Teresa Brooks	8-(301)997-2367
Ann Palmer	8-(419)152-6481
Nicole Jenkins	9-(703)435-7581
Lois Phillips	9-(874)535-7425
Marilyn Hunt	7-(876)117-7291
Norma Dixon	0-(883)876-7285
Gloria Stanley	6-(998)456-7092
Marilyn Banks	8-(271)886-2809
Rebecca Baker	5-(095)558-6492
Rachel Rose	6-(919)360-2282
Ann Bennett	5-(616)232-5325
Kimberly Fields	9-(688)025-3035
Patricia Morrison	3-(407)949-8692
Ruth Riley	4-(658)503-7924
Andrea Gray	2-(972)905-1185
Paula Fernandez	7-(074)461-9285
Jane Murray	2-(062)532-3499
Christine Barnes	0-(964)928-3939
Kathy Knight	0-(337)385-6980
Emily Dunn	6-(646)059-9126
Wanda Wright	2-(866)871-7077
Tina Collins	6-(274)205-5899
Jessica Rivera	3-(804)668-5666
Christine Sanchez	7-(957)932-0499
Melissa Martin	2-(054)445-2461
Susan Elliott	4-(611)568-6520
Joan Gutierrez	0-(170)962-8971
Kathryn Hall	2-(087)496-6069
Jean Bradley	3-(333)189-9951
Angela Davis	2-(519)947-7386
Jean Greene	5-(974)852-1587
Andrea Greene	9-(883)342-3346
Kimberly Rivera	9-(409)855-0325
Louise Carr	8-(543)806-7043
Lisa Fernandez	0-(194)481-7641
Paula Robertson	7-(744)521-5815
Lisa Payne	0-(960)074-1567
Amanda Robertson	2-(220)130-2554
Ann Moreno	9-(470)404-5854
Angela Little	0-(892)982-3134
Lois Clark	5-(818)973-2550
Ruby Mason	5-(230)379-1568
Dorothy George	5-(251)038-0834
Robin Stewart	3-(171)338-1759
Donna Johnson	5-(999)923-3497
Evelyn Crawford	6-(430)263-5221
Catherine Carr	9-(032)483-5179
Virginia Cook	7-(926)203-9694
Rose Perez	4-(064)049-7341
Beverly Flores	6-(433)097-7567
Evelyn Austin	3-(364)996-5462
Norma Ortiz	3-(221)352-3571
Brenda Dean	5-(593)987-2702
Bonnie Morales	0-(300)611-3584
Marilyn Simmons	8-(550)279-3471
Jean Hayes	5-(110)127-2839
Joyce Mcdonald	3-(843)584-7589
Susan Holmes	9-(185)099-8749
Andrea Ramirez	4-(730)478-9745
Nancy Ford	6-(486)584-4121
Alice Gonzales	4-(645)840-5677
Virginia Long	2-(352)243-6851
Evelyn Mendoza	6-(917)540-1154
Rebecca Cunningham	9-(997)016-5583
Karen Hawkins	2-(856)283-2035
Martha Harvey	1-(629)864-9184
Jean Myers	3-(999)583-1160
Gloria King	7-(902)980-4808
Kathy Pierce	4-(855)600-3948
Cynthia Sullivan	9-(895)866-5551
Amy Ramos	8-(442)785-0408
Elizabeth Dixon	6-(049)979-8107
Donna Peterson	3-(038)651-0537
Louise Morris	9-(335)887-4809
Karen Carr	6-(443)797-3050
Doris Jenkins	2-(423)778-3672
Katherine Wilson	2-(507)920-9364
Janice Willis	1-(309)806-8911
Angela Perez	0-(730)384-7336
Beverly Thomas	2-(319)794-6590
Angela Chapman	0-(612)398-3857
Louise Williamson	5-(843)263-0837
Teresa Murray	1-(913)318-9893
Martha Phillips	7-(370)558-3587
Amanda Turner	6-(074)772-2445
Kelly Robertson	8-(440)893-5956
Janet Garcia	8-(076)359-8390
Ruth Wright	4-(357)351-7505
Amy Ruiz	3-(351)247-9739
Ruby Lawrence	0-(055)753-0898
Anne Butler	7-(721)994-2648
Teresa Foster	4-(451)570-2247
Emily Hayes	5-(918)264-3741
Angela Bishop	9-(331)832-6791
Ann Alvarez	2-(404)074-0750
Irene Sanders	9-(758)631-6753
Christine Hunt	1-(596)756-8468
Maria Parker	2-(084)920-3161
Anne Marshall	6-(898)614-6204
Deborah Turner	0-(156)783-6670
Theresa Lopez	4-(554)524-0133
Norma Black	3-(768)034-5615
Dorothy Mason	7-(466)404-1271
Helen Ortiz	4-(460)846-3670
Cheryl Stephens	2-(289)110-2765
Alice Lawrence	2-(133)432-3206
Melissa Frazier	2-(880)446-6025
Jane Rice	4-(757)493-8641
Rachel Ortiz	2-(754)373-4596
Martha Sanchez	1-(466)504-8179
Sarah Hart	2-(307)954-0362
Ruby Coleman	3-(077)305-4602
Elizabeth Smith	1-(813)363-8171
Lori Young	7-(104)733-4350
Michelle Warren	1-(759)427-3594
Angela Bennett	3-(361)354-8863
Judy Bishop	5-(896)539-3474
Martha Williams	8-(330)044-5687
Linda Crawford	0-(794)127-2211
Anna Arnold	6-(432)913-1984
Lillian Phillips	5-(673)531-2399
Nancy Stone	5-(162)038-6420
Angela Wilson	8-(431)273-8968
Judy Robertson	2-(881)212-0629
Phyllis Lawrence	6-(528)642-1442
Cynthia Lopez	8-(868)691-9974
Rebecca Hughes	1-(367)399-7817
Annie Ford	4-(347)420-8640
Shirley Burns	0-(547)063-2831
Deborah Graham	0-(270)868-0028
Helen Perry	2-(147)633-6001
Patricia Reyes	0-(834)832-7153
Gloria Myers	0-(090)275-4620
Kathryn Hanson	4-(256)851-3986
Anne Sims	5-(888)618-4309
Annie Morgan	3-(735)287-5338
Nicole Gomez	3-(744)643-5920
Elizabeth Montgomery	1-(205)052-5623
Judith Bell	0-(641)257-6339
Katherine Cook	3-(377)571-5703
Melissa Garcia	9-(744)958-8770
Karen Hall	1-(509)104-6125
Janice Stanley	9-(622)305-3688
Amy Long	0-(313)973-1430
Denise Butler	3-(395)399-3444
Rachel Peters	4-(339)565-7790
Tina Robinson	1-(053)653-7638
Elizabeth Nichols	7-(830)869-6952
Carol Olson	3-(073)766-8668
Cynthia Jacobs	4-(574)396-0062
Lisa Garza	4-(882)449-1074
Louise Mills	9-(525)201-1551
Tammy Johnson	4-(410)597-8420
Nancy Fernandez	6-(898)646-8688
Andrea Cole	4-(801)793-8413
Sara Dixon	4-(881)179-9367
Ashley Watkins	5-(620)074-8882
Amy Berry	7-(155)092-3673
Emily Dean	8-(472)066-5295
Theresa Ellis	5-(082)417-3115
Lillian Gibson	7-(538)757-4233
Christina Hill	7-(813)841-4624
Jane Dixon	9-(186)085-0282
Andrea Bowman	0-(711)692-7037
Pamela Williamson	1-(368)635-4320
Frances Robertson	2-(803)893-8840
Frances Mendoza	9-(252)883-3537
