Melissa Little	0-(612)497-4308
Rose Roberts	3-(772)555-1992
Denise Hanson	6-(321)922-2848
Susan Alexander	0-(034)089-8199
Jessica Arnold	3-(220)877-4978
Christine Franklin	3-(443)387-8718
Rebecca Spencer	0-(688)347-5630
Tammy Williams	0-(930)624-9812
Nicole Burke	4-(409)008-2696
Kathryn Flores	5-(447)712-0664
Jane Oliver	7-(894)470-5792
Nicole Hicks	8-(296)926-5894
Julia Burton	1-(911)088-5195
Catherine Larson	2-(705)705-1321
Kathleen Gray	6-(798)907-9302
Sarah Banks	6-(353)065-5637
Marilyn Harvey	7-(076)199-9919
Sarah Cook	6-(880)212-9131
Barbara Moreno	7-(133)906-3460
Beverly Webb	2-(505)865-9471
Katherine Rodriguez	5-(541)969-2108
Teresa Davis	9-(772)108-6938
Kathryn Cruz	4-(658)998-2062
Cynthia Richards	0-(121)426-3082
Virginia Andrews	9-(124)743-8527
Martha Wallace	5-(118)920-0419
Elizabeth Cook	3-(068)655-9598
Anne Weaver	3-(520)186-4599
Frances Carpenter	7-(714)190-4351
Carolyn Jackson	9-(864)868-2086
Kimberly Reid	3-(791)166-2520
Janet Schmidt	3-(256)587-3850
Louise Snyder	0-(335)390-3305
Kathleen Shaw	9-(591)714-0508
Lois Lewis	1-(466)237-1128
Laura Bishop	9-(521)059-8713
Frances Jackson	3-(718)298-5056
Maria Williamson	5-(803)366-0300
Kathleen Armstrong	4-(970)195-6457
Frances Clark	9-(646)130-0361
Judy Turner	5-(541)457-8065
Andrea Johnston	1-(576)114-1445
Karen Kennedy	2-(534)669-9184
Jane Harris	5-(538)744-1499
Jacqueline Moore	8-(070)087-0207
Katherine Richards	4-(391)644-3484
Amanda Hanson	3-(598)392-6539
Bonnie Chavez	7-(319)112-2593
Lois Rodriguez	6-(394)718-7664
Alice Diaz	9-(268)300-1453
Evelyn Lewis	6-(543)729-6621
Lois Ortiz	5-(524)313-9938
Tina Nelson	7-(220)465-5342
Diane Carr	9-(925)537-9690
Carolyn Stevens	7-(092)811-5715
Cynthia Harper	1-(608)830-8134
Catherine Myers	3-(853)651-4335
Kimberly Sanchez	1-(050)521-5390
Theresa Jones	9-(195)347-6268
Debra Butler	2-(650)699-8111
Kimberly Rice	1-(115)829-6345
Betty Ryan	0-(198)526-9988
Kimberly James	8-(128)198-0972
Joan Tucker	3-(606)929-7136
Rachel Welch	1-(966)203-4418
Sara Peters	4-(129)783-3672
Christine Bryant	8-(551)501-8056
Ruby Crawford	0-(465)402-5460
Kelly Gonzales	0-(876)553-2582
Christina Harvey	9-(857)075-4128
Jean Mcdonald	9-(490)786-4199
Angela Sullivan	4-(090)701-7688
Margaret Adams	2-(441)489-0070
Annie Jones	4-(286)964-1129
Debra Garcia	7-(741)258-4209
Betty Bradley	0-(487)027-2306
Mildred Diaz	1-(174)974-9152
Marie Cook	6-(848)310-7437
Jessica Garza	2-(861)886-2625
Denise Ross	3-(361)201-3965
Jean Scott	8-(207)617-9626
Paula West	8-(285)570-5222
Bonnie Evans	3-(623)745-8193
Annie Perez	1-(688)307-8301
Brenda Cruz	1-(363)069-9432
Joyce Stephens	6-(615)999-8484
Irene Bennett	2-(802)811-6104
Rebecca Rivera	4-(958)298-5456
Stephanie Wagner	7-(753)768-1674
Donna Mcdonald	8-(290)324-1158
Kathy Patterson	4-(869)974-1870
Sara Reid	7-(908)783-7564
Shirley Mitchell	4-(436)403-6121
Gloria Williams	9-(374)294-6837
Betty Harper	4-(612)989-0506
Bonnie Morales	7-(518)004-0440
Mary Lee	1-(378)350-8978
Teresa Robertson	1-(893)777-0385
Ruth Jacobs	5-(379)976-8307
Lisa Bradley	6-(198)976-1189
Mildred Burton	2-(618)727-6887
Tammy Wright	9-(029)655-0679
Joyce Cook	8-(859)086-0757
Judy Fowler	7-(701)053-9964
Emily Lee	5-(996)121-0830
Julia Fields	4-(364)751-1702
Sharon Griffin	0-(806)139-5706
Debra Sanders	2-(066)998-9874
Rose Little	8-(705)317-6834
Kimberly Cole	9-(698)723-0937
Kathy Graham	8-(535)241-8819
Brenda Collins	2-(111)093-5422
Laura Wilson	1-(662)455-8658
Frances Robinson	2-(299)493-7385
Donna Robinson	3-(027)510-9409
Amy Wood	7-(666)647-1776
Brenda Ross	2-(940)160-0982
Maria Lopez	0-(892)695-4142
Brenda Peters	9-(058)275-0576
Amanda Collins	1-(337)785-9211
Marie Simpson	5-(150)436-3376
Denise Wagner	6-(302)074-4442
Judy Jordan	4-(234)932-1418
Stephanie Davis	4-(782)419-6390
Jacqueline Jordan	4-(745)315-2458
Amy Robinson	4-(864)244-9391
Wanda Dean	4-(723)909-2435
Jane Morgan	1-(902)335-2141
Phyllis Owens	2-(781)869-8792
Karen Weaver	1-(364)941-1247
Angela Johnston	5-(491)136-5491
Tina Murphy	7-(617)878-2696
Denise Jordan	0-(092)536-6617
Michelle Austin	1-(371)841-2101
Melissa Bradley	0-(406)716-5225
Martha Washington	0-(940)982-8249
Gloria Sims	6-(891)434-5910
Nancy Cunningham	4-(421)039-9630
Dorothy Bailey	7-(011)023-0402
Patricia Dunn	5-(127)825-9632
Jennifer Butler	2-(021)181-6207
Rose Lawson	3-(386)819-8420
Dorothy Ellis	8-(228)997-7805
Carolyn Banks	3-(799)708-1457
Karen Meyer	5-(871)473-0510
Lillian Barnes	3-(680)620-3148
Annie Lopez	9-(265)133-8102
Michelle Mills	6-(747)873-7694
Theresa Mills	2-(917)324-3648
Tammy Ramirez	0-(547)026-8932
Stephanie Kelly	7-(008)500-3697
Margaret Ray	5-(550)208-9782
Gloria Hayes	3-(127)874-7974
Pamela Gonzales	7-(902)536-5026
Lisa Hanson	0-(814)429-9120
Stephanie Jacobs	0-(547)200-8729
Donna Romero	7-(507)067-6211
Anne Hunt	5-(210)200-7015
Laura Gibson	7-(984)241-5649
Denise Peterson	1-(480)290-2637
Christina Henderson	7-(837)869-6509
Jane Clark	9-(361)933-9776
Janice Banks	5-(849)916-1986
Tina Montgomery	4-(828)169-3674
Mary Davis	4-(500)380-0006
Rebecca Morgan	2-(108)875-4986
Julia Jones	6-(155)776-8575
Patricia Williamson	2-(969)757-3717
Patricia Harris	2-(493)388-3891
Heather Long	6-(635)186-4519
Martha Crawford	8-(709)480-8607
Sara Pierce	4-(351)900-5087
Melissa Parker	3-(405)279-7320
Linda Williamson	6-(730)451-0979
Lois Fields	3-(594)345-0727
Sara Williamson	6-(903)375-7963
Frances Rogers	6-(051)476-7789
Debra Hunter	9-(082)719-4251
Alice Hudson	2-(121)580-8688
Janice Elliott	1-(218)188-0512
Martha Russell	1-(042)935-3614
Phyllis Price	6-(805)358-9867
Annie Edwards	6-(009)517-6639
Shirley Hamilton	1-(294)137-2693
Kelly Jenkins	5-(164)639-9584
Diane Greene	3-(525)392-0766
Teresa Turner	4-(337)829-2322
Lisa Meyer	4-(568)066-5606
Paula Ray	5-(603)961-9607
Teresa Clark	5-(562)222-0926
Joan Henderson	5-(438)132-5175
Janet Wright	7-(793)413-9362
Phyllis Kim	3-(429)353-0318
Angela Sullivan	0-(914)180-7576
Helen Ruiz	2-(787)867-4851
Patricia Moreno	7-(013)256-7980
Cynthia Carpenter	1-(786)187-4505
Mildred Hart	6-(472)674-4613
Kelly Kelly	9-(432)140-3590
Judy James	2-(414)057-5401
Theresa Hughes	5-(744)116-0544
Laura Bell	5-(907)526-3080
Dorothy Phillips	5-(389)623-8158
Judith Hall	1-(440)808-3871
Rachel Oliver	4-(348)855-4309
Julia Mills	1-(885)239-6382
Nicole Lawrence	1-(991)721-3649
Kimberly Sanchez	2-(269)195-6774
Shirley Jacobs	9-(793)694-1980
Lisa Burke	7-(740)997-9994
Rebecca Miller	4-(720)943-1157
Gloria Mitchell	1-(500)455-6380
Tammy Howard	4-(694)946-3711
Christina Burton	4-(066)470-4955
Alice Jordan	5-(942)867-5626
Amanda Sanchez	9-(904)910-7215
Jennifer Stephens	5-(061)900-5465
Lori Roberts	2-(111)833-0944
Denise Scott	1-(066)489-5759
Ruby Richards	3-(685)544-7621
Alice Berry	4-(624)252-3625
Heather Jacobs	3-(370)294-3073
Gloria Frazier	4-(894)402-1954
Irene Harper	0-(739)439-7711
Theresa White	6-(875)606-1115
Virginia Lynch	6-(670)405-2835
Julia West	6-(077)775-0516
Patricia Fernandez	2-(421)937-0993
Amy Washington	7-(821)922-8008
Helen Young	7-(492)317-9501
Marilyn Rodriguez	6-(229)688-4953
Beverly Rose	7-(083)484-2278
Kathy Torres	1-(716)261-9065
Janet Cunningham	3-(829)577-8839
Jane James	5-(255)840-4865
Beverly Chavez	2-(832)637-9084
Angela Holmes	7-(187)126-2454
Sarah Vasquez	5-(549)593-0161
Phyllis Reid	2-(040)849-0212
Carolyn Butler	8-(378)471-9693
Pamela Reed	5-(677)841-8731
Sarah Garcia	7-(889)408-6466
Lillian Diaz	8-(721)722-4154
Janet Stanley	7-(481)776-6283
Julia Graham	7-(688)318-1823
Jean Long	9-(787)369-1462
Susan Phillips	8-(916)350-5719
Helen Bell	8-(362)232-6617
Mildred Davis	9-(613)418-2295
Amy Daniels	9-(857)550-2395
Doris Oliver	8-(470)705-1806
Marie Romero	7-(563)942-4990
Rachel Tucker	0-(252)138-1489
Janet Woods	0-(441)525-6173
Kathryn Myers	1-(681)371-5460
Sandra Price	4-(076)826-4812
Shirley Wood	6-(223)329-1824
Ashley Greene	5-(349)827-4404
Deborah Ortiz	5-(948)599-3260
Paula Spencer	6-(108)184-4929
Judith Bennett	7-(917)439-5590
Kelly Patterson	6-(568)789-2093
Martha Alexander	2-(239)019-7315
Alice Ruiz	8-(897)680-4572
Tammy Gomez	9-(157)369-8267
Joan Cole	4-(592)008-9341
Nancy Scott	0-(323)091-8579
Christine Grant	4-(343)137-6910
Lisa Peterson	0-(025)196-6437
Theresa Chavez	7-(566)526-6923
Phyllis Webb	2-(965)293-9048
Rebecca Cox	6-(899)063-9888
Christine Weaver	9-(204)501-4070
Annie West	4-(761)084-0011
Kathleen Simpson	1-(113)436-1554
Diana Frazier	4-(189)403-9661
Rachel Gomez	9-(334)580-8322
Theresa Davis	2-(561)475-0663
Pamela Armstrong	9-(369)874-8446
Cynthia Lewis	2-(914)303-5387
Cheryl Gilbert	2-(110)280-8348
Donna Martin	0-(121)546-0215
Beverly Butler	1-(571)819-5962
Ann Lawrence	1-(684)755-8043
Doris Lewis	4-(711)760-4470
Kimberly Meyer	9-(958)815-3898
Ann Olson	3-(298)205-4723
Sarah Dean	2-(642)724-5189
Jane Rose	7-(347)217-5014
Ruth Bishop	6-(730)444-3389
Jessica Lawrence	8-(191)372-4916
Denise Adams	9-(791)273-4542
Janice Allen	6-(081)642-6496
Betty Wood	2-(135)437-3647
Amy Mitchell	7-(857)011-6587
Frances Hudson	1-(343)152-1962
Amanda Watson	7-(492)231-9093
Ruth Evans	7-(789)057-1153
Dorothy Jacobs	5-(603)691-7833
Ashley Cook	9-(696)319-6885
Diana Marshall	5-(801)039-2443
Ruth Mitchell	1-(228)345-1739
Emily Stanley	3-(708)169-0254
Marie Kim	2-(591)098-7689
Laura Matthews	4-(935)740-1808
Mary Hicks	9-(834)627-7621
Sharon Williamson	3-(530)987-7265
Rose Warren	7-(972)405-6908
Margaret Ramos	3-(999)235-9355
Lori Perry	0-(576)105-9342
Margaret George	6-(986)210-9819
Betty Thomas	9-(026)298-8699
Melissa Kim	3-(968)670-9440
Laura Edwards	3-(643)448-0699
Cheryl Marshall	9-(837)414-5425
Jacqueline Hawkins	6-(330)328-7646
Christine Gonzales	4-(213)340-9090
Norma Anderson	9-(522)305-8705
Christina Myers	9-(395)624-4658
Patricia Campbell	1-(246)584-4170
Annie Grant	1-(485)309-3878
Ann Ellis	9-(646)843-7343
Teresa Hansen	4-(266)116-4247
Dorothy Wilson	8-(224)232-5056
Anne Richardson	5-(826)235-5102
Carolyn Ortiz	6-(664)984-7786
Ashley Torres	8-(935)485-6889
Donna Porter	3-(996)234-4179
Linda Kelley	1-(366)264-5331
Linda Woods	4-(684)355-6404
Bonnie Pierce	7-(984)235-1421
Anna Bradley	0-(134)099-4713
Doris Watkins	4-(731)242-9575
Debra Henry	5-(934)558-8489
Mildred Reynolds	9-(891)355-7123
Martha Gonzales	6-(812)969-1444
Emily Murray	6-(450)456-4033
Ashley Lynch	0-(159)338-9607
Susan Webb	3-(393)642-3982
Katherine Ferguson	5-(199)432-0367
Nicole Ellis	6-(923)121-5948
Betty Crawford	2-(761)193-6110
Linda Rodriguez	9-(417)158-6758
Kathy Burke	4-(603)819-0796
Carol Kennedy	6-(439)213-9347
Ann Chavez	1-(433)286-1242
Carolyn Jones	7-(177)611-5665
Deborah Alvarez	9-(265)220-2343
Debra Palmer	7-(518)346-3747
Elizabeth Hicks	4-(977)775-9517
Paula Gonzales	6-(327)419-0198
Anna Howell	2-(568)492-3931
Ashley Hart	5-(280)122-6796
Judy Ryan	5-(738)744-4231
Mary Webb	2-(191)165-3101
Annie Davis	1-(946)013-7528
Jennifer Pierce	7-(317)390-6516
Janice Robertson	5-(756)922-3703
Rebecca Phillips	0-(658)666-5736
Andrea Barnes	2-(350)759-0840
Joyce Scott	3-(796)684-7219
Doris Medina	1-(871)495-6132
Michelle Williams	3-(391)027-8870
Sandra Henry	4-(130)915-8992
Shirley Marshall	8-(892)854-1730
Angela Gibson	0-(338)216-1678
Cynthia Hill	5-(556)717-3474
Tammy Robinson	4-(407)122-0114
Helen Bennett	6-(190)308-9936
Kathy Thompson	9-(639)011-0866
Michelle Gilbert	8-(587)130-9737
Janet Little	5-(776)952-4033
Mary Fowler	2-(111)130-5694
Rachel Turner	6-(421)933-3647
Kelly Allen	7-(274)630-1069
Stephanie Williamson	3-(891)108-5136
Deborah Carroll	4-(033)784-8954
Diane Nelson	6-(067)363-9482
Joyce Reed	1-(032)853-0840
Catherine Weaver	4-(727)030-5616
Bonnie Edwards	0-(300)725-1257
Jessica Andrews	2-(810)151-7770
Ruby Smith	9-(112)155-0224
Sarah Mills	9-(795)715-8354
Kathy Ward	2-(123)363-6174
Brenda Gutierrez	2-(699)043-3700
Louise Gray	6-(059)323-5022
Joan Mitchell	0-(419)067-5819
Melissa Lopez	0-(128)956-3702
Janet Mason	9-(307)235-6487
Kelly Stanley	6-(885)042-1934
Judy Mason	8-(296)451-8828
Jacqueline Mitchell	6-(297)461-8577
Emily Pierce	3-(233)701-9243
Sandra Patterson	2-(722)448-2821
Lois King	8-(806)158-9890
Janice Mitchell	3-(314)415-4881
Marilyn Taylor	5-(791)797-5265
Linda Ryan	6-(553)490-1743
Michelle Adams	0-(573)016-7316
Marilyn Diaz	4-(542)875-4754
Ann Fernandez	5-(296)511-8853
Brenda Evans	3-(671)580-0889
Theresa Wright	1-(617)294-6249
Karen Andrews	4-(403)643-4380
Pamela Austin	1-(229)771-0247
Tammy Hall	2-(803)122-8119
Bonnie Fisher	7-(191)657-0479
Wanda Webb	4-(973)871-6687
Tina Murphy	2-(554)455-8925
Cynthia Garza	7-(556)171-2451
Shirley Gonzalez	9-(394)407-3633
Jane Schmidt	6-(463)445-0759
Melissa Myers	4-(919)212-7980
Dorothy Lawrence	6-(105)365-1053
Ruth Williams	1-(217)723-6438
Teresa Lewis	7-(106)058-0569
Linda Montgomery	5-(119)632-1539
Rose Fisher	9-(180)353-2144
Ruth Ryan	1-(898)667-7811
Gloria Grant	9-(789)013-2897
Alice Murphy	7-(441)782-8243
Lori Perez	4-(609)933-8667
Judith Wallace	0-(861)189-3777
Anna Grant	5-(012)831-9885
Lisa Washington	8-(265)150-3250
Beverly Price	8-(916)194-3574
Janet Moreno	3-(056)353-6262
Betty Lewis	8-(577)022-5827
Angela Harris	8-(601)706-4376
Joyce Riley	5-(294)067-3891
Robin Fernandez	2-(113)149-5839
Kathryn Hill	7-(470)940-0281
Kathryn Murray	4-(017)581-6567
Julia Hamilton	0-(032)757-1324
Paula Hayes	5-(067)084-4015
Julie Gibson	3-(291)128-2795
Bonnie Scott	3-(776)556-6395
Amy Palmer	9-(927)271-9623
Robin Adams	0-(190)729-6577
Shirley Hernandez	7-(723)418-2947
Amanda Sanchez	9-(836)221-1585
Joan Burton	7-(290)608-0270
Catherine Bennett	9-(051)718-6071
Kelly Ellis	7-(686)562-2455
Lois Perkins	7-(998)545-7201
Kimberly Wood	7-(047)030-5460
Kathy Howard	5-(347)477-0741
Stephanie Rivera	9-(151)640-3675
Cynthia Robertson	6-(312)168-3109
Rachel Butler	4-(562)800-0382
Heather Mccoy	9-(767)168-2699
Phyllis Gilbert	8-(630)622-7518
Robin Evans	9-(420)886-9204
Kimberly Ramos	5-(015)244-6067
Sarah Romero	8-(256)487-4401
Sandra Hansen	9-(963)450-3827
Tina Jordan	4-(357)392-0022
Kimberly Cook	4-(561)492-3522
Alice Bowman	8-(807)422-9703
Sarah Matthews	2-(917)323-6891
Heather Martinez	2-(899)630-0966
Martha Carroll	6-(012)910-0846
Amy Bennett	9-(382)950-4812
Ruth Shaw	0-(464)643-5400
Elizabeth Wheeler	0-(497)090-5269
Sara Henderson	6-(708)303-2769
Robin Gilbert	1-(488)076-6435
Kelly Richardson	6-(958)867-8499
Julia Hudson	2-(873)893-3605
Janice Cruz	2-(693)918-4330
Phyllis Martin	7-(967)995-0186
Janet Castillo	0-(539)335-9449
Maria Lewis	8-(287)160-5115
Janet Burton	5-(077)863-3757
Angela Jackson	2-(150)698-0689
Anna Stevens	5-(573)725-2439
Phyllis Mendoza	6-(366)204-6579
Carolyn Hill	9-(934)126-6172
Amy Reynolds	0-(030)864-5402
Paula Ross	1-(882)190-0687
Pamela Smith	2-(950)832-3221
Donna Mcdonald	3-(091)796-5015
Barbara Gonzales	6-(587)348-0348
Stephanie Carter	3-(263)391-1345
Frances Edwards	8-(218)050-8541
Joyce Rivera	4-(574)484-4592
Stephanie Murphy	2-(081)090-1264
Susan Jordan	1-(818)513-8123
Michelle Reynolds	7-(959)181-6025
Lori Henry	5-(621)714-7889
Beverly Montgomery	9-(882)933-4207
Kathleen Nichols	7-(227)720-7940
Anna Kim	6-(485)453-7664
Christine Ramos	3-(262)904-4890
Emily Owens	6-(377)799-9191
Judith Hernandez	6-(012)310-3918
Angela Sullivan	8-(315)427-4161
Kathy Alvarez	9-(272)038-9128
Martha Stanley	4-(488)263-1749
Amy Larson	4-(925)379-2893
Nicole Hart	8-(850)690-8091
Donna Scott	7-(425)027-6590
Diana Anderson	1-(054)506-2298
Joyce Henry	0-(314)232-0722
Teresa Powell	4-(975)288-4713
Anna Dixon	1-(180)830-8648
Nancy Kennedy	8-(583)378-3509
Julia Hughes	8-(039)606-3154
Jessica Cox	9-(058)759-4179
Joan Alexander	3-(402)967-0916
Sara Harrison	4-(205)685-0098
Virginia Henry	5-(987)987-0640
Carol Coleman	1-(389)038-3780
Tina Hicks	7-(068)125-5576
Phyllis Carter	7-(534)510-9291
Rebecca Martin	1-(759)968-7391
Marilyn Dixon	6-(869)249-7546
Christina Mills	6-(321)505-3283
Norma Sullivan	0-(825)733-0007
Teresa White	0-(454)993-1455
Denise Rodriguez	5-(529)195-5020
Diane Bell	3-(497)635-7060
Lisa Hart	2-(046)360-1831
Barbara Daniels	4-(753)928-7575
Janice Cooper	5-(767)860-3166
Christine Hayes	3-(699)690-6100
Amy Gardner	0-(012)737-2459
Elizabeth Franklin	2-(586)688-4968
Kathryn Matthews	8-(163)347-6639
Judy Dixon	1-(212)275-7547
Margaret Moore	9-(271)466-2982
Janice Mitchell	2-(893)483-1250
Lori Martin	3-(637)084-4130
Melissa Stephens	0-(108)275-4787
Robin Morris	8-(455)516-6122
Robin Murphy	1-(026)586-3234
Gloria Shaw	0-(886)133-1584
Donna Hicks	6-(763)838-1436
Mary Murphy	8-(825)261-3725
Karen Kennedy	7-(444)902-3133
Ann Bryant	3-(236)202-6499
Wanda Young	7-(734)504-6951
Mary Jenkins	4-(632)603-4794
Virginia Ryan	1-(657)956-1511
Lori Phillips	5-(392)257-5019
Norma Ward	6-(511)612-9138
Julia Carr	0-(479)001-1810
Alice Murphy	6-(849)553-0972
Emily Ford	2-(399)914-0393
Joyce Powell	9-(225)297-4255
Kathleen Watkins	3-(558)104-2583
Laura Parker	4-(587)371-3387
Stephanie Meyer	9-(011)121-5418
Frances Parker	0-(064)860-6644
Anne King	5-(696)659-9683
Jacqueline Arnold	5-(530)665-3997
Diana Carter	7-(500)375-6949
Louise Morrison	1-(470)056-0273
Donna Johnston	8-(336)015-1119
Ruby Hunt	8-(840)845-6033
Rachel Peters	8-(245)744-7064
Ann Miller	5-(563)157-0366
Louise Gray	3-(573)486-6964
Janet Stephens	0-(416)991-3816
Virginia Reyes	5-(646)423-9134
Anna Hunt	0-(407)570-9497
Sara Cruz	3-(532)995-2093
Ruby Gomez	5-(041)084-4858
Maria Wagner	7-(970)990-1598
Julie Armstrong	9-(662)072-9195
Martha Murphy	1-(709)097-8799
Julia Lopez	6-(386)703-3227
Bonnie Long	8-(047)480-9638
Denise Meyer	6-(605)138-0971
Amanda Andrews	6-(110)149-7108
Teresa Holmes	4-(215)018-4933
Shirley Walker	0-(965)519-2500
Paula Price	8-(428)680-1695
Sandra Rivera	4-(992)783-0274
Carolyn Williamson	8-(842)310-1736
Kathy Matthews	9-(205)605-5498
Janice Simmons	1-(289)680-8317
Betty Wells	5-(772)607-3607
Jennifer Banks	9-(886)293-0734
Sandra Harrison	9-(909)656-7289
Sarah Gray	6-(781)853-8184
Amanda Ray	7-(967)774-0875
Mary Hawkins	3-(404)686-6474
Emily Collins	2-(266)448-4967
Dorothy Jacobs	3-(890)918-9328
Jean Peterson	6-(606)704-3014
Lillian Oliver	4-(353)400-7281
Kathleen Sanders	2-(360)436-0216
Judy Gordon	1-(256)286-9967
Elizabeth Lee	9-(457)986-7136
Martha Hunt	7-(775)943-0505
Catherine Hill	8-(523)676-1993
Kathryn Dixon	6-(352)047-8720
Kathryn Gonzalez	3-(648)237-8963
Debra Stone	2-(425)778-2067
Rose Payne	6-(589)425-0430
Donna Black	5-(333)401-7025
Kimberly Sims	5-(254)003-6086
Debra Nelson	4-(147)107-3229
Christine Jenkins	3-(486)504-6473
Debra Kelly	5-(552)613-1018
Lori Elliott	7-(838)194-6446
Wanda Hunt	7-(071)764-4354
Martha Mcdonald	6-(809)498-8191
Carolyn Rodriguez	6-(469)313-1783
Heather Burke	3-(449)148-0576
Julia Lewis	5-(782)388-2382
Mildred Miller	3-(001)551-9383
Frances Gomez	3-(622)564-5748
Christine Adams	0-(530)723-4383
Amanda Jenkins	6-(955)116-6727
Kimberly Burns	1-(472)593-1795
Norma Andrews	8-(968)642-7342
Evelyn Gonzales	2-(477)914-8647
Amanda Ortiz	9-(439)164-3046
Debra Miller	6-(269)818-0724
Tammy Gibson	9-(193)472-2671
Kelly Day	6-(799)945-6725
Rachel Wallace	9-(470)899-3014
Beverly Welch	1-(155)399-5573
Sarah Oliver	7-(908)679-1336
Janet Tucker	6-(401)494-9277
Rebecca Peters	0-(496)724-9608
Anna Fields	5-(178)092-3688
Christina Mcdonald	2-(242)944-4815
Susan Mason	3-(838)353-7146
Teresa Fox	4-(856)873-5352
Sharon Hernandez	6-(690)835-8707
Sara Gonzalez	1-(933)405-7843
Susan Ross	5-(219)468-7583
Rebecca Davis	0-(186)185-8454
Judith Duncan	5-(044)029-6595
Jennifer Edwards	7-(999)050-5065
Margaret Stephens	5-(154)856-1553
Annie Mcdonald	9-(648)481-2347
Lillian Porter	8-(635)461-0695
Heather Alvarez	1-(104)508-7982
Theresa Castillo	8-(726)582-8122
Karen Brown	2-(683)416-2410
Barbara Bowman	9-(438)345-2125
Amanda Wells	1-(371)436-2694
Ruth Bishop	3-(783)261-2586
Patricia Cruz	1-(792)676-1682
Catherine Griffin	8-(812)517-2212
Ann Owens	9-(542)451-9023
Helen Cook	4-(186)404-6508
Linda Robinson	7-(261)876-0588
Jacqueline Edwards	8-(184)356-8024
Elizabeth Nguyen	7-(778)267-2985
Ashley Carr	5-(318)587-7629
Christine Porter	7-(479)697-5192
Shirley Bennett	8-(836)517-7243
Deborah Torres	0-(891)479-9477
Beverly Dean	1-(563)461-1048
Doris Marshall	9-(688)278-3315
Ann Tucker	9-(136)195-0334
Maria Fernandez	8-(724)940-1540
Kathleen Berry	8-(910)804-4291
Evelyn Ramos	8-(299)185-9097
Amy Ramirez	0-(806)606-4720
Jessica Cunningham	1-(027)226-4796
Anne Gomez	0-(300)854-8344
Norma Gomez	5-(299)463-5589
Heather Bowman	2-(033)558-5160
Kathryn Morrison	9-(921)486-5211
Anne Lawson	6-(647)967-8084
Beverly Grant	2-(991)207-4917
Denise Watson	0-(196)557-0512
Rebecca Hall	6-(086)573-4407
Emily Frazier	7-(483)651-3243
Patricia Parker	0-(530)078-5529
Tammy Little	9-(133)549-7350
Patricia Foster	3-(327)717-3074
Nancy Watson	2-(813)667-3202
Kelly Hansen	6-(476)343-3678
Dorothy Mendoza	8-(186)396-7459
Donna Snyder	7-(489)757-9899
Elizabeth James	8-(162)544-6872
Lisa Davis	2-(813)822-8512
Amanda Williamson	1-(307)203-8964
Katherine Jackson	2-(398)807-4668
Paula Washington	3-(527)043-1460
Amy Martin	8-(967)999-5227
Melissa Black	8-(794)990-2788
Karen Murphy	6-(945)944-0917
Brenda Wells	6-(530)771-4832
Ashley Moore	7-(682)059-7472
Sharon Snyder	2-(356)756-4852
Susan White	8-(211)739-3847
Tammy Simpson	3-(062)539-0707
Susan Gordon	3-(160)501-7780
Robin Nelson	5-(166)883-1901
Elizabeth Wilson	1-(485)795-3634
Rebecca Ross	8-(043)236-4441
Barbara Berry	0-(951)828-8154
Julie Harvey	4-(984)094-2424
Kathryn Knight	4-(670)198-0488
Janice White	2-(730)472-3153
Denise Hall	0-(719)109-5978
Stephanie Hernandez	8-(389)292-8672
Betty Cook	5-(347)298-7029
Alice Porter	0-(097)123-0551
Brenda Payne	3-(304)485-0265
Janice Perry	2-(471)676-2648
Lois Armstrong	1-(046)600-5223
Melissa Stephens	3-(537)899-4404
Dorothy Fowler	0-(832)778-5224
Deborah Montgomery	5-(054)195-4433
Nicole Sullivan	9-(404)032-2413
Jacqueline James	9-(303)983-6330
Kathy Dunn	6-(221)731-0725
Kathryn Stanley	0-(396)544-0973
Katherine Cole	4-(620)393-4319
Cynthia Mills	3-(534)808-7460
Rebecca Ramirez	1-(608)468-2199
Elizabeth Austin	3-(605)920-9735
Evelyn Phillips	3-(571)429-9654
Robin Mills	0-(687)600-5549
Judy Welch	0-(260)104-5362
Ann Ford	1-(660)219-8367
Diana Fox	1-(103)964-3436
Dorothy Kim	5-(316)503-4186
Andrea Ross	8-(452)401-9243
Diana Black	1-(211)638-0442
Kathleen Harris	0-(017)256-4489
Michelle Morrison	5-(598)112-1253
Judy Peterson	0-(992)765-2241
Ann Hernandez	6-(211)681-8729
Jessica Mason	1-(319)284-7652
Heather Hayes	6-(434)107-4594
Wanda Hughes	4-(493)046-8587
Marie Ferguson	8-(702)038-5988
Amy Simpson	1-(409)534-6803
Judy Perry	9-(013)032-9317
Joyce Day	6-(195)835-5065
Angela Ross	7-(441)494-5031
Evelyn Bryant	2-(490)210-9224
Diana Smith	4-(939)949-1952
Jean Gomez	8-(750)321-8826
Brenda Hill	3-(119)122-0465
Linda Garcia	1-(696)980-1904
Virginia Carter	0-(291)716-1350
Betty Ryan	7-(260)057-8663
Lois Hall	1-(261)378-4688
Diane Lopez	0-(758)727-4896
Anna Nichols	3-(683)836-0993
Ruth Day	7-(841)073-8543
Julie Burke	6-(588)449-0602
Amanda Reid	1-(412)647-3052
Laura Martinez	3-(171)626-1097
Nancy Morgan	2-(968)667-8766
Martha Cox	8-(305)503-8172
Doris Riley	6-(304)253-3777
Anna Crawford	8-(372)848-2597
Alice Ward	6-(939)156-0148
