Jane Hayes	2-(643)886-5222
Debra Morales	1-(305)781-7487
Deborah Lewis	2-(494)367-0731
Janet Morgan	7-(093)428-0009
Katherine Kennedy	6-(111)403-0247
Kimberly Young	9-(759)340-8564
Julia Hunter	4-(862)939-7235
Cheryl Peterson	0-(940)801-0641
Rose Cook	8-(414)220-3399
Lisa Lopez	2-(910)580-5003
Teresa Mcdonald	8-(657)409-9030
Paula Reyes	6-(968)145-0916
Kimberly Bradley	8-(130)874-1779
Phyllis Henry	4-(965)515-5497
Elizabeth Bishop	4-(992)092-9977
Mary Fox	1-(527)015-4223
Mildred Smith	6-(672)639-0780
Phyllis Brown	4-(476)689-7469
Joan Stevens	0-(805)169-8692
Bonnie Harrison	7-(094)473-5897
Janice Russell	2-(139)267-0524
Cheryl Cruz	4-(378)040-6237
Ruby Burton	5-(280)271-5914
Nicole Chavez	3-(682)261-8156
Lillian Garrett	1-(347)428-3138
Ashley Morgan	1-(033)653-8277
Ann Carroll	6-(400)618-8223
Judith Sanders	8-(638)144-7802
Christine Lynch	6-(772)485-0667
Rebecca Arnold	0-(100)563-3508
Cheryl Harris	6-(195)050-9390
Alice Martin	1-(139)090-7658
Janet Andrews	8-(860)185-8472
Brenda Romero	2-(392)518-7468
Diana Diaz	6-(237)523-9327
Louise Willis	8-(960)083-2428
Wanda Scott	1-(660)231-3023
Susan Stanley	9-(074)741-2386
Barbara Vasquez	3-(496)877-0834
Amy Jenkins	2-(262)678-0724
Cynthia Harper	7-(500)926-3698
Kathy Hart	9-(592)748-7388
Marie Oliver	0-(046)682-7725
Sara Jackson	4-(822)577-6514
Karen Mccoy	3-(557)074-3710
Betty Simpson	9-(101)721-7657
Linda Lawrence	8-(652)051-2346
Jennifer Watson	2-(312)304-3365
Margaret Weaver	0-(536)885-4066
Robin Johnson	9-(823)465-5656
Brenda Lawson	1-(056)422-8893
Phyllis Gardner	0-(339)123-9437
Pamela Carpenter	7-(936)169-7324
Jessica Spencer	7-(996)641-5123
Janet Black	4-(484)393-5513
Christina Wallace	6-(963)633-5373
Shirley Morales	6-(880)450-6391
Maria Campbell	9-(966)964-4784
Deborah Mccoy	9-(538)169-4821
Kathryn Meyer	4-(533)785-3324
Dorothy Patterson	0-(816)373-0567
Alice Cox	3-(128)061-9754
Diana Crawford	6-(114)246-0894
Jessica Mcdonald	7-(760)275-7293
Donna Morris	9-(549)702-3622
Shirley Hunt	9-(419)698-4927
Judith Perez	0-(411)970-8617
Ann Freeman	7-(365)493-8155
Maria Banks	8-(354)683-8805
Julia Richardson	5-(827)783-9240
Helen Burns	8-(104)445-5812
Lillian Watson	0-(638)500-7081
Judy Perkins	6-(771)015-5558
Paula Cruz	4-(799)398-2007
Anna Rivera	6-(856)348-4163
Lisa Lane	2-(090)140-7277
Barbara Olson	2-(528)414-5602
Kathryn Roberts	7-(969)736-1717
Mildred Bradley	9-(169)712-2461
Rebecca Williams	5-(452)364-8886
Amanda Fuller	9-(986)243-1267
Barbara Tucker	1-(445)349-3897
Nicole Lee	2-(348)523-2933
Shirley Kelly	2-(113)295-6137
Amy Kelley	3-(368)584-8498
Martha Roberts	2-(701)211-1436
Laura Dunn	6-(515)523-9695
Anne Hernandez	8-(750)942-6282
Brenda Hunt	6-(325)904-0371
Judy Lane	1-(873)156-2071
Frances Garrett	0-(856)855-7612
Maria Bradley	5-(210)321-5330
Julia Riley	8-(263)564-6823
Ann Parker	5-(211)726-0778
Jane Kennedy	4-(162)495-2474
Christine Burke	3-(201)985-3631
Carol Holmes	8-(891)572-8832
Rose Richards	0-(291)340-0086
Martha Cooper	6-(322)609-6468
Lois Montgomery	0-(952)233-5906
Karen Hamilton	8-(647)097-6759
Robin Reyes	5-(815)577-6858
Deborah Wright	5-(041)404-7439
Wanda Lewis	5-(303)646-7461
Jane Martinez	1-(562)791-7915
Jennifer Bell	3-(760)082-1534
Jean Chavez	8-(102)353-8400
Ruth Ward	1-(431)916-2317
Maria Wilson	9-(298)854-7433
Cynthia Garcia	5-(090)647-2584
Joyce Chavez	3-(869)005-3738
Bonnie Taylor	3-(404)766-4030
Pamela Burton	6-(905)902-6378
Tina Gomez	7-(877)651-0655
Anna Young	3-(794)820-5714
Sharon Hamilton	2-(496)541-8529
Carolyn Cook	8-(889)176-2429
Michelle Morales	3-(646)937-6807
Diane Cook	7-(728)307-2770
Shirley Carpenter	8-(548)336-2564
Donna Cox	6-(555)718-3118
Norma Meyer	1-(846)239-3135
Michelle Greene	4-(656)616-5673
Donna Stanley	9-(957)353-9164
Sandra Burns	3-(547)207-2553
Stephanie Mccoy	5-(136)787-2908
Evelyn Johnson	7-(100)870-5503
Cynthia Coleman	3-(004)438-0419
Sarah Torres	3-(279)416-5374
Barbara Gibson	1-(218)889-0957
Catherine Gardner	5-(353)186-3841
Alice Sims	4-(149)880-7950
Stephanie Murphy	7-(788)443-5550
Paula Wheeler	5-(363)013-5470
Judith Woods	9-(255)835-5979
Nicole Rice	8-(104)730-6392
Nancy Bowman	3-(773)562-4752
Amy Martin	7-(563)033-1778
Janet Garrett	1-(324)935-8438
Catherine Foster	9-(136)207-8038
Diana Lewis	7-(076)056-2551
Frances Fernandez	7-(813)089-3915
Diana Lee	4-(379)792-1768
Michelle Simpson	4-(332)412-2951
Marie Rodriguez	5-(802)538-4251
Dorothy Dixon	6-(010)779-3438
Janet Lopez	9-(925)974-7511
Janet Payne	9-(205)781-3015
Wanda Lawrence	5-(392)926-9227
Stephanie Johnson	6-(240)359-8713
Barbara Gonzales	5-(568)685-2174
Julie Morris	6-(263)769-8219
Angela Andrews	7-(522)782-6837
Carolyn Henry	6-(568)050-9701
Mary Bennett	2-(590)512-1402
Joyce Ramos	1-(792)981-0994
Marie Fowler	7-(579)506-4381
Jane Riley	5-(261)111-0885
Lori Harris	2-(627)459-7534
Joan Phillips	9-(405)661-9991
Wanda Chavez	7-(015)616-9478
Virginia Cox	5-(700)913-6630
Frances Wood	9-(753)877-9583
Ashley Brooks	1-(174)439-1372
Katherine Morales	0-(385)396-2113
Annie Banks	6-(771)157-2905
Janice Ward	9-(785)752-9132
Kelly Kim	8-(630)868-3185
Katherine Garrett	2-(823)409-1269
Julie Sullivan	6-(091)232-9548
Kelly Powell	6-(853)880-9004
Jean Reid	4-(928)821-2056
Amy Evans	7-(152)895-2130
Janet Payne	2-(958)454-1155
Robin Parker	4-(710)203-7929
Heather Evans	7-(763)661-9936
Kimberly Mitchell	0-(733)763-9747
Virginia Murphy	4-(449)480-6048
Amanda Black	4-(286)826-6180
Diana Gomez	3-(899)313-7042
Melissa Woods	4-(933)680-0661
Evelyn Reyes	0-(041)551-0310
Jessica Bowman	0-(021)361-5490
Jacqueline Richards	0-(001)629-9486
Robin Oliver	0-(801)642-3261
Doris Moore	8-(862)539-6231
Mildred Stanley	0-(208)226-2947
Melissa Willis	6-(585)357-8464
Emily Lee	0-(140)405-1942
Julie Schmidt	6-(819)147-0733
Evelyn Murray	1-(630)233-7352
Julie Reyes	3-(750)623-0893
Beverly Harrison	7-(472)024-3090
Brenda Fowler	2-(372)956-1195
Laura Flores	7-(294)305-7172
Carolyn Snyder	5-(445)181-7871
Julie Robinson	3-(289)332-0049
Diana Matthews	1-(702)054-4915
Joan Owens	5-(189)842-4846
Rachel Fisher	3-(903)018-9521
Annie Simmons	2-(143)030-1338
Annie Bishop	8-(976)588-6246
Doris Gilbert	4-(448)208-6119
Beverly Sims	0-(667)304-3232
Brenda Hanson	1-(183)610-8117
Donna Gomez	9-(032)518-6688
Christina Jackson	9-(290)213-0343
Maria Vasquez	5-(796)681-4645
Louise Wagner	9-(010)520-2916
Lori Mcdonald	6-(478)366-3795
Lois Hart	2-(013)839-8877
Alice Knight	5-(384)647-4752
Lois Lawson	2-(170)864-0861
Teresa Perry	9-(613)624-2715
Paula Rose	2-(372)774-5763
Angela Hernandez	1-(146)712-1009
Norma Ford	2-(739)239-5822
Gloria Fox	8-(878)948-3974
Anna Williamson	9-(779)241-7226
Paula Perry	2-(606)661-7553
Judy Day	9-(256)810-0140
Wanda Davis	6-(975)935-8361
Linda James	6-(907)494-3828
Helen Black	2-(579)260-4931
Emily Morris	3-(507)846-4915
Gloria Ortiz	9-(445)482-7250
Emily Mccoy	8-(211)043-5504
Norma Jacobs	5-(338)366-6835
Mildred Thompson	9-(554)914-0395
Karen Hansen	7-(477)690-3850
Sarah Lynch	4-(235)571-1336
Andrea Alvarez	9-(163)430-4740
Evelyn Reid	4-(999)231-0272
Rose Meyer	0-(443)513-5935
Anne Spencer	3-(817)027-0636
Catherine Porter	6-(995)511-1490
Diana Mendoza	8-(969)004-2357
Joan Jones	1-(748)496-6016
Jennifer Crawford	5-(417)598-6960
Martha Pierce	3-(635)054-2067
Kelly Moreno	1-(017)586-9090
Marilyn Powell	5-(544)396-1137
Emily Greene	5-(368)383-6854
Emily Holmes	0-(250)932-0142
Mildred Hanson	8-(800)370-7546
Annie Garcia	4-(769)831-5999
Heather Barnes	5-(899)772-7473
Katherine Johnson	1-(233)619-1702
Jennifer Barnes	6-(132)444-1763
Nicole Stevens	9-(658)166-9123
Shirley Miller	7-(563)347-9290
Barbara Kennedy	0-(970)269-6136
Elizabeth Jacobs	1-(901)515-2418
Susan Cooper	8-(253)080-6821
Tammy Thompson	8-(479)780-7477
Phyllis Clark	8-(459)920-5272
Diana Schmidt	4-(049)980-2233
Rebecca Burns	6-(561)540-7549
Tammy Moore	1-(557)912-4362
Angela Austin	8-(025)780-1667
Cheryl Pierce	3-(602)688-2852
Carol Perez	2-(618)363-7278
Kathleen Medina	9-(909)297-2197
Linda George	9-(989)981-0850
Pamela Martinez	2-(793)116-9830
Karen Arnold	6-(337)921-9979
Sharon West	7-(169)441-6620
Susan Edwards	5-(900)863-3818
Anne Mcdonald	2-(629)816-5704
Susan Parker	0-(518)234-8295
Brenda Rivera	7-(632)013-5528
Angela Butler	3-(882)320-2485
Martha Cox	8-(836)527-3749
Martha Graham	7-(687)626-4471
Judith Hansen	4-(815)649-3057
Pamela James	9-(838)181-0951
Annie Mitchell	7-(846)447-2621
Pamela Reid	0-(092)612-8300
Mildred Berry	2-(829)681-7251
Lillian Wallace	5-(929)599-0852
Martha Myers	2-(360)087-0850
Annie Sullivan	6-(619)035-4044
Denise Lawson	9-(903)428-5188
Amanda Castillo	3-(732)606-9676
Ruth Russell	6-(977)257-8676
Tina Mills	7-(750)265-1871
Kathleen Porter	4-(064)603-1079
Carolyn Green	5-(680)962-7592
Marilyn Lopez	4-(904)444-7151
Amanda Patterson	8-(869)769-5611
Laura Patterson	7-(416)184-7355
Norma Austin	2-(606)520-6278
Phyllis Andrews	2-(021)951-5363
Norma Smith	4-(701)402-8837
Phyllis Wagner	7-(464)542-5109
Joyce Gardner	6-(191)422-9078
Virginia James	2-(694)180-9488
Marie Thomas	5-(128)450-2950
Christine Austin	5-(006)736-5443
Emily Lynch	0-(312)180-3333
Wanda Carter	1-(071)691-7331
Doris Collins	3-(664)904-6364
Ruby Wright	9-(412)302-4143
Barbara Simmons	4-(156)979-4085
Ashley Warren	9-(290)933-4342
Dorothy Nguyen	4-(924)356-7823
Louise Ryan	5-(609)070-7244
Annie Harvey	8-(130)251-9051
Shirley Parker	2-(995)043-2660
Brenda Bell	5-(243)728-9486
Jean Allen	9-(125)088-1451
Nancy Martinez	4-(768)246-3771
Dorothy Gardner	3-(897)518-5538
Jane Hamilton	4-(072)947-8567
Julia Carter	9-(989)474-2105
Beverly Reed	3-(665)537-0027
Linda Ryan	2-(310)983-5182
Kimberly Riley	0-(013)316-1886
Amy Bryant	5-(496)563-9443
Angela Shaw	4-(113)402-0736
Carolyn Jones	1-(871)988-4829
Norma Flores	9-(089)292-4487
Frances Sanders	2-(217)746-9684
Deborah Baker	1-(092)008-0910
Lisa Nelson	6-(824)276-9027
Deborah Williams	8-(018)275-3507
Elizabeth Bradley	2-(817)318-8687
Diane Price	9-(541)022-0459
Lois Johnston	8-(068)040-4355
Julia Owens	0-(021)049-6443
Andrea Ruiz	7-(249)973-0697
Sara Garcia	6-(976)908-4549
Rachel Larson	3-(330)362-5932
Rebecca Campbell	5-(755)166-3637
Tina Duncan	4-(947)737-5333
Kelly Howard	5-(378)288-5568
Kimberly Gomez	5-(194)206-9282
Wanda Parker	6-(801)925-4690
Judy Payne	8-(175)962-6209
Ann Sullivan	4-(694)962-6430
Laura Campbell	8-(204)963-4183
Paula Henry	4-(934)369-9177
Martha Moreno	6-(625)555-0292
Diane Hanson	7-(571)368-0772
Kathryn Rogers	8-(068)682-0337
Annie Bryant	3-(119)106-1724
Ann Boyd	1-(875)137-4322
Carol Roberts	0-(139)272-9892
Sarah Washington	7-(231)059-8312
Annie Chavez	3-(583)119-6180
Susan Washington	5-(175)173-8134
Helen Cunningham	3-(790)927-4191
Irene Ramirez	5-(942)563-0879
Bonnie Wells	0-(219)905-6678
Doris Reid	5-(133)233-6997
Jacqueline Hughes	5-(671)011-5140
Ruth Porter	2-(831)438-7771
Lois Mason	3-(850)563-7505
Martha Powell	3-(880)272-6719
Debra Parker	4-(013)875-1238
Anna Stanley	1-(913)552-6072
Melissa Price	3-(437)965-5383
Sara Flores	5-(707)682-9840
Lillian Day	3-(201)202-6202
Michelle Graham	6-(822)914-2968
Norma Boyd	6-(268)721-9281
Angela Peterson	7-(762)100-5727
Lisa Mcdonald	4-(216)548-0835
Tina Martin	0-(002)708-3530
Helen Dixon	2-(313)585-7616
Cynthia Gardner	0-(660)037-1621
Theresa Fernandez	8-(744)576-8058
Tina Johnston	0-(787)663-0728
Lillian Banks	9-(651)356-1792
Diana Alvarez	6-(876)965-9008
Betty Jackson	4-(784)073-5329
Sara Watson	3-(303)668-5215
Lois Fernandez	4-(895)463-9868
Ann Jordan	4-(898)631-9077
Annie Campbell	5-(248)442-9663
Janice Freeman	8-(085)980-3480
Gloria Hunt	9-(048)318-7050
Doris Owens	4-(425)145-4249
Diane Price	2-(974)415-5040
Ashley Cox	4-(110)785-8494
Susan Woods	8-(765)773-4266
Amanda Burns	9-(123)646-8727
Elizabeth Phillips	3-(736)824-8932
Nicole Hudson	9-(464)517-3799
Emily Jacobs	7-(233)449-2317
Emily Kelley	7-(437)775-7612
Gloria Ruiz	7-(242)128-9908
Ruby Oliver	0-(967)458-1894
Angela Scott	2-(316)028-4091
Virginia Wright	0-(527)271-3683
Rebecca Cunningham	0-(318)020-7981
Tammy Peterson	5-(065)652-4442
Mary Sullivan	0-(936)668-1056
Debra Moore	6-(992)482-7736
Shirley Elliott	5-(297)140-6274
Joan Cox	6-(704)281-5180
Diana Austin	0-(881)959-2391
Jennifer Duncan	7-(773)451-8149
Teresa Martinez	5-(851)619-1315
Nicole Peterson	0-(947)776-6189
Ruth Richardson	2-(004)727-1701
Margaret Gutierrez	3-(489)346-8987
Lillian Wheeler	5-(309)257-9461
Kathleen Martinez	7-(677)110-0628
Janice Diaz	5-(851)988-0067
Carolyn Ryan	8-(445)188-1432
Christine Watson	2-(051)856-8909
Doris Stanley	5-(223)399-8502
Sandra Gordon	1-(745)873-2608
Doris Medina	8-(712)235-8366
Lisa Griffin	4-(386)852-8520
Jane Ortiz	7-(887)396-5114
Amanda Clark	4-(151)954-0107
Lillian Ward	2-(741)608-6068
Elizabeth Andrews	9-(744)070-8300
Wanda Woods	5-(517)580-6198
Barbara Burns	3-(520)352-3165
Joan Graham	5-(373)631-2830
Jennifer Spencer	3-(445)899-4062
Denise Mcdonald	7-(565)343-2424
Denise Alexander	0-(316)179-5332
Mary Black	0-(451)249-5258
Betty Phillips	9-(391)270-1160
Wanda Larson	0-(785)676-9723
Patricia Nguyen	5-(757)653-5130
Martha Coleman	0-(330)352-7305
Ashley Lawrence	4-(902)325-3575
Stephanie Kim	4-(963)106-2205
Emily Powell	9-(053)353-3572
Marie Harris	6-(927)649-3233
Marie Hill	9-(922)989-8832
Betty Burns	8-(210)434-1864
Patricia Banks	6-(383)207-1032
Joyce Scott	7-(444)613-4892
Susan Howard	1-(677)982-4747
Evelyn Ellis	7-(114)499-9930
Alice Carpenter	5-(434)967-9005
Lisa King	6-(030)007-8800
Christina Oliver	9-(120)043-9929
Diana Wells	1-(086)711-7099
Betty Freeman	5-(803)738-7554
Shirley Castillo	0-(139)592-5466
Julie Rodriguez	9-(024)803-2408
Jennifer Crawford	0-(092)002-5914
Carol Bailey	3-(498)535-1782
Phyllis Rice	2-(359)040-5901
Shirley Hanson	1-(168)852-0349
Martha Black	3-(626)321-1019
Janice Flores	6-(786)349-7152
Doris Reed	4-(482)225-2999
Theresa Jacobs	5-(911)117-3461
Virginia Welch	0-(314)639-3252
Deborah Matthews	5-(438)657-0230
Jacqueline Boyd	2-(617)805-9796
Heather Woods	6-(558)667-0023
Amy Moore	5-(459)081-2450
Virginia Brown	2-(587)174-5771
Diane Meyer	9-(979)535-4536
Denise Ray	7-(833)502-4180
Michelle Mendoza	0-(193)292-8174
Frances Harris	4-(958)683-2686
Cheryl James	0-(991)456-5611
Ruth King	1-(640)843-4582
Amanda West	7-(333)956-3271
Rose Woods	2-(810)271-9189
Judy Jones	7-(001)376-5018
Marilyn Rogers	5-(402)509-7574
Rebecca Diaz	6-(955)582-7909
Sharon Young	5-(847)769-7245
Theresa James	7-(696)988-4779
Debra Taylor	4-(871)788-1201
Beverly Greene	8-(336)589-0988
Lisa Carr	2-(503)969-3291
Donna Nguyen	0-(651)330-3181
Joan Pierce	9-(860)482-1149
Laura Ortiz	6-(598)321-0227
Paula Day	7-(844)432-0841
Tina Montgomery	2-(089)406-3467
Donna Baker	2-(173)191-2764
Christina Peters	1-(913)224-7521
Denise Wallace	3-(096)719-5113
Elizabeth Foster	8-(402)471-9485
Lisa Reynolds	8-(499)732-1000
Katherine Campbell	4-(419)907-5785
Sara Rose	5-(860)504-4162
Michelle Fisher	8-(331)409-1425
Julie Jackson	4-(159)729-8997
Rachel Bishop	5-(677)617-3953
Shirley Moreno	0-(520)475-7430
Heather Cunningham	5-(939)377-3084
Marie Ward	4-(263)939-4204
Ann Bell	9-(581)183-9006
Virginia Burns	8-(572)432-0190
Amy Reynolds	7-(067)338-6560
Christina Watson	8-(823)756-2392
Melissa Parker	0-(421)752-2508
Sharon Nguyen	7-(489)169-7608
Carol Ray	0-(749)085-6387
Anna Sullivan	8-(906)679-0351
Bonnie Porter	9-(979)735-1599
Andrea Ward	8-(634)064-6245
Carol Moreno	1-(830)306-2297
Christine Lewis	0-(615)701-9176
Ashley Reed	3-(895)117-2273
Tina Duncan	9-(364)228-5808
Kimberly Robertson	6-(574)130-3863
Linda Black	3-(412)585-6383
Robin Foster	9-(764)972-3458
Emily Torres	3-(629)074-6023
Theresa Sullivan	3-(150)397-0188
Patricia Webb	5-(902)709-2146
Sandra Johnston	3-(421)909-2570
Diana Day	4-(531)353-1155
Melissa Kennedy	4-(034)794-9916
Andrea Robertson	8-(420)124-3636
Shirley Hicks	1-(289)418-9672
Lois Fernandez	8-(246)035-9925
Frances Mason	8-(006)619-6165
Margaret Bailey	2-(188)299-3194
Joan Morgan	8-(295)951-8036
Tammy Stevens	9-(665)987-8466
Donna Stone	1-(106)823-9368
Gloria Elliott	0-(278)637-1860
Robin Long	8-(524)997-5961
Lori Tucker	0-(667)420-8954
Deborah Lee	9-(007)952-5091
Alice Peterson	9-(745)256-9085
Anne Stevens	2-(875)564-2825
Stephanie Bishop	4-(228)402-1665
Brenda Fisher	0-(590)901-4573
Pamela Davis	5-(375)675-5159
Martha Taylor	1-(789)501-1761
Mildred Dunn	6-(962)225-8632
Helen Hudson	6-(551)709-6800
Doris Alexander	7-(371)421-9027
Emily Nichols	3-(495)917-4469
Kimberly Wells	3-(111)404-1040
Sharon James	7-(576)891-7794
Lois Gardner	6-(430)051-4698
Louise Martin	8-(503)788-8277
Amy Williams	7-(017)365-1385
Teresa Rivera	7-(516)690-5399
Carolyn Burton	7-(778)228-0338
Julie Morales	9-(501)693-6058
Rachel Webb	7-(253)986-8981
Kathy Cox	6-(419)714-9074
Carolyn Webb	6-(523)293-8712
Sharon Lewis	0-(292)707-7268
Martha Torres	3-(460)609-5042
Patricia Ross	9-(189)929-4048
Diana Diaz	9-(465)643-0662
Melissa Stevens	7-(203)425-9169
Paula Hayes	3-(780)295-4392
Marilyn Gilbert	2-(581)695-0161
Shirley Reed	5-(241)591-8338
Janice Jacobs	7-(631)070-5311
Anna Rivera	1-(192)968-9283
Kathleen Foster	5-(306)406-6199
Ruby Medina	3-(795)607-0339
Cynthia Boyd	2-(020)029-4702
Louise Fuller	2-(700)579-9810
Jacqueline Peterson	5-(974)812-2076
Sara Rodriguez	9-(256)936-5773
Norma Kim	6-(942)327-5568
Jane Arnold	1-(238)461-8644
Ashley Martinez	3-(068)632-0789
Sandra Willis	1-(042)791-4129
Carolyn Washington	0-(270)364-4881
Rose Larson	2-(535)752-9436
Cheryl Green	6-(246)235-7455
Rebecca Banks	7-(460)885-3175
Mary Fernandez	5-(835)533-0385
Teresa Jacobs	1-(571)249-4768
Mary Wright	1-(360)945-5588
Linda Rivera	4-(200)129-1848
Tina Davis	5-(585)581-5923
Maria Morales	5-(886)247-9124
Doris Nichols	0-(235)474-6269
Melissa Murray	2-(078)483-8852
Judy Webb	8-(903)728-0440
Dorothy Moreno	7-(750)757-7653
Nancy Morrison	5-(447)068-7412
Rose Harrison	4-(688)074-8392
Stephanie Stephens	3-(473)652-6725
Susan Cruz	7-(913)431-4398
Deborah Hughes	0-(438)641-1150
Paula Perez	3-(102)057-1844
Angela Lewis	3-(099)147-6314
Frances Perez	3-(573)253-4311
Jennifer Ellis	9-(507)822-2099
Emily Bradley	7-(530)716-0936
Emily Andrews	2-(435)318-2575
Elizabeth Ward	3-(855)416-2959
Jessica Owens	3-(833)517-1575
Helen Evans	2-(163)936-0898
Patricia Lawrence	4-(328)275-3730
Lori Jenkins	7-(756)682-6980
Joan Bennett	7-(716)500-8905
Kathryn Hansen	8-(437)916-0687
Karen Morris	5-(962)017-2740
Cynthia Allen	7-(364)776-2300
Marilyn Castillo	2-(977)581-5676
Norma Stone	3-(800)178-3528
Melissa Mills	2-(614)125-2913
Mildred Greene	9-(608)064-2438
Marilyn Nichols	7-(747)495-5779
Shirley Andrews	9-(326)812-7181
Sarah Fowler	7-(505)952-1441
Anne Green	7-(912)943-6495
Sara Montgomery	3-(665)972-2965
Christine Lee	3-(889)791-8569
Anna Wood	4-(896)709-7034
Joan Young	3-(043)215-2180
Nancy Thompson	4-(111)243-5192
Christina Jenkins	1-(616)636-6582
Annie Tucker	2-(107)625-5367
Kathryn Kelly	4-(998)455-1798
Kathy Banks	1-(191)271-5351
Mildred Ruiz	8-(593)940-8799
Amy Ramirez	3-(531)352-3567
Helen Knight	0-(424)412-8569
Irene Nichols	1-(249)595-4161
Pamela Cunningham	5-(345)779-3863
Wanda Jacobs	4-(546)157-6249
Teresa Hunt	7-(265)097-7768
Betty Cook	9-(723)476-5955
Martha Jackson	3-(269)731-0977
Gloria Mcdonald	2-(556)457-1815
Linda Flores	5-(343)448-3810
Louise Thomas	9-(651)625-3285
Betty Knight	0-(336)628-3274
Debra Harvey	2-(726)127-7957
Lisa Lawrence	6-(638)699-5445
Shirley Butler	9-(223)071-5773
Melissa Burton	6-(959)493-7719
Rebecca George	7-(731)085-0032
Kathleen Smith	8-(847)091-0109
Carolyn Williams	7-(043)751-2010
Katherine Thomas	4-(244)671-6779
Brenda Freeman	3-(433)881-3002
Andrea Lawson	9-(914)959-2382
Michelle Flores	7-(599)117-7407
Barbara Collins	1-(150)211-3000
Julie Webb	5-(531)361-9129
Angela Cole	4-(840)531-0000
Dorothy Campbell	2-(802)688-2034
Paula Wood	5-(381)911-9191
Ruth Greene	4-(131)246-4758
Theresa Peterson	6-(512)814-7087
Alice Ryan	0-(470)454-2499
Ruby Simpson	7-(876)549-9475
Rebecca Green	4-(755)327-5793
Anne Long	0-(139)568-0744
Christina Wallace	0-(219)446-4459
Nancy Wells	6-(884)870-0135
Judith Mccoy	8-(573)595-7591
Judy Nichols	2-(640)604-3032
Nicole Fernandez	5-(268)531-4071
Karen Morris	7-(019)414-8742
Janice Hunter	9-(896)089-6338
Kathryn Berry	9-(559)419-2088
Patricia Howell	9-(911)495-3361
Catherine Miller	4-(050)704-1112
Alice Banks	1-(512)716-2024
Nicole Shaw	9-(314)875-2440
Phyllis Ramos	8-(259)169-8940
Rebecca Gardner	1-(031)206-7679
Robin Hunt	1-(220)205-1226
Emily Fowler	1-(057)235-8623
Cynthia Ramirez	5-(823)393-3566
Nicole Morgan	9-(245)901-4753
Mildred Welch	6-(129)524-8091
Sharon Price	7-(918)979-2967
Rose Garcia	3-(875)573-6582
Denise Flores	4-(479)370-4568
Melissa Fernandez	6-(765)688-4483
Alice Jordan	3-(670)199-7654
Elizabeth Diaz	2-(293)068-6645
Rachel Phillips	4-(757)742-0816
Sara Lawson	5-(213)597-3621
Katherine Ward	5-(629)282-4133
Stephanie Morgan	0-(429)797-9116
Teresa Bryant	6-(139)510-8325
Dorothy Palmer	6-(709)185-7769
Evelyn Arnold	7-(525)061-3888
Michelle Peters	2-(644)891-5980
Julie Oliver	0-(702)120-4296
Jane Morales	1-(243)230-6771
Helen Brown	6-(610)705-4505
Emily Stephens	1-(512)947-8244
Frances Adams	8-(323)146-1838
Cheryl Jacobs	6-(751)547-3391
Donna Patterson	0-(965)934-2640
Theresa Watson	9-(062)266-6517
Ruby Gibson	7-(747)448-3231
Joyce Garza	1-(621)395-0273
Phyllis Montgomery	0-(296)346-9617
Emily Jenkins	1-(810)892-2898
Karen Porter	4-(754)663-1653
Sarah Wells	0-(361)578-3792
Pamela Franklin	7-(320)034-6176
Amanda Jenkins	5-(440)978-3474
Anna Greene	7-(510)869-9282
Kathryn Lee	6-(456)875-1891
Anne Vasquez	7-(820)031-8985
Marilyn Knight	6-(830)625-1562
Marilyn Medina	2-(018)317-8472
Christina Palmer	7-(146)741-3163
Betty King	6-(448)048-8842
Ashley Kennedy	6-(320)640-2421
Rebecca Cole	3-(113)457-6180
Gloria Bennett	0-(988)022-2705
Shirley Reid	3-(708)673-4129
Lori Larson	9-(499)753-5925
Marie Ramirez	3-(070)398-8569
Theresa Gibson	1-(350)278-2800
Donna Hawkins	2-(411)968-3033
Frances Nguyen	2-(449)952-3602
Theresa Carpenter	1-(585)328-1134
Paula Ray	8-(739)917-1239
Diane Mendoza	4-(982)695-9934
Joyce Gutierrez	6-(163)780-7113
Kathy Snyder	5-(600)030-7036
Jean Long	9-(383)588-3895
Jane Williams	6-(717)265-0346
Paula Hunter	7-(550)463-0220
Kelly Dixon	9-(090)264-6506
Karen Morales	1-(854)123-2584
Emily Richardson	6-(201)499-1847
Phyllis Ross	4-(479)203-9462
Kathryn Henderson	0-(708)958-2321
Lori Meyer	4-(894)858-7636
Jean Warren	2-(822)390-5425
Brenda Burke	3-(708)527-6518
Doris Hicks	3-(886)538-8011
Marilyn Morris	9-(859)363-4824
Margaret Collins	5-(634)160-2313
Judy Burns	7-(821)322-1203
Beverly Cook	0-(784)029-5589
Carol James	9-(299)234-9993
Debra Chapman	4-(031)814-2925
Ruth Gordon	8-(000)334-7358
Marilyn Marshall	6-(357)182-8468
Linda Ruiz	7-(974)199-3378
Sara Cruz	4-(166)639-2453
Irene Riley	6-(420)510-8585
Judy Porter	2-(952)595-7813
Diana Chavez	8-(120)405-2735
Julia Diaz	1-(298)702-3753
Amanda Scott	0-(713)445-3426
Julie Ruiz	8-(051)901-8496
Jessica Perry	1-(864)340-6590
Nicole Peters	2-(140)418-7670
Cynthia Nguyen	6-(946)772-6761
Rachel Diaz	4-(918)369-4353
Beverly Cooper	3-(271)338-7182
Gloria Peterson	5-(256)086-1958
Jean Griffin	3-(459)981-0509
Mary West	7-(941)697-8441
