Marilyn Hayes	6-(540)865-2507
Ashley Long	4-(774)515-1555
Donna Green	8-(872)964-8948
Maria Wheeler	4-(227)120-1774
Ann Long	2-(898)967-6384
Doris Hill	1-(841)548-1381
Irene Ray	7-(535)687-5357
Christine Morris	7-(216)708-4849
Diana Marshall	7-(690)892-1364
Pamela Fuller	6-(178)540-3280
Denise Cox	0-(944)278-4564
Sarah Gibson	5-(294)771-0025
Lori Perkins	5-(646)257-7761
Helen Vasquez	3-(947)658-2778
Maria Gardner	5-(204)614-1030
Bonnie Ellis	4-(102)293-1637
Dorothy Rodriguez	3-(066)316-1370
Margaret Ferguson	8-(872)636-7218
Nicole Gonzalez	9-(793)941-0737
Linda Mcdonald	9-(006)725-8992
Diane Dunn	4-(158)021-7454
Sara Reid	5-(572)701-3538
Maria Thompson	4-(159)380-4599
Kathleen Williams	1-(382)681-7124
Brenda Griffin	7-(551)100-6336
Brenda Boyd	3-(598)671-1436
Sandra Franklin	4-(840)399-8819
Rachel Alvarez	7-(309)400-1871
Amy Martinez	9-(283)562-8974
Phyllis Watson	6-(756)343-5025
Amanda Lynch	6-(344)308-2632
Stephanie Graham	5-(241)470-5036
Rose Thompson	8-(477)539-8693
Jean Fields	1-(269)168-6872
Jennifer Freeman	0-(760)163-1068
Helen Taylor	9-(877)607-8074
Sara Kelley	6-(610)844-8141
Pamela Anderson	7-(723)802-6297
Doris Castillo	2-(315)869-7869
Rose Rivera	9-(785)566-8685
Louise Garcia	9-(388)201-2148
Kathleen West	1-(160)257-0607
Evelyn Austin	6-(270)109-4988
Jane Gardner	1-(368)763-6819
Rebecca Garza	7-(189)494-2154
Phyllis Scott	1-(994)792-0726
Katherine Willis	8-(599)344-2427
Denise Turner	3-(619)754-1267
Mildred Campbell	2-(507)506-0076
Phyllis Hart	5-(017)999-7493
Jacqueline Sullivan	6-(923)724-5056
Christine Weaver	9-(003)301-5526
Andrea Gray	1-(245)858-8911
Helen Garza	9-(252)575-3310
Judith Nichols	3-(457)982-3243
Jean Garrett	5-(272)159-4637
Teresa Gardner	5-(168)371-0595
Annie Phillips	9-(818)553-2612
Jean Fields	7-(608)104-1693
Brenda Murray	3-(593)050-0967
Robin Simpson	5-(448)530-8849
Kimberly Hicks	5-(861)260-7765
Maria Peterson	5-(214)365-5170
Linda King	2-(203)913-5539
Dorothy Duncan	3-(067)978-0561
Judy Lynch	1-(449)575-2976
Patricia Fuller	2-(390)321-7696
Karen White	4-(192)155-0189
Donna Kim	6-(512)059-8432
Julia Henderson	5-(426)643-2586
Carol Ortiz	0-(763)113-5195
Margaret Castillo	6-(952)341-2391
Jane Palmer	7-(296)276-6379
Dorothy Hayes	5-(551)097-3344
Helen Harrison	1-(218)868-3753
Julie Wheeler	3-(882)945-4551
Patricia Arnold	6-(152)149-2934
Frances Harris	4-(547)107-3933
Amanda Daniels	9-(382)904-1979
Deborah Spencer	6-(290)597-3688
Barbara Hernandez	2-(304)653-8603
Jean Roberts	5-(958)139-8443
Michelle Hughes	9-(372)198-2034
Alice Owens	0-(676)725-7335
Sarah Gutierrez	1-(064)868-5820
Phyllis Stanley	8-(698)203-7108
Brenda Coleman	7-(251)326-8518
Alice Rice	2-(082)119-0818
Kelly Jones	5-(067)008-8917
Carolyn Richardson	1-(771)030-8155
Rebecca Mendoza	6-(596)558-2902
Jane Nguyen	4-(233)035-4132
Melissa Hamilton	8-(719)362-6193
Cheryl Johnston	4-(981)914-2012
Sarah Andrews	3-(532)228-3761
Paula Hunt	6-(756)568-8664
Helen Harris	8-(980)990-2233
Kathryn Rodriguez	9-(180)340-7631
Tammy Webb	9-(368)331-1339
Tammy Lawrence	6-(935)014-7984
Catherine Warren	9-(579)722-0239
Kimberly Gonzalez	5-(601)594-0822
Sara Pierce	3-(431)860-6045
Barbara Harris	6-(557)475-0925
Stephanie Weaver	4-(147)188-6385
Helen Reed	6-(129)165-2157
Shirley Martinez	5-(906)508-5924
Kathy Dixon	2-(537)365-5778
Wanda Arnold	9-(329)356-8844
Ann Sanders	8-(371)815-4015
Jean Rogers	9-(303)297-4510
Ashley Gray	9-(797)555-1406
Elizabeth Hall	5-(468)501-3347
Christine Marshall	7-(850)332-1053
Phyllis Crawford	4-(063)992-7132
Frances Daniels	9-(443)997-7299
Annie Price	7-(859)515-9433
Ann Daniels	4-(238)929-8680
Barbara Fields	3-(947)602-5291
Bonnie Torres	0-(817)707-3468
Brenda Watson	6-(449)598-6914
Joan Thompson	1-(675)469-4637
Jean Bradley	5-(808)115-4621
Pamela Sullivan	2-(765)053-9314
Kathleen Crawford	1-(973)154-0125
Jean Gonzales	2-(283)138-4373
Marie Harper	8-(537)475-2331
Katherine Duncan	1-(450)043-6051
Virginia Simpson	1-(290)918-6539
Frances Andrews	3-(036)427-1835
Barbara Cruz	3-(999)653-6019
Kathy Taylor	4-(578)219-8293
Shirley Hicks	3-(055)754-3604
Frances Montgomery	9-(537)543-7089
Kelly Cooper	4-(518)240-3639
Irene Hall	8-(149)859-1571
Stephanie Elliott	7-(793)506-1239
Doris Owens	4-(227)214-8325
Denise Sanders	6-(091)106-4210
Christine Long	0-(594)200-6725
Kathryn Pierce	5-(362)588-0143
Kelly Cruz	6-(039)883-3548
Judith Nguyen	8-(340)909-2654
Michelle Watkins	9-(823)597-6731
Jean Hicks	9-(171)404-4599
Janice Ellis	1-(795)913-7767
Carol Jones	7-(119)008-2085
Marilyn West	2-(492)679-1648
Anne Diaz	0-(125)486-3517
Kathleen Nichols	8-(153)707-3283
Virginia Burton	4-(364)155-1136
Lillian Chavez	9-(563)568-1465
Diana Murray	3-(318)073-1750
Louise Webb	4-(042)449-7522
Patricia Ward	2-(217)941-9549
Jane Vasquez	6-(689)988-5926
Linda Cooper	8-(001)753-6960
Norma Austin	0-(740)497-2787
Janet Arnold	8-(162)576-3951
Gloria Ward	0-(556)354-4373
Diane Oliver	7-(239)182-1657
Jennifer Jenkins	1-(229)153-0343
Brenda Mitchell	8-(186)294-8556
Maria Bowman	7-(206)163-3337
Gloria Cunningham	9-(408)891-4099
Ashley Lawson	7-(117)303-8184
Nancy West	4-(104)754-7851
Phyllis Berry	9-(368)988-9815
Sarah Wagner	8-(335)961-1904
Julie Meyer	8-(655)608-7657
Marilyn Ray	4-(891)333-7331
Anne Austin	4-(480)751-7958
Annie Rodriguez	7-(231)731-3878
Sharon Jordan	9-(260)356-4074
Lois Hart	0-(907)836-8375
Kimberly Murphy	2-(570)753-3583
Andrea Olson	6-(903)226-5639
Frances Martinez	1-(348)948-7483
Kathryn Cooper	2-(754)965-8949
Beverly Mcdonald	4-(977)912-1737
Doris George	8-(938)098-4444
Teresa Fields	6-(032)173-8891
Katherine Rivera	5-(150)770-1444
Jennifer Morris	2-(857)538-9297
Nancy Sullivan	0-(173)090-6092
Christine Riley	8-(907)134-2757
Teresa Lopez	1-(996)640-4427
Rebecca Gonzalez	9-(403)564-0347
Julia Fernandez	4-(406)172-2297
Julia Gonzales	9-(552)690-3897
Katherine Larson	5-(180)584-3730
Kathleen Romero	1-(865)756-5477
Anne Day	1-(791)030-6153
Ashley Moore	9-(575)837-2086
Patricia Montgomery	2-(088)207-2036
Virginia Mendoza	4-(364)212-8785
Rachel Bennett	5-(725)224-3122
Kathleen Owens	5-(428)831-8035
Kathy Price	7-(053)650-1177
Theresa Armstrong	7-(345)467-6406
Angela Cunningham	1-(294)190-2540
Debra Howell	3-(301)198-5335
Sandra Snyder	5-(937)979-9852
Ruby Wallace	4-(755)649-1241
Teresa Harper	3-(867)865-6761
Donna Lee	7-(766)742-4007
Anna Garcia	0-(039)637-2187
Nicole Cunningham	0-(283)224-4738
Christina Cooper	4-(860)554-0295
Annie Simpson	5-(529)683-2343
Jessica Spencer	8-(765)264-9006
Katherine Young	9-(522)227-9960
Martha Sanders	1-(109)740-6142
Kathleen Freeman	3-(811)638-5123
Andrea Harris	2-(094)991-4015
Theresa Phillips	2-(709)983-2245
Anna Moreno	1-(887)835-9183
Elizabeth Young	5-(704)181-2898
Louise Howell	2-(381)085-0464
Kathryn Green	7-(877)685-0828
Judy Gonzalez	2-(782)619-7026
Mildred Meyer	2-(177)541-3910
Louise Anderson	9-(988)383-1738
Irene Owens	7-(153)338-5584
Lori Turner	1-(858)178-3569
Janice Hicks	5-(807)302-0446
Janet Crawford	8-(255)252-0816
Phyllis Martin	0-(464)076-2795
Cheryl Morris	9-(497)825-7441
Teresa Dean	2-(764)735-2414
Doris Hill	5-(282)850-6840
Cynthia Hart	9-(345)678-9963
Dorothy Peterson	9-(959)665-0540
Ruby Harris	8-(322)147-9839
Joyce Moore	0-(556)872-6219
Pamela Rice	6-(731)834-4043
Katherine Simpson	9-(183)967-8070
Carolyn Webb	0-(289)337-6461
Teresa Ray	8-(323)877-0400
Kathleen Dixon	1-(394)692-3999
Alice Henderson	6-(703)116-7101
Mary Lane	9-(107)202-0372
Nicole Nguyen	6-(507)061-9003
Sharon Warren	8-(254)050-4410
Jennifer Bennett	1-(160)485-3964
Kathryn George	5-(725)562-9417
Kimberly Gray	6-(228)904-6886
Judith Jones	9-(123)223-7381
Lori Owens	7-(355)789-3963
Judith Ellis	6-(883)585-6137
Teresa Austin	9-(025)364-3454
Kimberly Wells	9-(616)379-7252
Virginia Medina	4-(120)711-4877
Virginia Ryan	3-(752)205-5267
Margaret Reed	6-(269)763-3507
Emily Wells	1-(144)439-7736
Irene Warren	8-(783)473-8586
Catherine Carr	6-(938)122-8617
Michelle Lopez	7-(334)760-6525
Theresa Ramirez	6-(409)860-6035
Amy Peterson	0-(310)054-8668
Joan Garza	2-(137)938-2750
Joan Alvarez	8-(479)706-4703
Jessica Torres	0-(503)985-9779
Julie Cunningham	3-(548)804-2348
Rose Jones	8-(322)781-0797
Maria Carr	6-(378)672-0968
Sandra Sims	4-(111)275-9958
Sandra Howard	0-(602)632-5322
Elizabeth Simpson	2-(513)411-1689
Andrea Miller	6-(083)737-9957
Janice Crawford	7-(274)859-0697
Cynthia Palmer	9-(681)421-7886
Frances Sanchez	6-(320)259-9650
Norma Johnston	7-(541)530-8425
Diane Gibson	1-(304)746-8722
Virginia Ryan	6-(708)700-3345
Nicole Hill	8-(368)259-5007
Norma Roberts	4-(546)216-4951
Anna Williams	9-(757)273-6551
Amanda Mccoy	2-(006)937-0987
Carolyn Stone	6-(330)915-3187
Ruth Lawson	7-(972)190-0512
Mildred Owens	9-(328)782-5231
Kimberly Fisher	2-(480)713-0177
Betty Ruiz	6-(961)444-9761
Katherine Coleman	9-(754)288-4876
Amanda Fox	5-(644)310-8050
Kimberly Adams	5-(943)754-8621
Joan Washington	6-(106)800-6371
Alice Howell	3-(876)882-1341
Anne Ellis	4-(042)627-0214
Rebecca Lawrence	9-(672)218-8742
Patricia Matthews	9-(038)011-9372
Julia Parker	2-(647)915-4249
Christina Graham	3-(333)877-3780
Sandra Henderson	9-(328)283-1664
Ashley Tucker	8-(429)722-2216
Ruby Long	4-(517)878-7266
Janet Meyer	4-(707)768-0884
Christine Welch	5-(309)542-1125
Cynthia Weaver	3-(412)447-2569
Mary Fox	2-(460)896-1340
Kathryn Mcdonald	5-(384)625-2270
Tammy Perry	2-(631)721-9648
Betty Perkins	7-(857)975-3054
Kelly Hawkins	5-(549)540-6333
Kimberly Mcdonald	4-(240)146-6756
Katherine Armstrong	2-(697)417-4054
Amanda Castillo	5-(342)693-8075
Amy Hicks	9-(749)069-7006
Dorothy Kim	7-(990)623-8896
Deborah Phillips	6-(349)713-4340
Michelle Walker	5-(005)082-3722
Judy Long	9-(416)902-1121
Tina Weaver	2-(116)730-5804
Margaret Simpson	1-(184)182-7676
Kathy Richards	9-(664)976-8618
Alice Bradley	3-(562)592-5984
Louise Ruiz	0-(251)607-8846
Emily Fernandez	8-(201)401-8927
Evelyn Porter	2-(085)686-4649
Stephanie Cox	5-(239)221-1380
Phyllis Graham	1-(901)503-6564
Mildred Lynch	9-(361)372-3146
Melissa Bryant	1-(793)510-6760
Amanda Jacobs	9-(739)985-8819
Heather Vasquez	5-(860)664-3132
Andrea Knight	5-(725)077-0658
Sharon Frazier	3-(161)036-5921
Emily Ramirez	4-(530)732-3993
Jean Sims	0-(461)874-6903
Lois King	4-(824)102-2556
Paula Myers	0-(166)018-9171
Janet Fox	3-(674)681-3824
Sara Hall	7-(097)329-4359
Evelyn Austin	7-(425)431-2975
Deborah Crawford	3-(107)885-0355
Christine Wilson	0-(853)133-9337
Rebecca Warren	0-(937)877-1934
Kelly Castillo	7-(003)186-5155
Amanda Ferguson	6-(244)381-5858
Lori Jacobs	4-(111)631-5102
Louise Collins	6-(137)484-9400
Christine Mendoza	3-(070)278-2822
Cynthia Anderson	7-(676)792-3266
Paula Burton	6-(403)995-0874
Ashley Gardner	1-(807)579-6178
Elizabeth Brooks	5-(152)305-2051
Andrea Bennett	9-(119)035-7271
Joan Freeman	0-(918)229-7433
Rachel Smith	0-(462)182-9942
Jean Crawford	8-(704)208-0951
Alice Powell	5-(776)312-8864
Cynthia Gonzalez	6-(389)921-5641
Heather Hamilton	3-(664)375-8287
Denise Shaw	8-(375)513-0944
Melissa Reid	8-(754)643-3979
Kimberly Bowman	8-(714)660-8972
Janice Freeman	3-(578)816-8200
Tammy Lee	5-(290)552-3977
Angela Phillips	9-(320)099-1680
Amanda Howell	9-(979)155-9037
Karen Hart	1-(091)816-0836
Helen Ryan	0-(843)442-9796
Carolyn Little	9-(541)410-8122
Theresa Coleman	6-(766)608-6608
Annie Mccoy	5-(579)934-8696
Norma Henderson	0-(005)343-4140
Julia Austin	7-(548)764-2093
Heather Hicks	5-(173)005-8866
Jane Hansen	5-(055)324-9999
Katherine Kelley	0-(260)262-7970
Joan Bryant	4-(950)567-3118
Lori White	8-(586)637-9267
Marie Hughes	3-(905)214-6907
Denise Nelson	4-(038)041-9536
Sarah Wilson	6-(971)034-6289
Carol Hill	5-(545)385-1932
Paula Kim	8-(794)865-7455
Joan Armstrong	6-(812)337-8035
Helen Carter	7-(982)316-9654
Nancy Ryan	6-(280)494-5958
Tina Cunningham	1-(499)810-1772
Lori Sanchez	5-(109)386-5883
Evelyn Lawrence	9-(077)348-9156
Marilyn Coleman	7-(319)790-0295
Bonnie Lee	1-(862)456-8069
Mary Jordan	1-(177)881-3555
Linda Jenkins	0-(788)324-1552
Wanda Grant	1-(519)827-6406
Jessica Hunt	5-(359)989-7036
Sara Ellis	6-(224)884-6253
Mildred Carpenter	9-(011)717-5854
Alice Carroll	2-(834)414-9559
Wanda Montgomery	6-(595)769-1594
Jean Reynolds	5-(724)910-2345
Lois Martinez	7-(770)782-8161
Pamela Martinez	5-(023)650-1473
Pamela Patterson	9-(650)750-5538
Phyllis Howard	8-(599)098-7453
Ann Young	5-(506)608-6345
Teresa Ortiz	4-(492)634-9574
Beverly Montgomery	8-(150)114-2960
Tina Simpson	1-(455)061-0542
Frances Howell	0-(696)561-4557
Rachel Wagner	5-(454)903-0095
Paula Mcdonald	1-(125)342-9993
Joyce Sims	7-(468)662-8956
Kathryn Wilson	1-(528)213-1245
Gloria Berry	1-(929)948-3117
Elizabeth Peterson	7-(371)388-4296
Diana Duncan	8-(222)680-7454
Kelly Elliott	0-(300)103-6349
Pamela Parker	5-(507)369-5583
Julie Hamilton	7-(669)047-8297
Melissa Thomas	5-(687)473-3426
Kathy Taylor	5-(092)045-2548
Linda Hart	0-(978)472-7321
Barbara Ford	4-(253)689-8515
Ruth Gonzales	8-(162)402-8784
Barbara Grant	6-(661)961-6486
Linda Payne	8-(180)087-6407
Donna Romero	4-(637)120-1756
Christina Hansen	7-(909)863-9619
Denise Bell	2-(010)890-5223
Barbara Wells	2-(878)232-1685
Lois Porter	3-(611)232-9683
Jessica Gardner	9-(823)645-3596
Rachel Weaver	8-(954)062-6812
Michelle Frazier	2-(091)931-6722
Margaret Reynolds	3-(804)314-0924
Stephanie Harvey	2-(097)112-9501
Helen Reed	6-(469)033-2673
Irene Carr	6-(163)890-8205
Ruby Gray	4-(322)818-7128
Kathleen Stewart	6-(463)104-3415
Jennifer Bryant	4-(150)435-6228
Patricia Lewis	8-(328)329-7266
Teresa Medina	0-(707)746-0358
Melissa Hicks	1-(602)814-5658
Gloria Ortiz	2-(544)840-9770
Sharon Walker	3-(909)897-8914
Carol Rodriguez	4-(137)337-6614
Diana Hunt	4-(222)950-1857
Evelyn Tucker	2-(903)996-9057
Doris Perkins	7-(063)475-9295
Cheryl Mason	7-(027)585-4500
Shirley Watson	5-(109)051-4748
Lori Murray	9-(670)571-0234
Judy Mason	7-(926)672-4394
Janet Holmes	0-(170)309-4329
Amy Cruz	1-(776)253-5716
Heather Burton	0-(306)402-7897
Julie Wright	6-(597)560-3971
Heather Hicks	9-(614)957-8902
Bonnie Foster	8-(111)048-0153
Marilyn Martinez	7-(873)310-5698
Diane Snyder	8-(780)750-5592
Cynthia Moore	4-(619)402-8389
Anne Rice	4-(079)679-2813
Judy Hunt	8-(994)909-7347
Sandra Carr	6-(761)913-7931
Carolyn Rogers	1-(728)420-5327
Linda Murphy	9-(796)187-4809
Betty Kim	2-(384)035-7985
Katherine Gutierrez	2-(486)792-1125
Cheryl Holmes	8-(407)589-9886
Betty Graham	2-(938)682-2736
Sara Garcia	7-(954)251-8758
Emily Dean	2-(033)988-5283
Denise Price	4-(298)842-7265
Nicole Harper	1-(026)727-5987
Susan Brooks	4-(005)730-6783
Amanda Turner	7-(818)308-0168
Irene Ray	7-(208)026-6964
Jacqueline Allen	2-(302)448-8477
Lori Mccoy	9-(966)991-3541
Tammy Gonzalez	5-(931)489-4017
Beverly Wood	5-(682)756-3385
Debra Duncan	9-(092)223-7411
Angela Cook	1-(377)441-2258
Deborah Jackson	7-(954)711-5392
Cynthia Meyer	3-(057)737-8239
Debra Gilbert	6-(435)567-3572
Cynthia Watson	5-(027)012-5080
Pamela Nguyen	2-(815)178-6339
Beverly Andrews	4-(813)695-9483
Judith King	2-(745)622-8288
Tina Elliott	3-(840)679-6724
Anne Bennett	1-(004)391-5990
Rose Richards	1-(862)538-8184
Lisa Rivera	1-(179)360-5147
Christine James	0-(864)171-8443
Jane Andrews	5-(883)692-9996
Irene Harvey	0-(140)016-9524
Kathryn Hernandez	6-(529)936-1409
Norma Kelley	7-(774)309-7522
Elizabeth Ferguson	0-(509)352-3670
Sarah Dean	6-(347)742-8872
Kathryn Sanders	0-(403)991-4444
Helen Patterson	3-(488)179-6054
Stephanie Webb	1-(060)603-8571
Paula Ortiz	3-(495)050-2233
Carol Mcdonald	8-(111)342-9456
Ruby Rose	8-(089)278-1753
Martha Fowler	3-(386)053-4551
Diane Hughes	4-(215)178-4135
Catherine Clark	9-(496)008-0803
Ann Wilson	8-(132)716-8122
Kathleen Cruz	2-(845)482-9113
Kathryn Vasquez	4-(496)347-9200
Susan Stanley	5-(903)657-2990
Tina Fowler	0-(449)439-2008
Annie Gordon	4-(358)653-1553
Joyce Murphy	8-(776)609-6939
Cynthia Baker	3-(854)507-4509
Jessica Baker	2-(254)664-2825
Wanda Hawkins	7-(780)293-5759
Phyllis Lawrence	6-(105)762-9972
Lois Bell	0-(348)542-1498
Julie Ramirez	9-(754)970-4710
Jacqueline Coleman	1-(855)298-3218
Evelyn Hughes	7-(634)837-1202
Rose Murray	4-(883)843-1384
Gloria Parker	2-(157)610-4821
Phyllis Ortiz	9-(579)618-9315
Michelle Walker	8-(517)965-1694
Louise Jones	5-(957)036-2804
Deborah Powell	9-(571)863-0433
Beverly Murray	9-(033)886-1950
Christine Garrett	6-(006)894-9613
Amy Johnston	8-(336)062-1540
Amanda Banks	4-(917)940-6610
Ruby Hart	8-(241)390-5135
Patricia Hanson	3-(313)165-0488
Nicole Watkins	5-(280)644-4050
Nicole Chavez	6-(193)862-6850
Janet Hansen	4-(261)724-6741
Carol Meyer	4-(978)275-0479
Mary Ellis	3-(226)255-9987
Amy Hunter	9-(193)360-9150
Angela Hall	2-(862)030-5690
Elizabeth Miller	5-(264)941-2966
Deborah Meyer	5-(839)655-7938
Cynthia Lawson	3-(695)397-8694
Julia Stewart	9-(028)177-5492
Kathleen Hill	6-(908)735-1809
Barbara Hunter	6-(652)222-2557
Irene Grant	6-(940)006-1215
Michelle Fuller	5-(742)202-2032
Heather Rice	2-(558)295-5167
Rose Smith	7-(928)086-5733
Laura Wells	0-(970)206-7493
Doris Perry	6-(241)806-9163
Betty Black	9-(745)531-8586
Irene Larson	5-(907)580-8883
Laura Nguyen	8-(496)513-0861
Cynthia Davis	2-(502)483-8466
Janet Vasquez	5-(963)789-4494
Nicole Armstrong	9-(036)517-6221
Emily Adams	7-(967)940-1974
Diana Mccoy	6-(220)943-7337
Kimberly Frazier	4-(248)320-0490
Julie Matthews	0-(738)458-6107
Catherine Cox	8-(300)233-1377
Julie Brooks	6-(939)246-7055
Elizabeth Edwards	6-(878)598-8883
Martha Greene	5-(009)945-9061
Betty Fox	4-(977)822-4177
Lillian Diaz	1-(393)768-2553
Patricia Mcdonald	2-(710)643-5361
Deborah Fernandez	5-(537)389-3104
Robin Long	2-(408)726-2208
Paula Mccoy	7-(228)537-1863
Jessica Ramos	2-(413)255-0531
Jean Stevens	0-(623)126-8771
Sharon Ferguson	2-(811)993-5288
Michelle Ryan	7-(588)710-4075
Paula Larson	9-(878)619-1030
Kathleen Roberts	2-(354)163-8132
Sara Ward	5-(654)714-8354
Christina West	6-(071)513-6082
Ashley Bennett	3-(207)051-6136
Helen Clark	3-(669)469-6323
Melissa Schmidt	6-(622)397-9548
Brenda Daniels	1-(705)401-8454
Sara Oliver	6-(680)712-3795
Maria Wagner	2-(120)629-0522
Diana Young	7-(606)966-6040
Marie Peters	6-(840)916-7051
Betty Martinez	2-(304)349-1096
Lillian Morris	5-(282)767-4603
Barbara Garza	3-(424)231-4315
Marilyn Spencer	0-(166)610-3315
Alice Cunningham	8-(462)838-7739
Norma Howard	7-(222)585-6464
Katherine Rice	1-(068)789-7002
Wanda Hernandez	9-(158)295-8390
Gloria Cook	0-(254)412-9045
Amy Fisher	3-(830)529-2991
Martha Banks	2-(640)183-4280
Linda Bowman	5-(189)480-8422
Carol Garza	5-(396)491-3081
Anna Wells	2-(686)930-8985
Christina Franklin	9-(556)871-3645
Lillian Elliott	0-(808)568-7838
Annie Morrison	3-(499)214-5814
Cheryl Jackson	1-(044)611-6365
Andrea Watson	4-(192)151-6667
Judith Mcdonald	4-(568)747-7438
Carolyn Bryant	4-(661)373-4135
Gloria Greene	6-(417)851-9126
Janice Oliver	8-(430)054-2323
Beverly Fisher	6-(862)771-3688
Teresa Hayes	3-(877)272-4687
Dorothy Ward	6-(644)862-1851
Shirley Morgan	2-(857)282-9437
Ann Banks	5-(513)350-9576
Kelly Stevens	8-(160)533-9402
Julia Campbell	1-(486)837-1028
Shirley Smith	3-(356)695-3054
Gloria Gonzalez	8-(745)944-1626
Sarah Alvarez	6-(744)296-4962
Nancy Gutierrez	1-(375)215-5846
Ashley Perry	7-(404)657-2011
Sharon Morales	5-(502)842-7528
Donna Cox	9-(060)188-7105
Nancy Edwards	1-(787)790-9543
Margaret George	0-(232)328-4274
Jean Willis	9-(320)439-5607
Judith Stone	4-(401)164-2746
Dorothy Wood	2-(212)574-3205
Sarah Rodriguez	9-(925)525-6528
Tammy Brown	0-(628)007-5784
Martha Peters	8-(469)272-7082
Kathleen Larson	5-(106)347-3203
Margaret Foster	5-(236)764-6580
Judy Myers	5-(161)977-3835
Joan Vasquez	8-(550)058-4491
Tina Meyer	9-(817)394-3510
Ruth Green	1-(631)989-4250
Denise Perkins	7-(406)824-1730
Ashley Rogers	2-(558)908-4196
Sara Thomas	0-(803)005-8693
Barbara Freeman	0-(876)335-4846
Kathy Watson	0-(186)654-9011
Julie Walker	7-(924)861-6880
Linda Graham	0-(956)234-3081
Marie Knight	9-(685)616-5545
Melissa Warren	2-(555)802-0151
Barbara Matthews	2-(588)054-8905
Maria Foster	9-(738)730-9944
Lisa Stanley	6-(121)962-6934
Julia Robinson	0-(336)561-3817
Angela Fernandez	0-(071)134-4547
Judith Lee	7-(541)078-3014
Shirley Brooks	6-(236)796-6948
Evelyn Jackson	0-(040)664-2488
Kimberly Pierce	4-(415)397-5641
Norma Miller	1-(261)172-3862
Stephanie Turner	9-(061)004-9666
Martha Jackson	7-(013)494-0784
Heather Moreno	4-(326)383-5248
Nancy Wright	2-(007)960-9360
Norma Stanley	9-(911)303-8183
Janice Bailey	9-(345)214-6055
Nicole Grant	5-(591)213-2623
Lillian Sanders	6-(627)375-9005
Denise Price	6-(092)368-6222
Sara Hughes	1-(220)795-4342
Robin Taylor	8-(224)966-8881
Jessica Tucker	8-(779)082-2229
Ruth Garza	1-(161)243-0845
Barbara Bell	7-(746)358-7412
Evelyn Warren	0-(182)155-0460
Andrea Stanley	3-(077)328-4094
Gloria Gilbert	3-(859)558-9620
Annie Hamilton	0-(686)211-9185
Paula Gardner	1-(188)847-9455
Mildred Richardson	9-(059)680-2909
Julia Warren	9-(142)444-0327
Amy Berry	0-(818)869-8526
Anne Edwards	1-(307)980-2619
Lisa Porter	0-(180)888-9220
Sharon Welch	4-(144)398-1748
Elizabeth Crawford	8-(426)222-1569
Sandra Hernandez	7-(752)812-7338
Sarah Burton	4-(745)053-0115
Annie Patterson	4-(505)643-2296
Nancy Wright	0-(807)813-4614
Kathryn Rivera	8-(973)800-5586
Betty Cook	4-(436)273-2479
Jean Rogers	6-(069)398-0483
Beverly Morgan	3-(452)339-3996
Evelyn Thomas	1-(783)643-9824
Robin Barnes	5-(982)561-3535
Alice Sims	0-(207)913-2279
Helen Fisher	0-(584)419-9701
Cheryl Stephens	9-(557)793-1759
Beverly Chavez	6-(479)707-7587
Maria Gomez	9-(962)710-0781
Carol Franklin	6-(227)186-4080
Katherine Gilbert	6-(131)003-5003
Doris Brooks	2-(069)509-4481
Julia Hawkins	0-(760)283-8034
Jean Howard	5-(710)067-9535
Karen Day	8-(490)826-5834
Betty Walker	8-(211)418-0769
Jessica Williamson	4-(245)123-0280
Louise Peterson	4-(169)785-4408
Tammy Meyer	2-(586)755-2475
Kathy Russell	4-(907)056-1135
Shirley Wells	8-(845)651-6994
Evelyn Bailey	0-(472)453-5905
Robin Lane	3-(683)746-8734
Rachel Morrison	2-(222)518-8957
Michelle Russell	0-(825)064-7924
Lois Cole	0-(324)921-9142
Linda Dixon	1-(882)907-0736
Sharon Stanley	2-(467)119-3116
Diana Cole	8-(580)087-2726
Frances Rose	6-(542)887-3441
Catherine Snyder	4-(321)528-4358
Carolyn Lee	6-(386)159-2770
Rebecca Diaz	2-(075)937-8698
Anna Porter	5-(457)967-8200
Beverly Ortiz	2-(872)961-7022
Nancy Rivera	6-(906)131-1738
Marie Dixon	6-(546)593-3316
Rebecca Davis	6-(033)728-3151
Denise Warren	9-(162)533-9667
Kathy Walker	0-(566)154-0915
Norma Morales	9-(933)624-1541
Denise Ramos	2-(265)840-9920
Anna White	9-(969)550-8760
Angela Cole	4-(688)691-8434
Ruth Clark	8-(162)719-8760
Kathryn Reed	4-(567)631-7661
Jennifer Dunn	7-(246)710-9560
Emily Lane	0-(598)487-7300
Cynthia Lawrence	6-(791)810-9333
Janice Matthews	0-(094)331-3118
Tammy Hill	9-(281)741-3569
Tina Mcdonald	1-(274)145-0725
Anna Owens	7-(570)622-8759
Michelle Fields	7-(018)638-4573
Kathy Wallace	0-(798)986-1796
Beverly Larson	0-(954)498-0093
Janice Ryan	7-(673)022-2431
Melissa Webb	2-(353)392-3851
Elizabeth Bennett	1-(323)163-2376
Norma Thomas	4-(621)099-3458
Mildred Hunter	5-(859)797-6598
Carolyn Andrews	5-(202)281-7666
Melissa Burton	7-(429)403-3417
Angela Brown	2-(303)852-0517
Irene Bell	6-(968)539-2037
Susan Young	6-(785)992-1396
