Karen Peters	0-(138)071-3364
Sara Burke	0-(967)661-6000
Pamela Fields	8-(267)230-8650
Heather Franklin	7-(395)908-3768
Nicole Fields	3-(684)150-4376
Ashley Sims	1-(837)172-3941
Mary Fowler	7-(832)389-6523
Katherine Turner	2-(514)624-9686
Lisa Washington	8-(719)106-2070
Karen Wood	6-(440)641-9545
Nicole Chapman	6-(832)814-0448
Donna Thomas	9-(826)900-7282
Cheryl Jacobs	3-(459)320-6636
Diana Elliott	8-(386)207-6246
Anne Frazier	7-(475)105-3806
Dorothy Gomez	9-(126)950-3214
Helen Hamilton	8-(586)617-6413
Frances Ray	8-(020)338-8129
Julia Hicks	8-(065)323-4320
Janice Armstrong	8-(752)187-9623
Tammy Fields	2-(528)002-1502
Alice Day	1-(101)545-5229
Nicole Mccoy	2-(839)487-4363
Rachel Bailey	9-(948)668-4188
Debra Morrison	3-(623)073-1943
Cynthia Mendoza	5-(045)883-7283
Theresa Burke	8-(039)100-1960
Kathy Kim	0-(701)389-8070
Christina Wallace	3-(863)868-8460
Alice Elliott	1-(280)011-1536
Denise Miller	2-(262)146-4100
Brenda Fowler	0-(166)198-3624
Alice Graham	0-(281)655-5189
Heather Mason	4-(831)608-9404
Brenda Reed	0-(706)814-9467
Angela Taylor	1-(767)186-5290
Kimberly Hudson	4-(815)475-9906
Susan Reynolds	7-(239)163-1922
Betty Garrett	9-(402)931-4070
Lois Richards	8-(609)197-9575
Diana Franklin	9-(274)659-1374
Jessica Johnson	3-(835)476-4265
Catherine Lynch	4-(699)782-9325
Judith Thompson	0-(705)021-6333
Brenda Flores	0-(464)019-8230
Sharon Romero	6-(194)463-4744
Carol Harrison	8-(828)667-2699
Phyllis Gray	8-(530)905-0914
Julia Riley	3-(104)753-2188
Cheryl Wallace	3-(017)160-3311
Jacqueline Day	4-(662)351-0012
Lori Russell	6-(414)764-5618
Barbara Hughes	6-(808)933-0865
Robin Wilson	5-(069)854-3551
Marie Duncan	4-(317)856-7405
Kathleen Hill	6-(626)114-4993
Irene Carter	8-(174)229-1170
Sarah Warren	7-(811)958-2094
Carolyn Perkins	7-(103)921-6524
Ruth James	1-(039)126-6803
Carol Miller	5-(920)303-0177
Linda Rice	6-(441)202-6451
Brenda Rice	6-(921)082-2516
Ann King	9-(991)404-2990
Michelle Nguyen	3-(062)581-4697
Rose Gonzales	0-(081)295-6042
Christine Torres	9-(984)491-1836
Marie Morrison	0-(652)547-8198
Elizabeth Wagner	0-(403)466-1998
Sharon Fisher	4-(572)016-6257
Sarah Fox	8-(263)192-9880
Cynthia Johnston	3-(585)212-9654
Dorothy Hunter	9-(900)887-9502
Rebecca Howard	9-(517)099-7043
Diane Martin	1-(874)797-7300
Jean Long	9-(222)198-8178
Amy Griffin	6-(842)219-7540
Tina Bennett	0-(752)704-6564
Martha Diaz	6-(954)790-0037
Ruth Gardner	8-(762)543-2324
Evelyn Hayes	9-(526)929-8188
Heather Carroll	8-(551)266-0720
Doris Hunter	3-(763)499-5209
Shirley Nguyen	5-(939)195-1864
Andrea Hunt	8-(164)411-6742
Julie Fields	1-(693)731-5909
Lori Banks	0-(446)571-8894
Sandra Hudson	9-(192)148-8748
Shirley Murphy	5-(616)649-2491
Dorothy Simmons	3-(524)531-1332
Judy White	7-(343)809-9719
Wanda Castillo	2-(107)135-6571
Tammy Nelson	0-(783)957-8982
Frances Peterson	7-(365)514-6219
Lois Miller	8-(857)600-8660
Norma Fernandez	5-(088)358-6379
Susan Richards	0-(492)024-9270
Cheryl Rogers	1-(871)747-6559
Ruth Vasquez	8-(449)359-1598
Ruth Chavez	6-(498)553-1466
Karen Sanchez	9-(139)719-7857
Martha Boyd	5-(075)683-5846
Denise Nelson	4-(090)569-9666
Margaret Knight	7-(425)611-2119
Catherine Jackson	3-(109)492-4249
Lori Bell	5-(399)540-6348
Beverly Butler	7-(836)663-2584
Lillian Mccoy	8-(816)331-1485
Nicole Roberts	6-(113)758-5439
Joyce Russell	6-(630)280-8497
Deborah Stevens	1-(615)596-4031
Joan Lynch	4-(941)856-3464
Kathy Walker	8-(004)016-4400
Ruby Cruz	4-(765)302-6254
Jacqueline Gonzalez	4-(134)218-8326
Doris Larson	9-(189)160-9689
Catherine Carr	4-(496)242-0933
Kathryn Freeman	6-(957)497-0342
Carol Jones	8-(562)866-5885
Amy Griffin	0-(769)516-5234
Laura Berry	6-(898)547-8333
Kathleen Turner	6-(610)021-3941
Paula Peterson	2-(547)380-8543
Frances Torres	2-(600)528-8340
Ruth Gilbert	1-(380)309-1865
Sarah Diaz	3-(153)997-8110
Lois Henderson	2-(969)753-8590
Joan Johnston	8-(884)168-1654
Helen Gomez	8-(325)744-1009
Judith Weaver	4-(243)535-5225
Bonnie Wells	1-(252)520-1278
Jessica Morales	0-(429)963-4044
Nancy Washington	2-(761)554-9107
Nancy Garza	1-(481)300-6777
Janice Ray	6-(154)958-3997
Denise Hamilton	6-(960)218-5702
Diana Wheeler	7-(813)675-8441
Emily Washington	5-(636)105-4640
Lois Cunningham	0-(704)617-9938
Frances Burton	6-(138)999-1382
Sara Palmer	2-(165)423-3674
Heather Holmes	1-(560)327-0442
Theresa Reid	6-(660)904-3613
Christina Lane	5-(101)739-9841
Cheryl Dixon	3-(531)011-6949
Jacqueline Olson	6-(125)047-3096
Sara Williamson	9-(078)469-7473
Beverly Gilbert	0-(812)497-9467
Linda Alvarez	1-(850)905-9622
Lori Robertson	1-(486)376-3079
Diana Cooper	2-(520)884-4051
Theresa Cunningham	0-(692)638-8073
Diana Willis	9-(085)163-9334
Nicole Simmons	5-(946)712-9528
Dorothy Bowman	0-(222)115-9646
Kathleen Martinez	1-(202)210-9722
Nancy Stone	3-(578)381-9523
Lisa Bowman	8-(902)053-7449
Ruth Morales	5-(454)732-5605
Jean Grant	5-(669)327-5956
Debra Hill	3-(949)440-9537
Cheryl Snyder	9-(555)956-6898
Helen Gonzales	2-(294)747-0413
Jacqueline Davis	8-(941)795-7783
Kathy Greene	1-(801)268-3531
Karen Duncan	2-(142)872-4671
Rachel Duncan	7-(892)711-1630
Katherine Stanley	0-(697)653-5412
Rebecca Coleman	3-(773)620-4327
Barbara Brown	4-(270)138-4835
Linda Hall	2-(253)790-0737
Doris Anderson	8-(232)164-6459
Michelle Ellis	4-(938)023-3231
Stephanie Hamilton	3-(705)052-1022
Virginia Lewis	4-(287)257-9362
Helen Hudson	4-(611)510-1520
Sharon Hart	1-(550)776-4668
Jean Stanley	4-(656)012-2389
Kimberly Richardson	5-(033)240-9394
Brenda Boyd	4-(066)032-4945
Julia Cole	5-(252)495-5066
Nicole Stevens	6-(047)543-1518
Cheryl Carpenter	3-(119)868-2384
Debra Fields	8-(691)188-7926
Michelle Romero	3-(404)979-5676
Kimberly Boyd	4-(265)501-7010
Kathryn Myers	8-(921)108-5070
Melissa Foster	3-(902)526-8385
Barbara Simpson	2-(530)991-4168
Jacqueline Hunter	8-(822)528-2261
Jean Richardson	3-(032)897-6640
Jane Smith	8-(468)157-8009
Tammy Meyer	3-(407)406-8069
Sharon Roberts	3-(098)436-9524
Katherine Snyder	4-(691)719-9319
Evelyn Mccoy	2-(371)224-6767
Norma Brown	1-(628)367-7970
Cheryl Castillo	9-(829)168-1562
Kathy Wright	7-(480)972-9709
Evelyn Perkins	9-(163)401-3243
Virginia Flores	5-(627)061-0284
Nancy Bryant	3-(683)613-6190
Nancy Franklin	5-(678)309-6647
Julie Hart	0-(936)061-1406
Elizabeth Green	5-(460)691-4357
Deborah Knight	7-(370)438-4788
Laura Day	9-(701)905-8425
Phyllis Jacobs	3-(409)985-4142
Andrea Washington	0-(651)643-6739
Christine Nichols	3-(609)083-4816
Karen Morris	6-(035)540-1678
Linda Gray	3-(663)073-7166
Judith Diaz	5-(221)996-3108
Dorothy Nguyen	2-(699)396-6196
Frances Rice	3-(445)855-0204
Joan Hughes	0-(854)922-2219
Ashley Cook	7-(095)616-3887
Sara Hawkins	1-(339)440-1393
Phyllis Griffin	0-(672)786-3433
Gloria Bryant	3-(524)820-0742
Joan Larson	3-(869)054-8583
Nicole Bradley	3-(631)182-4326
Lois Garrett	9-(466)810-6336
Andrea Banks	4-(620)028-8601
Julia Arnold	8-(016)590-2250
Cheryl Woods	0-(654)593-4828
Stephanie Elliott	3-(689)740-6185
Nicole Diaz	2-(703)345-9106
Nicole Nelson	5-(592)891-3547
Rose Owens	5-(871)010-4045
Nancy Fisher	9-(176)390-8129
Paula Elliott	7-(797)351-8003
Barbara Sullivan	2-(087)065-2942
Katherine Davis	7-(798)471-2891
Andrea Green	5-(468)985-3394
Gloria Reyes	0-(740)626-9694
Gloria Hart	2-(708)067-3762
Catherine Medina	5-(866)148-4820
Tammy Lopez	1-(330)692-9965
Martha Kelley	4-(517)077-4635
Nancy Evans	4-(787)082-9027
Kathleen Graham	1-(762)884-7201
Kelly Richardson	9-(563)139-6572
Kelly Fernandez	6-(801)844-0693
Margaret Lee	8-(191)020-5187
Lois Jordan	3-(479)952-3707
Heather Perry	9-(066)621-7169
Jessica Butler	8-(615)251-0976
Annie Gray	5-(393)801-3936
Lois Miller	0-(715)424-6088
Sarah Duncan	9-(554)051-4715
Jacqueline Vasquez	3-(972)194-7730
Lillian Griffin	5-(114)657-7256
Helen Howell	2-(268)493-0241
Kathryn Ryan	8-(324)296-0200
Kelly Carr	9-(916)529-0927
Laura Williamson	2-(262)162-5961
Jennifer Thomas	0-(046)537-9119
Helen Bennett	8-(709)051-5735
Diana Meyer	9-(281)303-0770
Katherine Wells	0-(540)069-9964
Jessica Montgomery	9-(282)609-8975
Nicole Cooper	5-(189)610-0778
Kathleen Gardner	9-(172)115-7406
Kathryn Weaver	2-(861)433-6874
Marilyn Dixon	3-(048)795-8880
Paula Owens	6-(131)298-2388
Diana Mills	0-(656)851-9402
Helen Turner	5-(086)927-6831
Beverly Brown	4-(576)176-7789
Margaret Moreno	7-(947)788-9776
Jennifer Stanley	3-(675)983-3580
Michelle Flores	1-(001)064-0661
Louise Richards	8-(680)654-0996
Lillian Hall	1-(977)484-1602
Irene Dunn	1-(688)442-5245
Annie Ryan	5-(088)119-2694
Martha Washington	3-(723)841-3747
Dorothy Graham	7-(585)738-2934
Diana Castillo	4-(283)255-0771
Gloria Roberts	4-(205)048-6013
Lisa Robinson	7-(857)127-1437
Sandra Ramirez	0-(935)153-8500
Lisa Parker	2-(064)680-3074
Jennifer Adams	1-(522)941-1933
Betty Price	7-(035)511-2508
Doris Ray	6-(935)612-5637
Maria Gardner	8-(667)958-9931
Catherine Gardner	5-(091)683-0695
Virginia Sullivan	3-(062)452-3373
Pamela Moreno	3-(788)636-9731
Kathryn Lewis	4-(986)085-9597
Katherine Ray	9-(353)306-7273
Michelle Stephens	8-(859)037-4637
Cynthia Diaz	3-(405)287-5754
Jacqueline Torres	7-(042)620-8100
Betty Garcia	7-(468)038-5757
Debra Kelly	1-(212)939-3277
Robin Russell	8-(025)828-7829
Kimberly Brooks	6-(449)236-1051
Rose Watson	7-(346)700-6768
Michelle Sims	6-(173)976-7202
Barbara Andrews	4-(512)717-9438
Mildred Moreno	4-(590)311-3380
Rebecca Howard	3-(779)199-5743
Doris Wright	1-(261)408-7238
Rebecca Garza	1-(498)538-4460
Jessica Meyer	1-(041)974-7837
Kathleen Mason	5-(529)762-2370
Maria Rivera	2-(743)065-8725
Sandra Montgomery	3-(350)669-3321
Ann Mendoza	1-(404)791-2718
Phyllis Williams	0-(991)583-5998
Frances Oliver	2-(484)995-8947
Marilyn Foster	0-(983)192-7612
Tina Elliott	5-(108)304-3119
Frances Hill	7-(571)161-3658
Lisa Jones	8-(637)429-6592
Jane Rivera	3-(749)991-5269
Denise Green	7-(977)591-1485
Julia Perkins	4-(145)183-2267
Judy Myers	9-(217)441-0496
Rachel Sullivan	5-(443)299-0425
Catherine Jones	1-(832)769-4155
Jean Hernandez	1-(143)855-1289
Margaret Olson	8-(527)191-5515
Wanda Austin	9-(557)508-0039
Beverly Rogers	2-(991)750-5411
Mary Garrett	3-(615)546-5716
Tina Daniels	4-(567)452-3564
Stephanie Fuller	5-(217)045-5786
Anne Ortiz	2-(194)996-0449
Denise Carpenter	7-(922)213-9795
Diana Gilbert	6-(838)908-2299
Cheryl Martinez	3-(228)813-7046
Teresa Rice	7-(991)853-8604
Michelle Palmer	0-(772)161-1095
Ruth Gilbert	1-(349)357-2005
Judith Hall	8-(263)195-3859
Teresa Watson	7-(959)242-3113
Elizabeth Lane	3-(554)898-9810
Wanda Burke	9-(741)840-5421
Judy Webb	6-(188)390-9525
Cheryl Harris	5-(622)090-0787
Rachel Black	9-(213)017-6614
Jean Wagner	5-(614)192-5942
Wanda Reyes	4-(052)970-3189
Nancy Patterson	0-(246)401-9332
Diane Ramirez	0-(337)949-7837
Mary Hill	5-(960)132-2477
Pamela Walker	1-(757)778-9457
Lori Larson	1-(091)919-0501
Virginia Pierce	7-(377)147-6483
Alice Gray	9-(495)235-7608
Diane Pierce	4-(804)797-2445
Pamela Tucker	1-(644)611-5843
Donna Thomas	0-(816)766-0291
Bonnie Henry	9-(224)999-5835
Amy Perkins	5-(247)065-3797
Ruby Coleman	0-(805)990-7037
Melissa Smith	4-(206)556-6056
Nancy Harper	9-(912)442-4188
Angela Jacobs	0-(398)476-6293
Lois Flores	4-(575)944-1098
Marie Bryant	1-(405)830-0556
Maria Davis	0-(070)025-1739
Annie Morales	6-(768)508-7700
Irene Hudson	0-(760)535-0356
Jennifer Frazier	7-(464)258-2912
Dorothy Reynolds	7-(342)052-6642
Kathleen Wallace	9-(537)575-7032
Judith Berry	1-(048)496-3597
Jessica Kennedy	6-(619)082-0761
Nancy Weaver	7-(738)894-4353
Evelyn Robinson	7-(552)838-1904
Margaret Roberts	0-(712)787-3237
Debra Gray	0-(475)934-0335
Lois Lynch	3-(585)081-5193
Phyllis Sullivan	3-(528)462-9254
Helen Mendoza	1-(208)442-2981
Diana Coleman	4-(552)560-1478
Paula Tucker	1-(935)535-3040
Marilyn Ferguson	8-(507)855-6104
Anna Kelley	4-(086)932-5735
Norma Roberts	4-(835)991-5521
Nicole Greene	6-(373)494-1611
Susan Chavez	8-(153)224-6434
Carolyn Fowler	8-(801)213-7277
Judith Anderson	3-(245)914-8161
Helen Harris	4-(253)845-5313
Michelle Carter	8-(261)473-3758
Wanda Jones	6-(984)616-6609
Frances Coleman	9-(636)813-3306
Sara Gray	9-(676)807-0012
Dorothy Foster	0-(659)211-3501
Amy Cunningham	6-(736)401-1869
Pamela White	3-(681)739-2218
Maria Rose	2-(201)786-5555
Barbara Ramirez	1-(500)241-8350
Theresa Kelley	5-(154)360-5413
Angela West	6-(091)934-3401
Paula Jordan	0-(042)756-5039
Tammy Baker	7-(148)174-7343
Sandra Webb	4-(091)590-7723
Anna Gonzales	1-(444)153-1420
Patricia Porter	6-(699)261-1257
Joan Graham	9-(440)138-8739
Karen Olson	4-(571)448-5848
Judy Cox	9-(637)709-7746
Beverly Chavez	2-(465)384-7839
Shirley Greene	5-(430)203-3971
Jessica Sims	4-(089)382-1926
Kathleen Hamilton	1-(215)487-3159
Jane Stewart	3-(222)308-5731
Jacqueline Stevens	9-(267)633-9893
Judith Fox	3-(959)970-9822
Lois Freeman	2-(946)506-7103
Teresa Dixon	6-(993)449-8552
Judy Campbell	8-(661)859-5160
Irene Ross	0-(842)702-1144
Denise Wright	8-(483)130-2720
Martha Willis	0-(451)081-5604
Pamela Garcia	8-(094)366-6741
Joyce Bradley	0-(524)321-3841
Laura Hudson	7-(576)368-6736
Marilyn Lawrence	4-(259)344-2648
Angela Gutierrez	8-(228)446-3051
Katherine Ryan	2-(966)228-0747
Anne Crawford	6-(931)624-6667
Angela Garcia	4-(302)730-5007
Michelle Robertson	5-(835)164-7602
Donna Brooks	2-(879)315-7639
Andrea Stevens	5-(227)258-8286
Joyce Johnston	9-(939)286-2136
Nancy Pierce	8-(320)304-5891
Robin Sullivan	0-(899)666-5874
Jacqueline Wilson	0-(635)350-4068
Amanda Campbell	2-(782)389-9461
Julia Spencer	5-(086)517-9084
Judy Kelly	9-(334)281-4117
Pamela Powell	4-(186)131-7763
Lois Burke	4-(998)038-0898
Heather Vasquez	8-(021)565-3715
Elizabeth Woods	8-(145)023-3370
Jacqueline Gonzalez	5-(546)135-6447
Jacqueline Lynch	9-(331)622-2986
Cynthia Fox	3-(926)146-6957
Robin Edwards	4-(923)834-3222
Rebecca Thomas	3-(117)273-3768
Robin Rose	1-(696)461-2295
Theresa Gibson	8-(214)548-2325
Lori Lee	5-(030)084-2182
Katherine Barnes	9-(054)046-5699
Alice Lewis	0-(700)817-8415
Rachel Jacobs	1-(173)423-9983
Kathy Perez	0-(920)519-3896
Janet Payne	9-(703)160-1716
Mary Allen	7-(903)748-2479
Rachel Jacobs	5-(335)908-7150
Nancy Mendoza	4-(159)155-1167
Brenda Harrison	7-(060)466-6021
Susan Mcdonald	6-(124)091-6599
Gloria Weaver	6-(832)045-1109
Julia Gonzales	6-(252)183-4568
Marie Cook	8-(400)076-3581
Carolyn Johnston	5-(652)569-4898
Marie Wallace	1-(351)911-7614
Jane Smith	8-(741)881-9062
Angela Clark	8-(764)590-0818
Heather Miller	4-(740)956-4576
Joyce Cooper	6-(076)927-1525
Louise Knight	9-(441)004-3513
Doris Reed	8-(542)319-8489
Evelyn Olson	5-(437)868-9856
Stephanie Banks	2-(346)580-8529
Cheryl Mendoza	7-(390)875-0096
Irene Armstrong	7-(678)848-2517
Kathleen Arnold	4-(567)939-5784
Virginia Thomas	0-(015)786-1931
Alice Miller	4-(959)669-4909
Ashley Rodriguez	4-(548)345-5240
Sara Peterson	8-(482)808-4204
Christine George	0-(510)779-6618
Annie Thomas	4-(273)998-2923
Ann Castillo	6-(057)315-5582
Joan Jordan	3-(552)026-7050
Deborah Hunt	2-(188)693-8667
Julia Edwards	9-(490)538-4158
Susan Scott	4-(029)125-6898
Tammy Olson	4-(558)896-7377
Andrea Jordan	2-(464)784-2044
Shirley Butler	9-(582)012-0176
Emily Larson	1-(706)460-9127
Marie Mcdonald	8-(778)889-4454
Joyce Rodriguez	5-(728)197-1904
Lori Taylor	6-(446)306-9820
Martha Hart	6-(793)817-3410
Carolyn Baker	4-(388)901-1479
Lori Evans	9-(176)962-3487
Martha Rivera	5-(345)481-6853
Margaret Lewis	9-(899)178-8935
Joan Richardson	1-(871)834-7420
Julie Hall	0-(645)818-0055
Ann Pierce	8-(278)962-5173
Kelly Hamilton	6-(616)018-3302
Norma Turner	8-(086)626-8963
Teresa White	6-(208)307-9790
Annie Myers	4-(031)656-3386
Jane Ross	6-(935)827-0149
Judy Bryant	9-(905)987-6405
Mildred Frazier	3-(021)451-2816
Paula Bishop	7-(075)111-6578
Kimberly Warren	9-(908)333-8922
Mary Wells	5-(561)013-8284
Martha Perry	6-(904)459-4681
Julie Hart	7-(061)536-8258
Margaret Parker	9-(975)033-8791
Sara Woods	2-(873)366-4544
Frances Barnes	7-(784)368-3235
Katherine Willis	2-(589)188-0573
Cheryl Hanson	7-(055)353-4478
Helen Russell	6-(829)878-0495
Maria Scott	6-(765)072-6630
Janet Lopez	9-(382)432-9179
Barbara Reed	1-(859)774-4220
Norma Patterson	1-(830)629-1006
Betty Berry	2-(523)185-6457
Rebecca Stephens	3-(276)229-0267
Karen Sanders	6-(019)740-7786
Helen Rice	8-(760)501-2070
Louise Garcia	1-(470)505-6595
Carolyn Payne	7-(541)261-8466
Lori Watson	3-(725)210-9316
Margaret Myers	1-(125)279-7003
Kelly Williamson	5-(211)202-6759
Emily Fernandez	3-(353)919-3083
Jean Sims	7-(319)084-2268
Judith Moore	8-(852)802-8427
Carol Lopez	7-(219)896-7817
Wanda Murphy	4-(020)025-2661
Anna Foster	2-(486)620-8859
Diane Rose	0-(343)160-3517
Helen Kelly	8-(968)012-4389
Diana Gilbert	7-(218)399-6606
Ruth Johnson	1-(944)699-6514
Joan Graham	2-(002)571-5197
Ruth Howell	3-(898)887-3200
Sarah Oliver	0-(500)816-2204
Christina Willis	3-(554)469-1130
Ruby Kelley	5-(061)738-0711
Jane Chavez	0-(205)937-5002
Alice Edwards	5-(074)082-7838
Jean Armstrong	9-(579)623-4004
Stephanie Alvarez	9-(957)669-8201
Andrea Reed	6-(673)694-2245
Ashley Marshall	1-(175)315-6750
Carolyn Hunter	1-(664)764-4783
Louise Vasquez	6-(339)092-6783
Doris Richards	7-(204)986-0231
Shirley Hunter	3-(626)470-1152
Norma Chavez	0-(865)350-9311
Linda Wells	2-(913)275-2173
Melissa Patterson	2-(341)610-5665
Karen Cook	4-(669)922-4825
Carolyn Cox	7-(145)980-3308
Linda Porter	6-(493)648-4460
Mary Brooks	9-(174)974-1214
Denise Grant	4-(298)388-1840
Karen Griffin	5-(714)247-2582
Kimberly Dixon	2-(373)082-5986
Frances Lewis	5-(733)022-0788
Tina Olson	0-(050)555-5692
Mary Palmer	6-(927)567-6299
Rose Simpson	6-(742)723-7288
Sandra Sullivan	7-(352)465-6276
Diana Wood	8-(287)178-2125
Wanda Parker	3-(522)094-3076
Lillian Dean	6-(851)758-1684
Janice Phillips	7-(264)201-7076
Cheryl Henderson	6-(826)699-9212
Paula Dunn	6-(417)354-6610
Kelly Scott	9-(048)018-6958
Janet White	1-(742)370-0731
Jennifer Rodriguez	7-(800)861-7691
Kathryn Adams	5-(037)027-8653
Christine Mccoy	7-(035)727-6469
Irene Phillips	3-(741)591-6539
Lillian Hicks	0-(990)386-8756
Sharon Kelley	9-(599)430-9081
Rose Evans	8-(856)405-5469
Diane Alvarez	8-(100)468-9434
Patricia Morales	6-(438)388-9411
Alice Woods	5-(214)780-0602
Sara Wright	8-(415)766-0761
Norma Williamson	3-(611)226-8711
Sandra Owens	5-(608)533-3183
Linda Nelson	8-(312)070-8486
Sharon Nichols	6-(048)309-4354
Robin Coleman	4-(594)240-2656
Jane Kelly	2-(503)584-8945
Jessica Myers	1-(460)298-9501
Louise Alvarez	9-(110)133-5345
Ruby Gardner	3-(102)530-5745
Kimberly Boyd	5-(892)125-4072
Sarah Bradley	1-(365)629-2430
Karen Thompson	0-(946)699-8845
Laura Lawson	0-(082)608-3560
Sarah Alvarez	1-(431)111-2499
Barbara Garrett	9-(426)983-8719
Lois Shaw	5-(187)888-6570
Janet Spencer	3-(570)638-3909
Karen Lopez	1-(729)040-0530
Tammy Elliott	5-(966)306-3369
Wanda Morales	0-(171)093-2324
Donna Dean	4-(698)669-5448
Andrea Rose	9-(081)510-9818
Laura Cox	1-(047)080-2187
Diana Campbell	1-(498)725-6550
Mildred Harris	5-(345)223-0008
Christina Weaver	2-(698)880-4151
Kathleen Wright	3-(172)289-4956
Lillian Ray	7-(790)443-9270
Marie Day	5-(867)881-5381
Patricia Rice	6-(319)299-6175
Robin Ramirez	4-(938)762-8050
Christine Walker	6-(193)340-7571
Michelle Morales	4-(131)182-7058
Bonnie Hanson	4-(968)424-2701
Heather Carroll	9-(427)679-7056
Jennifer Mitchell	6-(300)360-2284
Catherine Kelly	6-(392)772-1998
Tammy Olson	0-(291)870-8189
Katherine Washington	3-(477)904-6749
Andrea Gardner	7-(646)335-6563
Nicole Garrett	1-(509)789-4863
Michelle Mitchell	6-(778)568-2023
Brenda Hawkins	3-(107)163-7336
Angela Gordon	9-(064)676-7001
Sharon Gray	4-(061)694-6227
Sharon Arnold	1-(409)893-5732
Norma Adams	5-(866)923-2805
Evelyn Collins	0-(336)171-5220
Rebecca Bryant	9-(945)797-7348
Nancy Freeman	7-(617)974-4416
Tammy Banks	7-(613)962-5735
Sara Flores	5-(699)927-5390
Jean Wells	9-(820)282-1840
Tammy Price	9-(340)210-8356
Frances Rivera	8-(861)846-7516
Virginia Stevens	1-(543)104-1863
Denise Armstrong	0-(129)650-9317
Denise Williamson	7-(450)513-9589
Cheryl Williamson	0-(256)753-5249
Sara Mccoy	9-(162)778-2800
Christine Jordan	3-(271)045-2958
Rachel Clark	1-(971)479-2427
Mildred Murphy	7-(344)183-3042
Gloria Stone	5-(898)673-6255
Mildred Bennett	6-(973)464-5624
Betty Porter	0-(276)356-8973
Alice Greene	8-(486)745-7485
Dorothy West	8-(636)222-2483
Lori Oliver	7-(784)856-9032
Diane Cox	8-(277)504-6630
Margaret Gonzalez	5-(445)567-1669
Debra Ferguson	5-(608)689-8573
Jennifer Hayes	2-(791)953-0585
Lori Boyd	8-(883)300-8309
Rebecca Baker	5-(716)770-2371
Gloria Elliott	1-(888)396-1389
Mary Cunningham	9-(837)751-5096
Rachel Woods	7-(551)336-9441
Mildred Peters	8-(276)875-2838
Doris Evans	5-(519)659-5610
Tammy Woods	7-(156)158-2903
Ruby Henry	0-(505)475-1169
Alice Chavez	9-(339)100-4183
Nancy Peterson	3-(578)317-4745
Patricia Cunningham	4-(906)768-5678
Christine Young	5-(533)305-1683
Christina Torres	7-(356)434-4558
Dorothy Collins	0-(101)626-0147
Judith Wheeler	5-(141)205-8403
Joyce Spencer	8-(543)324-8216
Andrea Richardson	0-(236)145-2133
Nancy Allen	8-(842)271-5341
Gloria Jacobs	6-(441)020-5367
Lois Stanley	6-(207)308-4314
Christina Adams	6-(363)595-4068
Janet Romero	0-(100)831-0213
Maria Frazier	8-(596)566-6886
Karen Elliott	7-(618)388-6053
Dorothy Fisher	0-(287)946-8097
Angela Ross	6-(676)427-0958
Stephanie Watson	1-(557)908-2686
Lori Little	2-(187)790-0802
Sharon Cook	8-(287)012-4090
Rebecca Morrison	4-(332)300-7831
Rose Ray	7-(693)517-9966
Sara Austin	7-(904)860-4210
Jessica Powell	9-(863)322-1991
Nicole Phillips	9-(828)877-4933
Ruby Crawford	1-(875)370-1707
Norma Fields	7-(038)182-3178
Irene Ellis	2-(846)379-7926
Nicole Morales	7-(841)234-2341
Betty Berry	1-(157)973-7044
Cynthia Anderson	2-(269)884-3415
Helen Dixon	0-(047)820-0485
Anna Green	7-(195)373-3187
Ann Harvey	7-(794)895-1801
Kimberly Hayes	1-(396)328-8980
Cheryl Price	4-(400)547-8654
Louise Allen	3-(227)322-8030
Debra Ruiz	7-(893)443-1909
Sarah Smith	9-(263)382-4501
Pamela Fisher	9-(145)945-1902
Cheryl Mason	1-(956)193-4394
Carolyn Franklin	2-(904)075-4383
Helen Hicks	7-(272)915-6070
Joyce Roberts	7-(388)342-1729
Judith Hill	6-(472)071-3862
Angela Mcdonald	6-(590)397-8269
Nancy Stephens	8-(251)023-9102
Diane Griffin	3-(214)499-0952
Theresa Bishop	5-(981)722-8303
Jacqueline Roberts	9-(257)916-8768
Ruth Scott	5-(200)060-6185
Margaret Gardner	5-(958)214-4648
Christine Ray	9-(773)784-6236
Angela Garrett	7-(704)923-3530
Helen Cooper	5-(476)284-7081
Emily Patterson	6-(045)976-0255
Angela Mccoy	0-(276)310-5800
Judy Richardson	7-(301)546-5857
Paula Hall	8-(720)349-2923
Rebecca Hughes	9-(345)651-0057
Melissa Reynolds	9-(833)366-8290
Cheryl Ray	1-(728)536-7549
Carolyn Evans	4-(187)039-2672
Kathy Hughes	0-(262)540-2372
Brenda Harvey	7-(108)729-8961
Nicole Stephens	6-(871)200-9668
Gloria Diaz	9-(054)047-5606
Phyllis Watson	7-(215)179-1103
Stephanie Jackson	3-(122)958-6135
Mildred Hamilton	7-(399)110-0606
Michelle Perry	0-(062)047-4410
Virginia Shaw	0-(765)006-4134
Lillian Matthews	2-(614)832-5033
Kathleen Burton	1-(390)275-8306
Marie Bishop	7-(436)602-6221
Janice Bishop	6-(321)224-1098
Phyllis Hughes	5-(977)813-9895
Carol Hughes	4-(782)599-5110
Michelle Kennedy	8-(788)875-4908
Kathryn Fowler	4-(561)362-3570
Paula Daniels	4-(655)823-7044
Carol Lawson	0-(717)298-7119
Ruby Ryan	9-(644)569-0272
